ticker,event_ts,option_type,strike,expiration_date,premium,contracts,volume,open_interest,underlying_price,alert_rule,is_sweep,is_floor,ask_side_premium,bid_side_premium,dte,execution_side,direction
PLTR,2026-03-20 19:54:48.153933+00:00,PUT,148.0,2026-03-27,95540,281,4880,667,150.0,REPEATEDHITS,True,False,95540,0,7,ASK,SHORT
GLD,2026-03-20 19:54:48.153933+00:00,CALL,423.0,2026-03-31,17035,26,64,123,414.0,REPEATEDHITS,True,False,0,17035,11,BID,
UPRO,2026-03-20 19:54:48.153933+00:00,CALL,116.5,2026-04-10,17761,445,446,124,96.0,REPEATEDHITS,True,False,17761,0,21,ASK,LONG
GLD,2026-03-20 19:54:48.153933+00:00,CALL,422.0,2026-03-31,27805,40,208,1251,414.0,REPEATEDHITS,True,False,0,27805,11,BID,
GLD,2026-03-20 19:54:48.153933+00:00,CALL,421.0,2026-03-31,63640,86,130,136,414.0,REPEATEDHITS,True,False,0,63640,11,BID,
FIGR,2026-03-20 19:54:46.141840+00:00,CALL,35.0,2026-05-15,12500,25,199,927,34.0,REPEATEDHITS,False,False,12500,0,56,ASK,LONG
RKT,2026-03-20 19:54:42.731145+00:00,CALL,19.2,2027-01-15,71145,459,1156,6923,13.0,REPEATEDHITS,False,False,0,71145,301,BID,
SLV,2026-03-20 19:54:42.731145+00:00,PUT,60.0,2026-03-31,29283,129,950,3283,61.0,REPEATEDHITS,True,False,0,29283,11,BID,
SLV,2026-03-20 19:54:42.731145+00:00,PUT,59.5,2026-04-17,12580,37,1285,646,61.0,REPEATEDHITS,False,False,2040,10540,28,BID,
SLV,2026-03-20 19:54:42.731145+00:00,PUT,61.0,2026-03-27,12064,52,3203,989,61.0,REPEATEDHITS,False,False,0,12064,7,BID,
VSAT,2026-03-20 19:54:42.120879+00:00,CALL,46.0,2026-03-20,11960,342,353,131,46.0,REPEATEDHITS,True,False,11960,0,0,ASK,LONG
LITE,2026-03-20 19:54:37.702997+00:00,CALL,750.0,2026-04-17,342370,67,369,1062,697.0,REPEATEDHITS,False,False,30660,15330,28,ASK,LONG
TLT,2026-03-20 19:54:37.702997+00:00,PUT,85.0,2026-03-23,18411,1083,12523,806,85.0,REPEATEDHITS,True,False,18411,0,3,ASK,SHORT
NVDA,2026-03-20 19:54:37.702997+00:00,CALL,175.0,2026-06-18,282000,200,2453,7650,172.0,REPEATEDHITS,False,False,0,282000,90,BID,
