ticker,event_ts,option_type,strike,expiration_date,premium,contracts,volume,open_interest,underlying_price,alert_rule,is_sweep,is_floor,is_multileg,ask_side_premium,bid_side_premium,marketcap,dte,execution_side,direction,direction_confidence
VG,2026-04-20 14:51:10.701193+00:00,CALL,11.5,2026-05-01,30075,401,521,150,11.46,REPEATEDHITS,True,False,False,30075,0,5708996751.0,11,ASK,LONG,1.0
VG,2026-04-20 14:36:49.462364+00:00,CALL,13.0,2026-05-01,10064,500,512,491,11.485,REPEATEDHITSASCENDINGFILL,False,False,False,0,10064,5708996751.0,11,BID,SHORT,0.5
VG,2026-04-17 15:56:44.517144+00:00,CALL,17.5,2026-11-20,40265,350,371,322,11.325,REPEATEDHITSDESCENDINGFILL,False,False,False,0,40265,5708996751.0,217,BID,SHORT,0.5
VG,2026-04-15 19:15:41.245967+00:00,CALL,12.5,2026-04-24,27498,500,1116,225,12.245,REPEATEDHITSASCENDINGFILL,False,False,False,27498,0,5708996751.0,9,ASK,LONG,1.0
VG,2026-04-14 16:03:34.737862+00:00,PUT,12.5,2026-06-18,855089,4886,5372,4709,12.375,REPEATEDHITSASCENDINGFILL,False,False,False,0,855089,5708996751.0,65,BID,LONG,0.5
VG,2026-04-13 19:15:43.219164+00:00,CALL,15.0,2026-05-29,22779,250,260,206,12.795,REPEATEDHITSDESCENDINGFILL,False,False,False,22779,0,5708996751.0,46,ASK,LONG,1.0
VG,2026-04-13 14:00:27.182186+00:00,CALL,14.0,2026-05-22,31680,198,198,6,13.435,REPEATEDHITS,False,False,False,31680,0,5708996751.0,39,ASK,LONG,1.0
VG,2026-04-09 18:46:00.755266+00:00,CALL,14.0,2026-05-08,19000,190,241,26,13.155,REPEATEDHITS,False,False,False,19000,0,5708996751.0,29,ASK,LONG,1.0
VG,2026-04-08 18:51:08.987020+00:00,CALL,15.5,2026-04-17,20069,500,989,375,14.435,REPEATEDHITSASCENDINGFILL,False,False,False,0,20069,5708996751.0,9,BID,SHORT,0.5
VG,2026-04-08 18:18:36.427165+00:00,CALL,14.0,2026-04-10,23158,422,1522,275,14.135,REPEATEDHITSDESCENDINGFILL,True,False,False,23158,0,5708996751.0,2,ASK,LONG,1.0
VRT,2026-05-08 14:51:39.594330+00:00,PUT,345.0,2026-06-12,132545,49,53,13,343.73,REPEATEDHITS,False,False,False,2705,129840,130600838528.0,35,BID,LONG,0.5
VRT,2026-05-07 15:07:37.609812+00:00,CALL,365.0,2026-05-22,65500,50,254,42,346.895,REPEATEDHITS,False,False,False,17030,48470,130600838528.0,15,BID,SHORT,0.5
VRT,2026-05-07 14:28:43.814906+00:00,PUT,335.0,2026-06-12,76560,36,36,4,349.73,REPEATEDHITSASCENDINGFILL,True,False,False,4300,72260,130600838528.0,36,BID,LONG,0.5
VRT,2026-05-06 19:25:23.410635+00:00,CALL,420.0,2026-06-18,148477,134,520,47,357.65,REPEATEDHITSDESCENDINGFILL,False,False,False,113374,35103,130600838528.0,43,ASK,LONG,1.0
VRT,2026-05-06 18:59:12.441759+00:00,PUT,355.0,2026-05-15,731629,536,553,7,355.275,REPEATEDHITS,False,False,False,731629,0,130600838528.0,9,ASK,SHORT,1.0
VRT,2026-05-06 16:40:33.113769+00:00,CALL,355.0,2026-05-29,232502,100,226,34,354.055,REPEATEDHITSASCENDINGFILL,False,False,False,0,232502,130600838528.0,23,BID,SHORT,0.5
VRT,2026-05-06 16:28:56.442536+00:00,CALL,342.5,2026-05-22,95135,33,35,11,356.05,REPEATEDHITSASCENDINGFILL,True,False,False,46175,48960,130600838528.0,16,BID,SHORT,0.5
VRT,2026-05-06 15:37:14.550711+00:00,CALL,390.0,2026-10-16,736500,150,150,1,354.18,REPEATEDHITS,False,False,False,736500,0,130600838528.0,163,ASK,LONG,1.0
VRT,2026-05-06 15:10:23.676924+00:00,CALL,440.0,2027-01-15,627750,135,462,85,354.075,REPEATEDHITS,False,False,False,627750,0,130600838528.0,254,ASK,LONG,1.0
VRT,2026-05-06 15:10:13.422700+00:00,CALL,440.0,2027-01-15,930000,200,327,85,353.89,REPEATEDHITS,False,False,False,516150,227850,130600838528.0,254,ASK,LONG,1.0
VRT,2026-05-06 15:01:51.004757+00:00,PUT,350.0,2026-08-21,52340,12,12,0,354.54,REPEATEDHITSASCENDINGFILL,False,False,False,0,52340,130600838528.0,107,BID,LONG,0.5
VRT,2026-05-06 14:45:17.797808+00:00,PUT,345.0,2026-05-15,566483,515,536,23,350.76,REPEATEDHITSDESCENDINGFILL,False,False,False,563193,2190,130600838528.0,9,ASK,SHORT,1.0
VRT,2026-05-06 14:43:30.613529+00:00,PUT,370.0,2026-06-18,100541,25,25,9,350.36,REPEATEDHITSASCENDINGFILL,False,False,False,100541,0,130600838528.0,43,ASK,SHORT,1.0
VRT,2026-05-06 14:25:03.521927+00:00,PUT,312.5,2026-05-22,828181,1036,1303,269,345.56,REPEATEDHITSASCENDINGFILL,False,False,False,821781,0,130600838528.0,16,ASK,SHORT,1.0
VRT,2026-05-05 15:26:57.692347+00:00,CALL,480.0,2026-09-18,60415,43,308,17,336.43,REPEATEDHITS,False,False,False,11240,0,130600838528.0,136,ASK,LONG,1.0
VRT,2026-05-05 15:26:49.471888+00:00,CALL,480.0,2026-09-18,90880,64,264,17,336.64,REPEATEDHITS,False,False,False,26980,0,130600838528.0,136,ASK,LONG,1.0
VRT,2026-05-05 15:26:42.656101+00:00,CALL,480.0,2026-09-18,275800,197,197,17,336.5,REPEATEDHITS,False,False,False,1400,0,130600838528.0,136,ASK,LONG,1.0
VRT,2026-05-05 14:52:50.810335+00:00,PUT,320.0,2026-05-15,519802,608,609,294,333.84,REPEATEDHITSDESCENDINGFILL,False,False,False,517252,2550,130600838528.0,10,ASK,SHORT,1.0
VRT,2026-05-05 14:34:30.993052+00:00,PUT,315.0,2026-05-22,582793,509,511,118,336.655,REPEATEDHITSDESCENDINGFILL,False,False,False,569053,13740,130600838528.0,17,ASK,SHORT,1.0
VRT,2026-05-04 17:35:12.716962+00:00,PUT,375.0,2026-06-12,114600,20,22,0,327.35,REPEATEDHITS,True,False,False,114600,0,130600838528.0,39,ASK,SHORT,1.0
VRT,2026-05-04 17:30:08.697590+00:00,PUT,320.0,2026-06-12,82482,36,38,3,328.25,REPEATEDHITSASCENDINGFILL,True,False,False,9340,73142,130600838528.0,39,BID,LONG,0.5
VRT,2026-05-04 16:29:05.919409+00:00,PUT,240.0,2027-03-19,125580,42,42,25,325.11,REPEATEDHITS,False,False,False,0,113620,130600838528.0,319,BID,LONG,0.5
VRT,2026-05-04 16:23:30.061691+00:00,PUT,292.5,2026-05-08,154676,979,1037,146,325.035,REPEATEDHITS,False,False,False,153734,942,130600838528.0,4,ASK,SHORT,1.0
VRT,2026-05-04 14:11:14.247668+00:00,PUT,260.0,2026-05-29,300080,968,978,132,330.585,REPEATEDHITS,False,False,False,283960,16120,130600838528.0,25,ASK,SHORT,1.0
VRT,2026-05-04 13:56:53.600398+00:00,PUT,300.0,2026-05-08,141255,889,930,519,330.88,REPEATEDHITSASCENDINGFILL,False,False,False,141033,222,130600838528.0,4,ASK,SHORT,1.0
VRT,2026-05-01 13:45:42.943182+00:00,CALL,320.0,2026-06-12,61371,19,19,2,327.89,REPEATEDHITS,True,False,False,0,61371,130600838528.0,42,BID,SHORT,0.5
VRT,2026-05-01 13:42:59.049954+00:00,PUT,285.0,2026-05-08,176045,1285,1296,1066,328.565,REPEATEDHITS,False,False,False,176045,0,130600838528.0,7,ASK,SHORT,1.0
VRT,2026-04-30 18:04:25.657859+00:00,PUT,350.0,2026-05-15,67160,23,23,11,327.475,REPEATEDHITS,True,False,False,5840,61320,130600838528.0,15,BID,LONG,0.5
VRT,2026-04-30 16:18:03.767813+00:00,CALL,350.0,2026-10-16,477500,100,116,0,324.01,REPEATEDHITS,False,False,False,477500,0,130600838528.0,169,ASK,LONG,1.0
VRT,2026-04-30 15:01:50.864076+00:00,PUT,292.5,2026-05-15,1040999,1614,1629,546,318.98,REPEATEDHITSDESCENDINGFILL,False,False,False,1007459,33540,130600838528.0,15,ASK,SHORT,1.0
VRT,2026-04-30 14:02:03.420502+00:00,PUT,355.0,2026-06-05,182310,37,49,2,316.2425,REPEATEDHITS,False,False,False,98500,83810,130600838528.0,36,ASK,SHORT,1.0
VRT,2026-04-29 19:06:34.537272+00:00,PUT,340.0,2026-05-22,186720,42,67,31,303.59,REPEATEDHITSDESCENDINGFILL,True,False,False,142320,44400,130600838528.0,23,ASK,SHORT,1.0
VRT,2026-04-29 16:31:58.842452+00:00,PUT,290.0,2027-03-19,98160,17,17,2,299.84,REPEATEDHITSASCENDINGFILL,False,False,False,11700,80610,130600838528.0,324,BID,LONG,0.5
VRT,2026-04-29 14:59:29.376976+00:00,PUT,240.0,2026-05-29,188409,571,572,54,304.65,REPEATEDHITS,False,False,False,170919,17490,130600838528.0,30,ASK,SHORT,1.0
VRT,2026-04-28 16:24:55.912122+00:00,PUT,335.0,2026-05-29,278695,62,62,2,300.1947,REPEATEDHITSDESCENDINGFILL,False,False,False,4500,274195,130600838528.0,31,BID,LONG,0.5
VRT,2026-04-28 15:43:05.354005+00:00,CALL,265.0,2026-05-29,94455,21,45,12,299.43,REPEATEDHITSDESCENDINGFILL,True,False,False,49505,44950,130600838528.0,31,ASK,LONG,1.0
VRT,2026-04-28 15:01:55.719653+00:00,PUT,260.0,2026-05-01,54764,548,578,372,297.62,REPEATEDHITSDESCENDINGFILL,False,False,False,51200,3564,130600838528.0,3,ASK,SHORT,1.0
VRT,2026-04-28 14:49:46.732985+00:00,PUT,330.0,2026-05-29,71160,16,17,4,296.315,REPEATEDHITSASCENDINGFILL,False,False,False,57840,13320,130600838528.0,31,ASK,SHORT,1.0
VRT,2026-04-28 14:49:09.085760+00:00,PUT,300.0,2026-06-05,67025,25,49,7,296.775,REPEATEDHITSDESCENDINGFILL,False,False,False,40275,26750,130600838528.0,38,ASK,SHORT,1.0
VRT,2026-04-28 14:46:59.528031+00:00,CALL,290.0,2026-06-05,96775,32,123,4,297.86,REPEATEDHITSDESCENDINGFILL,False,False,False,48565,48210,130600838528.0,38,ASK,LONG,1.0
VRT,2026-04-28 14:46:29.290191+00:00,CALL,290.0,2026-06-05,105625,35,71,4,297.46,REPEATEDHITSASCENDINGFILL,False,False,False,60350,45275,130600838528.0,38,ASK,LONG,1.0
VRT,2026-04-28 14:46:22.773952+00:00,CALL,290.0,2026-06-05,63370,21,31,4,297.685,REPEATEDHITSASCENDINGFILL,False,False,False,15075,48295,130600838528.0,38,BID,SHORT,0.5
VRT,2026-04-28 14:11:33.044224+00:00,CALL,325.0,2026-05-29,165500,100,104,74,301.465,REPEATEDHITS,False,False,False,165500,0,130600838528.0,31,ASK,LONG,1.0
VRT,2026-04-27 17:36:08.915839+00:00,PUT,290.0,2026-05-01,91688,504,761,385,321.75,REPEATEDHITSDESCENDINGFILL,False,False,False,81172,10516,130600838528.0,4,ASK,SHORT,1.0
VRT,2026-04-27 15:43:01.784009+00:00,PUT,287.5,2026-05-01,97920,510,1133,283,319.68,REPEATEDHITS,False,False,False,97920,0,130600838528.0,4,ASK,SHORT,1.0
VRT,2026-04-27 13:47:03.835440+00:00,PUT,290.0,2026-05-15,699029,732,737,622,310.79,REPEATEDHITSDESCENDINGFILL,False,False,False,699029,0,130600838528.0,18,ASK,SHORT,1.0
VRT,2026-04-27 13:41:45.159530+00:00,PUT,287.5,2026-05-01,121014,498,500,283,312.58,REPEATEDHITS,False,False,False,114453,6561,130600838528.0,4,ASK,SHORT,1.0
VRT,2026-04-24 19:13:05.363370+00:00,PUT,277.5,2026-05-01,53339,574,606,324,326.64,REPEATEDHITSDESCENDINGFILL,False,False,False,49383,3956,130600838528.0,7,ASK,SHORT,1.0
VRT,2026-04-24 18:20:11.871190+00:00,CALL,460.0,2026-11-20,1274990,501,501,1,326.922,REPEATEDHITSDESCENDINGFILL,False,False,False,1272470,2520,130600838528.0,210,ASK,LONG,1.0
VRT,2026-04-24 18:12:48.028818+00:00,PUT,302.5,2026-05-01,158666,447,467,80,327.41,REPEATEDHITSDESCENDINGFILL,False,False,False,158666,0,130600838528.0,7,ASK,SHORT,1.0
VSH,2026-05-08 17:16:08.765323+00:00,CALL,45.0,2026-07-17,37420,226,5309,40,33.91,REPEATEDHITS,True,False,False,21420,16000,394246053.0,70,ASK,LONG,1.0
VSH,2026-05-08 17:15:23.501512+00:00,CALL,45.0,2026-07-17,32300,190,4606,40,33.9,REPEATEDHITS,True,False,False,32300,0,394246053.0,70,ASK,LONG,1.0
VSH,2026-05-08 17:15:23.501512+00:00,CALL,45.0,2026-07-17,20570,121,4738,40,33.915,REPEATEDHITS,True,False,False,20570,0,394246053.0,70,ASK,LONG,1.0
VSH,2026-05-08 17:15:20.497344+00:00,CALL,45.0,2026-07-17,39715,241,4415,40,33.91,REPEATEDHITSASCENDINGFILL,True,False,False,20910,18640,394246053.0,70,ASK,LONG,1.0
VSH,2026-05-08 17:15:15.053587+00:00,CALL,45.0,2026-07-17,18880,118,4150,40,33.96,REPEATEDHITS,True,False,False,18720,0,394246053.0,70,ASK,LONG,1.0
VSH,2026-05-08 17:14:46.817944+00:00,CALL,45.0,2026-07-17,53740,322,3857,40,33.93,REPEATEDHITSDESCENDINGFILL,True,False,False,45740,8000,394246053.0,70,ASK,LONG,1.0
VSH,2026-05-08 17:14:37.402190+00:00,CALL,45.0,2026-07-17,193830,1150,3373,40,33.95,REPEATEDHITSASCENDINGFILL,True,False,False,163635,30195,394246053.0,70,ASK,LONG,1.0
