ticker,event_ts,option_type,strike,expiration_date,premium,contracts,volume,open_interest,underlying_price,alert_rule,is_sweep,is_floor,ask_side_premium,bid_side_premium,dte,execution_side,direction,direction_confidence
SOXL,2026-03-24 19:59:18.076004+00:00,PUT,55.5,2026-03-27,10878,37,351,172,54.89,REPEATEDHITS,False,False,0,10878,3,BID,LONG,0.5
SOXL,2026-03-24 19:50:45.270598+00:00,PUT,53.5,2026-03-27,519011,2550,5402,509,54.94,REPEATEDHITSDESCENDINGFILL,False,False,0,425693,3,BID,LONG,0.5
SOXL,2026-03-24 19:48:26.510665+00:00,CALL,66.0,2026-03-27,17000,1000,1571,1837,55.01,REPEATEDHITS,False,False,0,17000,3,BID,SHORT,0.5
SOXL,2026-03-24 19:46:10.957099+00:00,CALL,60.0,2026-04-17,10705,24,731,2606,55.005,REPEATEDHITSASCENDINGFILL,False,False,0,10705,24,BID,SHORT,0.5
SOXL,2026-03-24 19:45:41.521668+00:00,CALL,60.0,2026-11-20,17400,10,23,15,55.065,REPEATEDHITS,False,False,0,17400,241,BID,SHORT,0.5
SOXL,2026-03-24 19:30:39.211950+00:00,CALL,63.0,2026-04-02,50760,376,582,619,55.12,REPEATEDHITS,False,False,0,50760,9,BID,SHORT,0.5
SOXL,2026-03-24 19:30:19.783386+00:00,CALL,60.0,2026-04-17,12285,27,684,2606,55.29,REPEATEDHITS,True,False,0,12285,24,BID,SHORT,0.5
SOXL,2026-03-24 19:11:21.742476+00:00,CALL,64.0,2026-04-02,27430,211,340,407,55.69,REPEATEDHITS,False,False,27430,0,9,ASK,LONG,1.0
SOXL,2026-03-24 18:02:13.247320+00:00,PUT,26.0,2027-01-15,21090,38,118,2774,54.71,REPEATEDHITS,False,False,0,21090,297,BID,LONG,0.5
SOXL,2026-03-24 17:54:33.480656+00:00,PUT,53.5,2026-04-17,11970,19,302,0,54.175,REPEATEDHITS,False,False,4410,7560,24,BID,LONG,0.5
SOXL,2026-03-24 17:43:17.576849+00:00,PUT,53.5,2026-04-17,19350,30,210,0,53.94,REPEATEDHITS,False,False,19350,0,24,ASK,SHORT,1.0
SOXL,2026-03-24 17:43:01.157190+00:00,PUT,53.5,2026-04-17,20640,32,117,0,53.85,REPEATEDHITS,False,False,1290,19350,24,BID,LONG,0.5
SOXL,2026-03-24 17:43:01.157190+00:00,PUT,53.5,2026-04-17,16770,26,143,0,53.86,REPEATEDHITS,False,False,16770,0,24,ASK,SHORT,1.0
SOXS,2026-03-25 13:50:37.212913+00:00,CALL,37.0,2026-03-27,10800,80,196,500,36.5598,REPEATEDHITS,True,False,10800,0,2,ASK,LONG,1.0
SOXS,2026-03-25 13:40:39.989413+00:00,CALL,38.5,2026-04-02,31306,165,238,30,36.12,REPEATEDHITSDESCENDINGFILL,True,False,0,31306,8,BID,SHORT,0.5
SOXS,2026-03-25 13:40:38.182227+00:00,CALL,38.5,2026-04-02,13680,72,73,30,36.145,REPEATEDHITS,True,False,0,13680,8,BID,SHORT,0.5
SOXS,2026-03-24 18:53:39.447078+00:00,PUT,35.0,2026-04-02,13259,68,190,342,37.01,REPEATEDHITS,True,False,13065,194,9,ASK,SHORT,1.0
SOXS,2026-03-24 18:27:35.168304+00:00,PUT,35.0,2026-04-02,19402,109,119,342,37.435,REPEATEDHITS,True,False,19402,0,9,ASK,SHORT,1.0
SOXS,2026-03-24 16:50:35.791315+00:00,PUT,38.0,2026-03-27,178114,848,3311,266,37.545,REPEATEDHITSASCENDINGFILL,False,False,0,10114,3,BID,LONG,0.5
SOXS,2026-03-24 16:27:46.224654+00:00,PUT,38.0,2026-03-27,217188,900,2463,266,37.6498,REPEATEDHITSASCENDINGFILL,False,False,0,217188,3,BID,LONG,0.5
SOXS,2026-03-24 15:29:35.124956+00:00,CALL,37.5,2026-03-27,15510,94,162,168,37.0501,REPEATEDHITS,False,False,15510,0,3,ASK,LONG,1.0
SOXS,2026-03-24 15:17:04.743182+00:00,CALL,43.0,2026-04-02,38916,276,276,7,37.27,REPEATEDHITS,True,False,0,38916,9,BID,SHORT,0.5
SOXS,2026-03-24 15:16:58.736046+00:00,CALL,35.0,2026-04-02,48140,116,116,342,37.27,REPEATEDHITS,True,False,0,48140,9,BID,SHORT,0.5
