ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,entry_price,stop_price,target_1,rr_ratio
PANW,LONG,0.3425,3.4250000000000003,0.0,2.055,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,19896.724379066192,7.0,1.0,2.8588226124359255,8.6e-05,0.000373,622.2881222415457,36.27881163003854,4.529412,0.83551,1.0,2.0,0.0,0.002108,,,,
BE,LONG,0.33244446094264857,3.324444609426486,0.0,1.9947,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,2.0283993455285976,12.0,1.0,0.6969250592602209,0.000496,0.004171,9435.430218722859,13538.658272294693,0.239118,1.840711,0.0,0.0,0.348822,0.526607,,,,
SOLS,LONG,0.3319302933422521,3.319302933422521,5.93,5.1387,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, trend_aligned","confirmation_volume, room_to_target",8.5,NEUTRAL,retest_and_confirm,,,95.0,70.0,25.89,7.24,14247.0,4653.0,0.327,3276.0,6296.0,9328.0,1.84,0.73,0.0,1.4,1.96,0.0,0.0,1.0,1.0,99.0,0.000534,0.0,148504.5202671185,0.0,1.207957,,1.0,0.0,0.0,0.0,,,,
CRM,LONG,0.3260517045164374,3.2605170451643737,0.0,1.9563,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,22.773245303096516,15.0,1.0,0.12531069232547007,0.000183,0.000499,10141.589376601563,29429.656910857186,0.455668,0.69152,2.0,4.0,0.457024,0.084023,,,,
NPO,LONG,0.32334943796376087,3.2334943796376088,6.29,4.2037,price_validation_failed,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",none,3.5,NEUTRAL,ema_pullback,,,260.0,240.0,0.41,7.32,699.0,825.0,1.18,1026.0,219.0,279.0,1.5,0.77,0.8,1.2,1.57,0.44,0.0,1.0,1.0,99.0,0.004579,0.0,0.001376359898401287,0.0,1.0,,0.0,0.0,0.0,0.0,,,,
MCHP,LONG,0.3164606900250746,3.164606900250746,0.0,1.8988,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.94,0.0,0.0,0.0,0.0,0.8402268607390918,2.0,1.0,99.0,0.000296,0.0,322.72801574025743,0.0,588.850261,,0.0,0.0,0.295831,0.0,,,,
LITE,LONG,0.31569560558825865,3.1569560558825867,6.07,4.0795,price_validation_failed,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, trend_aligned",room_to_target,3.4,NEUTRAL,ema_pullback,,,800.0,600.0,0.21,24.85,78667.0,69074.0,0.878,71601.0,33906.0,42234.0,2.09,0.18,0.0,1.2,1.85,0.74,4.991712043763605,4.0,1.0,0.3316255779712024,5.3e-05,2.2e-05,30936.320770003273,31095.631966693185,1.318182,0.692251,1.0,2.0,0.0,0.29428,,,,
QQQ,LONG,0.3048895715007015,3.0488957150070153,0.0,1.8293,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.65,0.0,0.0,0.0,0.0,0.9588500025959028,6.0,1.0,3.8515049908918413,1.5e-05,4e-06,153482.59339791344,79700.06205931128,0.08918,0.048624,0.0,0.0,0.577464,0.33001,,,,
ORCL,LONG,0.30476044569912,3.0476044569911998,0.0,1.8286,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,5.976085740991509,9.0,1.0,1.7249200538531706,5.3e-05,0.000149,77459.46069722995,12830.3189678185,0.119066,3.043961,0.0,0.0,0.028415,0.455616,,,,
IREN,LONG,0.29984444796371446,2.9984444796371443,0.0,1.7991,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.98,0.0,0.0,0.0,0.0,0.0,1.0,1.0,99.0,0.000107,0.0,148017.0048343305,0.0,2.32381,,0.0,0.0,0.0,0.0,,,,
CHRD,LONG,0.2986973310615474,2.9869733106154737,0.0,1.7922,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,99.0,0.000388,0.0,7659.711200295083,0.0,62.5,,1.0,0.0,0.0,0.0,,,,
ULTA,LONG,0.2960528321070404,2.960528321070404,0.0,1.7763,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.8817593515191435,4.0,1.0,0.7670410389182836,0.000256,0.000163,2559.095181384238,3336.321072198681,9.75,2.208333,0.0,2.0,0.022657,0.352691,,,,
VLO,LONG,0.2898785280749688,2.8987852807496877,5.75,4.0944,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",4.6,NEUTRAL,trend_continuation,,,250.0,180.0,3.44,25.52,48702.0,53746.0,1.104,33380.0,25755.0,43313.0,2.7,0.16,0.1,1.4,1.27,0.12,139393.14426165834,8.0,1.0,1.5069926471355137,0.000456,0.000228,5555.991252408526,2212.084284406829,0.212174,0.402684,0.0,2.0,0.018592,0.444812,,,,
CRWV,SHORT,0.8673212952620768,8.673212952620768,3.71,7.2296,price_validation_failed,"confirmation_volume, ema_rally, not_extended, room_to_target","momentum_aligned, trend_aligned",8.9,NEGATIVE,ema_rally,-15429937.12,,150.0,70.0,70.78,20.3,847213.0,871640.0,1.029,562068.0,585543.0,571242.0,0.0,0.63,0.91,1.2,0.16,0.8,2.024357611637464,21.0,1.0,0.4688372854308895,0.000818,0.001755,236419.7789188778,252134.14788629054,4.316205,2.808027,1.0,11.0,0.593656,0.788605,,,,
GOOG,SHORT,0.7861356051118799,7.861356051118799,6.11,7.3437,price_validation_failed,"confirmation_volume, ema_rally, momentum_aligned, not_extended, trend_aligned",room_to_target,7.9,NEGATIVE,ema_rally,-113626294.08,290.47,320.0,250.0,10.18,13.92,925677.0,662947.0,0.716,443151.0,439049.0,706424.0,2.16,0.14,0.0,1.2,1.82,0.79,5.1736618053880745,21.0,1.0,0.07991387371659844,0.000185,0.000617,12036.786728868354,60248.79620554928,0.137086,4.77954,5.0,9.0,0.710882,0.609191,,,,
OKTA,SHORT,0.6519783828767373,6.519783828767372,0.0,3.9119,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,60261.463121258006,15.0,1.0,1.394422670756618,0.002487,0.003408,434.31308655671154,155.73222368833544,2.54987,1.846308,0.0,1.0,0.506149,0.626186,,,,
META,SHORT,0.6260693375831993,6.260693375831993,5.34,5.8523,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, trend_aligned, trend_continuation",room_to_target,5.6,POSITIVE,trend_continuation,37577.08,,700.0,500.0,16.81,16.56,1268770.0,848701.0,0.669,550555.0,678144.0,888772.0,1.95,0.25,0.08,1.4,1.07,0.59,71.11201599222996,14.0,1.0,0.43312670158189515,0.00022,0.000555,137568.42493153727,176453.91628041246,0.287905,1.846968,0.0,1.0,0.267774,0.234455,,,,
PDD,SHORT,0.6043419311303626,6.0434193113036265,0.0,3.6261,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,1153573.5455788895,19.0,1.0,2.9164196607957518,0.003824,0.00187,118405.07578703335,23683.02081861234,1.005562,0.508224,2.0,5.0,0.361288,0.121469,,,,
BE,SHORT,0.5922869182779426,5.922869182779426,0.0,3.5537,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.86,0.0,0.0,0.0,0.0,2.0283993455285976,12.0,1.0,0.6969250592602209,0.000496,0.004171,9435.430218722859,13538.658272294693,0.239118,1.840711,0.0,0.0,0.348822,0.526607,,,,
IBIT,SHORT,0.5802179558628126,5.802179558628126,5.56,5.6491,price_validation_failed,"confirmation_volume, ema_rally, not_extended, room_to_target, trend_aligned",momentum_aligned,5.4,POSITIVE,ema_rally,32841799.77,40.39,45.0,35.0,11.39,13.37,3531235.0,2427787.0,0.688,1405573.0,1877045.0,2676404.0,1.55,0.92,1.0,1.2,0.44,0.45,13.869890589968591,31.0,1.0,2.1009470230117087,0.000454,0.00074,23947.028562865285,20724.01229330745,0.282631,1.554393,3.0,1.0,0.818041,0.602095,,,,
YPF,SHORT,0.5629812349906003,5.629812349906002,0.0,3.3779,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1951565.68849954,5.0,0.7,0.0,0.0,0.001618,0.0,1800.1536259238703,,3.19022,0.0,0.0,0.0,0.590945,,,,
SATS,SHORT,0.557950634473344,5.57950634473344,0.0,3.3477,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,1880.0322654919657,16.0,1.0,8.548614640724892,0.007163,0.001483,546590.66866746,82207.40560651656,5.005287,0.375483,1.0,0.0,0.508497,0.441778,,,,
FCX,SHORT,0.5564255194348084,5.5642551943480845,5.44,6.1341,price_validation_failed,"ema_rally, not_extended, room_to_target, trend_aligned","confirmation_volume, momentum_aligned",8.6,NEGATIVE,ema_rally,-4025825.22,,70.0,35.0,21.38,39.31,545606.0,523944.0,0.96,187881.0,356623.0,525046.0,2.24,0.82,0.75,1.2,0.13,0.3,258.02750237559167,7.0,1.0,4.2511608228176224e-07,2.8e-05,0.000844,0.03399195441560912,13326.538261095326,0.048451,58.278762,0.0,0.0,0.0,0.10157,,,,
ITT,SHORT,0.5223848390666546,5.223848390666546,0.0,3.1343,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.85,0.0,0.0,0.0,0.0,320854810.84427005,2.0,1.0,0.0,0.0,0.000756,0.0,33608.88391400279,,2.822399,0.0,0.0,0.0,0.0,,,,
XLK,SHORT,0.5208214590749971,5.2082145907499715,5.12,5.8801,price_validation_failed,"confirmation_volume, ema_rally, not_extended, trend_aligned","momentum_aligned, room_to_target",8.7,NEGATIVE,ema_rally,-14067708.28,,150.0,45.0,8.88,67.34,227480.0,452991.0,1.991,76896.0,222292.0,381283.0,2.01,0.89,0.01,1.2,0.59,0.43,25.949188454168358,11.0,1.0,0.12297335292628167,0.000141,0.000286,996.6664844741829,6753.946151459132,1.135914,7.987715,2.0,3.0,0.559312,0.431438,,,,
CRM,SHORT,0.5182409311970813,5.182409311970813,5.99,5.5282,price_validation_failed,"momentum_aligned, not_extended, resistance_ema_confluence, room_to_target, trend_aligned",confirmation_volume,5.7,NEGATIVE,resistance_ema_confluence,-43888048.13,,220.0,180.0,19.83,1.96,391699.0,332739.0,0.849,183846.0,204758.0,335834.0,1.64,0.35,0.26,1.6,1.86,0.28,22.773245303096516,15.0,1.0,0.12531069232547007,0.000183,0.000499,10141.589376601563,29429.656910857186,0.455668,0.69152,2.0,4.0,0.457024,0.084023,,,,
FAS,SHORT,0.5075165183077168,5.075165183077168,6.05,5.6526,price_validation_failed,"confirmation_volume, ema_rally, momentum_aligned, not_extended, trend_aligned",room_to_target,6.5,NEUTRAL,ema_rally,,,167.91,80.0,40.43,33.09,34023.0,20485.0,0.602,25451.0,1842.0,27215.0,2.47,0.67,0.18,1.2,0.67,0.86,21677.41488857299,2.0,1.0,0.0,0.0,0.001327,0.0,505.8287224723337,,91.0,0.0,1.0,0.0,2.3e-05,,,,
XLE,SHORT,0.4963308216832981,4.963308216832981,0.0,2.978,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.2009964131916657,7.0,1.0,0.3178676215955976,6e-06,0.000185,23893.06312685819,12527.784893033126,0.062988,21.562426,0.0,2.0,0.0,0.72443,,,,
UPRO,SHORT,0.4941266599870682,4.941266599870682,5.71,4.8236,price_validation_failed,"confirmation_volume, not_extended, room_to_target, trend_aligned, trend_continuation",momentum_aligned,3.2,NEUTRAL,trend_continuation,,,120.0,100.0,18.39,1.34,54154.0,39742.0,0.734,54660.0,11852.0,27384.0,2.63,0.47,0.32,1.4,0.52,0.37,90.96169460226902,5.0,1.0,0.005509821308670209,0.000165,0.000338,148.2753858356418,17940.73740072319,72.9,29.894737,1.0,2.0,0.45372,0.007801,,,,
