ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train,entry_price,stop_price,target_1,rr_ratio,bearish_vol_oi
APP,LONG,0.2097366089765956,2.097366089765956,6.86,4.0867,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target, trend_aligned",none,4.9,POSITIVE,retest_and_confirm,26591255.87,480.22,500.0,400.0,4.12,16.71,191558.0,148594.0,0.776,102193.0,87312.0,150647.0,42.2,0.688,1.59,0.89,1.0,1.4,1.38,0.59,False,sustained_trend,5.0,False,1,0.7,99.0,2e-06,0.0,6.051051605195013e-05,0.0,1.375796,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.105259,0.0,0.0,0.0,1.0,0.2097366089765956,0.2097366089765956,n/a,2026-05-13,2026-05-13,,,,,,
EWY,SHORT,0.45600808401133286,4.560080840113328,1.48,4.224,watchlist_reeval_failed,room_to_target,"confirmation_volume, continuation_pattern, momentum_aligned, not_extended, trend_aligned",7.5,NEGATIVE,unknown,-2319068.99,,200.0,125.0,4.86,34.46,354857.0,520596.0,1.467,335054.0,350738.0,189661.0,90.4,0.626,0.0,0.0,1.0,0.0,0.37,0.11,True,default,2.5,False,1,1.0,0.0,0.0,0.000111,0.0,2034774.2763220705,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,7.6e-05,0.0,0.0,1.0,0.45600808401133286,0.45600808401133286,n/a,2026-05-13,2026-05-13,,,,,,4.080967
MARA,SHORT,0.4550806460572648,4.550806460572648,2.01,3.9184,watchlist_reeval_failed,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned",5.2,POSITIVE,unknown,15758365.17,13.59,15.0,5.0,10.13,63.29,1235861.0,888402.0,0.719,732841.0,426371.0,965051.0,35.9,0.86,0.0,0.31,1.0,0.0,0.17,0.52,False,default,2.5,False,1,1.0,0.0,0.0,0.000204,0.0,819044.7719605088,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,8.8e-05,0.0,0.519803,0.0,0.0,1.0,0.4550806460572648,0.4550806460572648,n/a,2026-05-13,2026-05-13,,,,,,13.002469
ETSY,SHORT,0.3573431139161279,3.5734311391612787,4.39,4.6437,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",7.7,NEUTRAL,trend_continuation,,,60.0,45.0,2.34,23.25,100469.0,75535.0,0.752,33777.0,56849.0,85378.0,41.8,0.511,0.0,0.68,0.78,1.4,1.44,0.09,False,default,2.5,False,1,1.0,0.0,0.0,6.4e-05,0.0,270874.69845070294,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,4.1e-05,0.0,0.831644,0.0,0.0,1.0,0.3573431139161279,0.3573431139161279,n/a,2026-05-13,2026-05-13,,,,,,
ADI,SHORT,0.31882683360354896,3.1882683360354895,2.7,3.4641,watchlist_reeval_failed,"bounce_and_fail, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",5.3,NEUTRAL,bounce_and_fail,,,480.0,270.0,12.25,36.86,55615.0,45073.0,0.81,28003.0,32089.0,40596.0,100.0,0.503,0.0,0.04,1.0,1.0,0.56,0.11,False,default,2.5,False,1,1.0,0.0,0.0,2e-06,0.0,25888.70922542938,,0,1,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.395351,0.0,0.0,1.0,0.31882683360354896,0.31882683360354896,n/a,2026-05-13,2026-05-13,,,,,,1.414894
NXE,LONG,0.6580640747371183,6.5806407473711825,3.54,5.6323,watchlist_reeval_failed,"ema_pullback, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",6.4,POSITIVE,ema_pullback,1619465.91,11.97,13.0,9.0,8.6,24.81,210904.0,81817.0,0.388,74286.0,106075.0,112360.0,59.8,0.712,0.0,0.82,0.63,1.2,0.57,0.32,False,default,2.5,False,1,1.0,99.0,8.2e-05,0.0,314113.5031528757,0.0,2.32849,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-05,0.0,0.255265,0.0,0.0,0.0,1.0,0.6580640747371183,0.6580640747371183,n/a,2026-05-13,2026-05-13,,,,,,
CENX,LONG,0.5018353239875968,5.018353239875967,5.89,5.2362,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,4.8,NEUTRAL,trend_continuation,,,65.0,45.0,4.91,27.37,37527.0,12059.0,0.321,7012.0,27988.0,14586.0,86.0,0.838,1.54,0.96,0.55,1.4,1.18,0.27,False,sustained_trend,5.0,False,1,1.0,99.0,0.000133,0.0,1.613902012848853e-26,0.0,26.338346,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.196359,0.0,0.0,0.0,1.0,0.5018353239875968,0.5018353239875968,n/a,2026-05-13,2026-05-13,,,,,,
WIX,LONG,0.3679104321253332,3.679104321253332,2.11,3.6126,watchlist_reeval_failed,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned",5.7,NEUTRAL,unknown,,,120.0,50.0,125.02,6.24,38080.0,30666.0,0.805,21802.0,22220.0,24724.0,77.8,0.79,0.0,0.0,1.0,0.0,0.11,1.0,True,default,2.5,False,1,1.0,99.0,0.000156,0.0,1.371718509278123e-20,0.0,9.5,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.533409,0.0,0.0,0.0,1.0,0.3679104321253332,0.3679104321253332,n/a,2026-05-13,2026-05-13,,,,,,
PL,LONG,0.3520216035631783,3.520216035631783,6.3,4.4701,watchlist_reeval_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",4.1,POSITIVE,trend_continuation,1861353.7,42.33,45.0,25.0,6.31,40.94,164526.0,110304.0,0.67,101534.0,55730.0,117566.0,100.0,1.365,2.13,0.76,0.0,1.4,1.78,0.23,False,sustained_trend,5.0,False,2,1.0,99.0,0.000142,0.0,2.3294212102596675e-19,0.0,60.641765,0,0,0.002479,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.054346,0.0,0.0,0.0,1.0,0.3520216035631783,0.3520216035631783,n/a,2026-05-13,2026-05-13,,,,,,
QCOM,LONG,0.34266996338711314,3.4266996338711313,4.7,3.9233,watchlist_reeval_failed,"not_extended, room_to_target, trend_aligned","confirmation_volume, continuation_pattern, momentum_aligned",4.0,POSITIVE,unknown,59801602.67,203.95,250.0,120.0,22.58,41.16,659837.0,449083.0,0.681,389624.0,316615.0,402681.0,99.4,0.745,2.86,0.39,1.0,0.0,0.12,0.33,False,default,2.5,False,4,1.0,0.47792049141064896,7e-06,3e-06,57746.20941653949,362484.2026301917,3.577525,0,1,0.080578,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,1e-06,0.218019,0.495014,0.0,0.0,1.0,0.34266996338711314,0.34266996338711314,n/a,2026-05-13,2026-05-13,,,,,,18.804878
