ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,freight_train,bearish_vol_oi,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,entry_price,stop_price,target_1,rr_ratio
TPR,LONG,0.3301390116029404,3.301390116029404,2.22,3.8367,price_validation_failed,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned",7.6,NEUTRAL,unknown,,,150.0,22.5,14.92,82.76,41218.0,24267.0,0.589,22077.0,25574.0,17834.0,30.9,0.369,1,1.0,99.0,9e-06,0.0,0.009763551049593942,0.0,32.608696,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.07184,0.0,0.0,0.0,False,,0.0,0.05,1.0,0.0,0.17,1.0,False,default,2.5,False,1.0,0.3301390116029404,0.3301390116029404,n/a,2026-05-07,2026-05-07,,,,
WULF,LONG,0.32804027551458204,3.28040275514582,6.86,4.6182,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,4.6,POSITIVE,trend_continuation,19328456.79,24.06,25.0,11.0,4.08,54.2,1713606.0,819129.0,0.478,805552.0,759974.0,967209.0,31.5,0.951,2,0.7,99.0,9.8e-05,0.0,122345.96418542838,0.0,3.676102,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.1e-05,0.0,0.47085,0.0,0.0,0.0,False,,2.21,0.62,1.0,1.4,1.24,0.37,False,sustained_trend,5.0,False,1.0,0.32804027551458204,0.32804027551458204,n/a,2026-05-07,2026-05-07,,,,
GDX,LONG,0.3278720852059578,3.278720852059578,4.88,4.1834,price_validation_failed,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, room_to_target",trend_aligned,5.4,POSITIVE,ema_pullback,54323687.78,91.67,100.0,75.0,9.03,18.23,947934.0,1019707.0,1.076,429389.0,576492.0,961760.0,59.6,0.461,2,1.0,0.13433711459901776,0.0,0.0,29936.17455464396,222843.66196192548,12.290698,0,0,0.0,0.0,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,0.0,0.0,0.459464,0.597805,0.0,0.0,False,2.091062,0.0,0.98,1.0,1.2,1.18,0.53,False,default,2.5,False,1.0,0.3278720852059578,0.3278720852059578,n/a,2026-05-07,2026-05-07,,,,
NBIS,LONG,0.31653927988579583,3.165392798857958,6.33,4.7617,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, trend_aligned, trend_continuation",room_to_target,6.4,NEGATIVE,trend_continuation,-1272537.41,,200.0,10.0,8.24,94.59,442694.0,407414.0,0.92,309214.0,150804.0,390090.0,88.5,1.073,1,1.0,99.0,2.4e-05,0.0,409184.6950014456,0.0,3.587591,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.014736,0.0,0.0,0.0,False,,2.28,0.57,0.13,1.4,1.55,0.4,False,sustained_trend,5.0,False,1.0,0.31653927988579583,0.31653927988579583,n/a,2026-05-07,2026-05-07,,,,
ANET,LONG,0.3137485869671444,3.137485869671444,2.17,3.9397,price_validation_failed,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned",8.6,NEGATIVE,unknown,-5335851.41,141.48,180.0,115.0,26.98,18.87,213855.0,187611.0,0.877,158317.0,97191.0,145958.0,44.8,0.511,4,1.0,99.0,1.4e-05,7e-06,19072.249592988315,36.32352762008447,23.891172,0,0,0.0,0.000235,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.039084,0.431896,0.0,0.0,False,47.045886,0.0,0.14,1.0,0.0,0.11,0.93,False,default,2.5,False,1.0,0.3137485869671444,0.3137485869671444,n/a,2026-05-07,2026-05-07,,,,
STX,LONG,0.3060264538911114,3.060264538911114,6.69,4.5171,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",4.9,NEUTRAL,trend_continuation,,,900.0,200.0,17.43,73.91,93471.0,112923.0,1.208,74309.0,42531.0,89554.0,78.3,0.76,1,1.0,99.0,1e-06,0.0,376.4399718733877,0.0,77.0,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.66639,0.0,0.0,0.0,False,,3.0,0.29,0.07,1.4,1.6,0.33,False,sustained_trend,5.0,False,1.0,0.3060264538911114,0.3060264538911114,n/a,2026-05-07,2026-05-07,,,,
AAPL,LONG,0.30360981409335824,3.0360981409335825,5.61,4.161,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",4.8,POSITIVE,trend_continuation,1865910579.82,287.17,300.0,250.0,4.37,13.03,2908807.0,2042345.0,0.702,1239474.0,1390620.0,2321058.0,28.0,0.231,4,1.0,99.0,1e-06,0.0,16446.862635551133,0.001334700791141659,3.787645,1,0,0.175427,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.380097,0.569249,0.0,0.0,False,9.387597,1.95,0.57,0.0,1.4,1.46,0.23,False,sustained_trend,5.0,False,1.0,0.30360981409335824,0.30360981409335824,n/a,2026-05-07,2026-05-07,,,,
FIG,LONG,0.29882413829116117,2.9882413829116117,4.8,3.8141,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",4.4,POSITIVE,trend_continuation,2967296.15,20.59,25.0,17.5,21.6,14.88,268024.0,156635.0,0.584,149722.0,130672.0,144265.0,80.5,1.013,2,1.0,99.0,0.00013,0.0,7.610072632783147e-13,0.0,2.938552,0,0,0.012092,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.166533,0.0,0.0,0.0,False,,0.0,0.66,1.0,1.4,1.42,0.32,False,default,2.5,False,1.0,0.29882413829116117,0.29882413829116117,n/a,2026-05-07,2026-05-07,,,,
FTNT,LONG,0.29761912538271923,2.976191253827192,7.21,4.9511,poor_rr (0.9:1),"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none,6.5,NEUTRAL,flag_breakout,,,120.0,80.0,11.14,25.91,97913.0,128730.0,1.315,83153.0,63751.0,79739.0,35.4,0.342,1,1.0,99.0,7e-06,0.0,2.056938691192143e-13,0.0,8.419355,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.439968,0.0,0.0,0.0,False,,1.9,0.03,1.0,1.6,1.68,1.0,False,sustained_trend,5.0,False,1.0,0.29761912538271923,0.29761912538271923,n/a,2026-05-07,2026-05-07,107.97,95.01,120.0,0.93
BE,LONG,0.28210485410017383,2.8210485410017383,4.45,3.5855,price_validation_failed,"not_extended, room_to_target, trend_aligned","confirmation_volume, continuation_pattern, momentum_aligned",4.2,NEGATIVE,unknown,-9063871.9,258.79,260.0,75.0,0.53,71.0,362873.0,418826.0,1.154,274978.0,219699.0,287022.0,15.6,0.994,5,0.7,0.4423742278551095,4.2e-05,1.5e-05,253.65859015029852,860.1040957342314,11.588401,0,0,0.381491,0.019689,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.11495,0.013037,0.0,0.0,False,6.721591,2.75,0.67,0.66,0.0,0.1,0.27,False,default,2.5,False,1.0,0.28210485410017383,0.28210485410017383,n/a,2026-05-07,2026-05-07,,,,
WDC,LONG,0.2802251682620178,2.802251682620178,6.61,4.8841,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",7.5,NEGATIVE,trend_continuation,-683232.51,464.22,500.0,90.0,7.78,80.6,179317.0,236419.0,1.318,135056.0,94957.0,185723.0,55.4,0.793,1,1.0,99.0,7e-06,0.0,122.55127867821426,0.0,73.846154,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.415689,0.0,0.0,0.0,False,,2.76,0.57,0.1,1.4,1.5,0.28,False,sustained_trend,5.0,False,1.0,0.2802251682620178,0.2802251682620178,n/a,2026-05-07,2026-05-07,,,,
