ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bearish_vol_oi,entry_price,stop_price,target_1,rr_ratio
GAP,SHORT,0.39400309063846994,3.9400309063846994,1.19,3.867,price_validation_failed,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned",7.7,NEUTRAL,unknown,,,30.0,22.0,9.51,19.69,49592.0,81700.0,1.647,42383.0,23138.0,65771.0,42.6,0.425,0.0,0.08,1.0,0.0,0.01,0.1,1694200.0216117294,4,1.0,5.902490775845217e-07,9e-06,1.6e-05,1.732541801716388e-14,2.935272357911129e-08,20.876469,1,0,0.0,1e-06,6.72684,,,,
STM,SHORT,0.39016601212659735,3.9016601212659734,0.0,2.341,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,121.45849291904199,4,1.0,84.95507496951471,2e-06,6e-06,69665.74008606664,273.34345088101173,51.588235,0,0,0.0,0.321456,13.676956,,,,
XLK,SHORT,0.389759380952381,3.89759380952381,1.23,4.0378,price_validation_failed,room_to_target,"confirmation_volume, continuation_pattern, momentum_aligned, not_extended, trend_aligned",8.6,NEGATIVE,unknown,-801835.82,154.24,160.0,130.0,3.72,15.73,281329.0,543058.0,1.93,148842.0,254209.0,421336.0,61.9,0.248,0.0,0.0,1.0,0.0,0.09,0.14,9.129085479289753,7,1.0,0.4587819384730146,0.0,0.0,17447.886615415475,50707.85676084835,2.843844,0,1,0.114218,0.388298,31.16665,,,,
ABVX,SHORT,0.38741484820644073,3.8741484820644074,5.17,4.5281,price_validation_failed,"confirmation_volume, engulfing_at_resistance, momentum_aligned, not_extended, room_to_target",trend_aligned,5.2,NEUTRAL,unknown,,,160.0,110.0,32.24,9.09,51735.0,28491.0,0.551,53115.0,11827.0,15284.0,75.1,1.039,0.0,0.86,0.7,1.6,1.62,0.39,1900.6548382930937,6,1.0,0.0010493027112188956,8e-06,2.2e-05,93.13681217347474,44380.33523485551,0.231161,1,3,0.002827,0.666844,0.587914,,,,
SPXL,SHORT,0.37704702861686007,3.770470286168601,0.0,2.2623,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,24242249.922883634,2,1.0,99.0,2.6e-05,1.1e-05,25.76505549430392,5.314080907561064e-07,0.391667,0,1,0.0,0.0,5.3,,,,
VFC,SHORT,0.3723801496288613,3.723801496288613,1.87,3.3629,price_validation_failed,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned",4.7,POSITIVE,unknown,692113.99,21.59,30.0,10.0,38.86,53.71,173753.0,255080.0,1.468,79441.0,22644.0,326748.0,16.9,0.504,0.0,0.0,1.0,0.0,0.12,0.75,0.15552244948376198,2,1.0,0.0,0.0,4.7e-05,0.0,818.5835100781184,,0,1,0.0,0.134591,7.207143,,,,
LYV,SHORT,0.3700301306851032,3.700301306851032,5.13,4.4892,price_validation_failed,"momentum_aligned, not_extended, room_to_target, volume_capitulation_reversal","confirmation_volume, trend_aligned",5.5,NEUTRAL,unknown,,,180.0,120.0,14.61,23.59,82428.0,89396.0,1.085,53423.0,18267.0,100134.0,83.0,0.389,0.0,0.9,1.0,1.4,1.52,0.32,0.025639828158939188,2,1.0,0.0,0.0,3.7e-05,0.0,491557.668705583,,0,0,0.0,0.024999,81.767857,,,,
ROKU,SHORT,0.3677088962696281,3.6770889626962813,0.0,2.2063,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,546.5368497427082,3,1.0,1.7406047559004583,6e-06,7e-06,70157.46497667681,20153.186626329367,0.43609,0,0,0.0,0.003416,8.730892,,,,
IWM,SHORT,0.3671789290173111,3.671789290173111,1.57,3.5469,price_validation_failed,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned",6.2,POSITIVE,unknown,794011955.52,276.34,280.0,250.0,1.32,9.53,2723672.0,7664491.0,2.814,4154563.0,2093138.0,4140462.0,50.2,0.216,0.0,0.0,1.0,0.0,0.15,0.42,0.6826501933972156,10,1.0,0.0,0.0,3.1e-05,0.0,185915.20267247636,,0,0,0.0,0.815976,0.753639,,,,
PONY,SHORT,0.3636170168764005,3.6361701687640053,0.0,2.1817,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,3.0445648051293926e+26,2,1.0,99.0,0.000293,7e-06,947702.148662654,1.556383603768252e-21,,0,1,0.0,0.0,32.627119,,,,
