ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train
NBIS,SHORT,0.2560107394757494,2.560107394757494,5.9,4.2701,watchlist_reeval_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target, trend_aligned",confirmation_volume,6.1,NEGATIVE,retest_and_confirm,-415073.56,,350.0,170.0,61.89,21.37,633450.0,672324.0,1.061,497741.0,227300.0,580733.0,99.3,1.334,1.65,0.72,1.0,1.4,0.94,0.18,False,default,2.5,False,1,1.0,0.0,0.0,1.9e-05,0.0,0.04901061872578218,,2.830588,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.000164,0.0,0.0,1.0,0.2560107394757494,0.2560107394757494,n/a,2026-07-08,2026-07-08,
AVGO,SHORT,0.2521840996665058,2.521840996665058,3.39,3.2379,watchlist_reeval_failed,"ema_rally, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",4.8,POSITIVE,ema_rally,331107269.18,401.2,500.0,300.0,24.65,25.21,1041009.0,1061802.0,1.02,540392.0,460852.0,1101567.0,64.6,0.512,0.0,0.67,1.0,1.2,0.25,0.27,False,default,2.5,False,3,0.7,1.1032520801322452,0.0,1e-06,0.04555667631420003,0.02064653995881849,1.58,2.46462,1,1,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.087934,0.08855,0.0,0.0,1.0,0.2521840996665058,0.2521840996665058,n/a,2026-07-08,2026-07-08,
MLM,LONG,0.5065163738543761,5.065163738543761,3.22,4.5986,watchlist_reeval_failed,"ema_pullback, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",5.5,NEUTRAL,ema_pullback,,,680.0,550.0,18.9,3.83,2881.0,1339.0,0.465,1383.0,657.0,2180.0,94.7,0.343,0.0,0.66,1.0,1.2,0.31,0.06,False,default,2.5,False,1,1.0,99.0,1.7e-05,0.0,2.195120574538363e-56,0.0,21.4,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.793696,0.0,0.0,0.0,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-07-08,2026-07-08,
VST,LONG,0.5621671555758163,5.621671555758163,6.04,5.6028,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, support_ema_confluence, trend_aligned",confirmation_volume,4.9,POSITIVE,support_ema_confluence,7694131.35,157.92,200.0,120.0,26.6,24.04,256223.0,222281.0,0.868,136092.0,150797.0,191615.0,73.6,0.583,1.54,0.93,0.47,1.6,1.5,0.0,False,default,2.5,False,1,1.0,99.0,0.000176,0.0,6028964.527844849,0.0,2.202077,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,2.4e-05,0.0,0.210392,0.0,0.0,0.0,1.0,0.5621671555758163,0.5621671555758163,n/a,2026-07-08,2026-07-08,
ASHR,LONG,0.519147000838503,5.191470008385029,7.26,5.0737,"wall_proximity (0.3%, 0.2 ATR)","confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none,1.5,POSITIVE,flag_breakout,18035541.19,35.88,36.0,33.0,0.33,8.03,320931.0,315228.0,0.982,190472.0,15216.0,430471.0,92.0,0.23,1.63,0.92,0.7,1.6,1.93,0.49,False,default,2.5,False,3,0.7,2.075445054770834,0.001455,0.000795,6.159953582194868e-12,5.93603147241596e-12,44.727941,2.746432,0,0,0.419051,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.701194,0.35274,0.0,0.0,1.0,0.519147000838503,0.519147000838503,n/a,2026-07-08,2026-07-08,
COPX,LONG,0.44239224604878186,4.423922460487819,4.56,4.76,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_continuation",trend_aligned,5.9,POSITIVE,trend_continuation,1780381.59,75.35,100.0,75.0,32.63,0.53,262214.0,78837.0,0.301,139340.0,108886.0,92825.0,31.9,0.461,0.0,0.58,1.0,1.4,1.15,0.43,False,default,2.5,False,1,1.0,99.0,0.001122,0.0,2.388734013444932e-28,0.0,4.79854,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.120091,0.0,0.0,0.0,1.0,0.44239224604878186,0.44239224604878186,n/a,2026-07-08,2026-07-08,
MKSI,LONG,0.40713165462399403,4.07131654623994,6.26,4.8737,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,4.8,NEUTRAL,trend_continuation,,,490.0,185.0,32.87,49.83,8824.0,8143.0,0.923,8335.0,2100.0,6532.0,99.3,0.86,1.76,0.96,0.96,1.4,1.0,0.19,False,default,2.5,False,3,0.7,1.906822390485042,3e-05,1.5e-05,2.0167330552953808e-13,2.1152814917202442e-13,31.642857,5.823529,1,0,0.356828,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.322731,0.62643,0.0,0.0,1.0,0.40713165462399403,0.40713165462399403,n/a,2026-07-08,2026-07-08,
MPC,LONG,0.3650979910422431,3.650979910422431,5.99,5.0625,watchlist_reeval_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",7.2,NEUTRAL,trend_continuation,,,300.0,220.0,5.89,22.34,38159.0,25013.0,0.655,15685.0,16389.0,31098.0,63.3,0.386,1.96,0.5,0.0,1.4,1.97,0.17,False,sustained_trend,5.0,False,2,1.0,99.0,1.2e-05,0.0,134097.169920089,0.0,1.554367,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,2e-06,0.0,0.490266,0.0,0.0,0.0,1.0,0.3650979910422431,0.3650979910422431,n/a,2026-07-08,2026-07-08,
NRG,LONG,0.3628247190284248,3.628247190284248,4.81,4.4971,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, support_ema_confluence","confirmation_volume, trend_aligned",6.2,NEUTRAL,support_ema_confluence,,,160.0,140.0,13.9,0.34,79587.0,35630.0,0.448,22810.0,51186.0,41221.0,98.7,0.552,0.0,0.88,1.0,1.6,1.33,0.0,False,default,2.5,False,1,1.0,99.0,1.9e-05,0.0,1.837028335208726e-55,0.0,143.071429,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.435271,0.0,0.0,0.0,1.0,0.3628247190284248,0.3628247190284248,n/a,2026-07-08,2026-07-08,
SPOT,LONG,0.3561259099923626,3.561259099923626,5.94,4.8026,watchlist_reeval_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target, trend_aligned",confirmation_volume,6.2,NEGATIVE,retest_and_confirm,-4490924.01,486.24,600.0,450.0,23.49,7.38,76868.0,69427.0,0.903,44775.0,43078.0,58442.0,90.2,0.57,1.58,0.79,0.48,1.4,1.41,0.28,False,default,2.5,False,7,1.0,99.0,3e-05,1.1e-05,0.0002426375022314443,2.985280092529921e-12,4.083634,5.250794,1,0,0.0,0.039225,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.716396,0.590494,0.0,0.0,1.0,0.3561259099923626,0.3561259099923626,n/a,2026-07-08,2026-07-08,
