ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,entry_price,stop_price,target_1,rr_ratio,bearish_vol_oi,bullish_score_z_shadow,bearish_score_z_shadow
ALLY,SHORT,0.4558434775605465,4.558434775605465,1.68,3.9632,watchlist_reeval_failed,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned",5.9,NEUTRAL,unknown,,,50.0,35.0,8.32,24.18,25669.0,26982.0,1.051,22256.0,9545.0,20850.0,15.2,0.294,0.0,0.0,1.0,0.0,0.33,0.35,3,1.0,0.0,0.0,2.2e-05,0.0,0.5876044519645149,,0,1,0.0,0.086861,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.224837,0.0,0.0,,,,,4.090803,,
XLV,SHORT,0.4356498629837356,4.356498629837356,6.03,5.4472,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,7.3,NEGATIVE,trend_continuation,-18127457.25,,150.0,70.0,2.42,52.21,133753.0,300825.0,2.249,38915.0,123855.0,271808.0,89.4,0.194,1.69,0.72,0.49,1.4,1.64,0.08,8,1.0,0.0038629013612337506,0.0,0.0,0.035498384661154424,3.0631884639353735,0.691592,0,2,0.033697,0.003769,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.432363,0.566969,0.0,0.0,,,,,16.861845,,
WDC,SHORT,0.3804766825717308,3.8047668257173077,2.87,3.5634,watchlist_reeval_failed,"bounce_and_fail, room_to_target","confirmation_volume, momentum_aligned, not_extended, trend_aligned",4.0,POSITIVE,bounce_and_fail,5528456.03,387.11,400.0,90.0,3.18,76.79,145831.0,198822.0,1.363,104479.0,80523.0,159651.0,95.9,0.883,0.0,0.0,1.0,1.0,0.59,0.29,11,1.0,0.00010184608334727988,2e-06,4e-06,4.761600724959117,26715.948326640377,1.512968,0,1,0.067563,0.43818,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.224723,0.028444,0.0,0.0,,,,,15.192796,,
PKG,SHORT,0.375,3.75,6.06,4.133,watchlist_reeval_failed,"momentum_aligned, not_extended, resistance_ema_confluence, trend_aligned","confirmation_volume, room_to_target",2.2,NEUTRAL,resistance_ema_confluence,,,220.0,200.0,8.2,1.64,1053.0,1272.0,1.208,1317.0,866.0,142.0,98.8,0.4,1.8,0.41,0.0,1.6,1.95,0.3,1,1.0,0.0,0.0,5e-06,0.0,1.1368086347005752e-07,,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.542838,0.0,0.0,,,,,52.0,,
QLD,SHORT,0.35842764076151334,3.5842764076151337,1.16,3.3401,watchlist_reeval_failed,room_to_target,"confirmation_volume, continuation_pattern, momentum_aligned, not_extended, trend_aligned",6.0,NEUTRAL,unknown,,,80.0,55.0,2.76,29.35,35798.0,7926.0,0.221,9964.0,3895.0,29865.0,61.5,0.404,0.0,0.0,1.0,0.0,0.02,0.13,2,1.0,0.0,0.0,0.0,0.0,0.0029072586756554142,,0,1,0.0,0.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.257557,0.0,0.0,,,,,114.022727,,
WHR,SHORT,0.3447273015012889,3.4472730150128887,6.1,4.6136,watchlist_reeval_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target, trend_aligned",confirmation_volume,5.3,NEUTRAL,retest_and_confirm,,,70.0,50.0,25.56,10.31,44062.0,39298.0,0.892,14005.0,22396.0,46959.0,98.4,0.659,1.84,0.86,0.63,1.4,1.27,0.09,4,1.0,0.0,0.0,0.000145,0.0,0.0008619327610593728,,0,2,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.616855,0.0,0.0,,,,,2.328459,,
SVIX,SHORT,0.34176511365767154,3.4176511365767155,3.93,4.1878,watchlist_reeval_failed,"ema_rally, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",6.5,NEUTRAL,ema_rally,,,19.0,14.0,2.26,24.65,42710.0,41582.0,0.974,36570.0,18867.0,28855.0,53.2,0.631,0.0,0.63,0.92,1.2,1.18,0.0,3,1.0,0.0,0.0,0.000386,0.0,0.021324514978410102,,0,2,0.0,0.003554,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.724083,0.0,0.0,,,,,11.29965,,
AGIO,SHORT,0.3414994530821066,3.4149945308210663,5.51,4.3005,watchlist_reeval_failed,"momentum_aligned, pullback_to_resistance, trend_aligned","confirmation_volume, not_extended, room_to_target",4.7,NEUTRAL,pullback_to_resistance,,,30.0,25.0,11.57,7.03,38101.0,7008.0,0.184,4790.0,77.0,40242.0,5.3,0.453,2.0,0.0,0.0,1.4,1.83,0.27,1,1.0,0.0,0.0,2.1e-05,0.0,2.5649474945873152e-20,,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.902514,0.0,0.0,,,,,0.217949,,
XYZ,SHORT,0.33860386422817335,3.3860386422817337,2.73,3.232,watchlist_reeval_failed,"bounce_and_fail, momentum_aligned, room_to_target","confirmation_volume, not_extended, trend_aligned",3.6,POSITIVE,bounce_and_fail,14987983.38,72.41,145.0,45.0,100.39,37.81,256724.0,144897.0,0.564,131947.0,52224.0,217450.0,95.0,0.672,0.0,0.0,1.0,1.0,0.73,0.0,3,1.0,0.0,0.0,1e-05,0.0,53594.6248902432,,0,1,0.0,0.000141,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,1e-06,0.0,0.295548,0.0,0.0,,,,,5.962236,,
SOXX,SHORT,0.3378166601205246,3.378166601205246,0.0,2.0269,watchlist_reeval_failed,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,0.0,2.1e-05,0.0,13210.479447022852,582.8,0,0,0.0,0.001008,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,1e-06,0.0,0.506056,0.0,0.0,,,,,3.120809,,
