ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,price_trend,price_extension,price_room,price_pattern,price_candle,price_pullback_vol,price_confirm_vol
WULF,LONG,0.36537833087926963,3.653783308792696,4.65,4.5019,price_validation_failed,"confirmation_volume, ema_pullback, healthy_pullback_volume, not_extended, trend_aligned","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, pullback_to_support, room_to_target, structural_breakout",6.4,POSITIVE,unknown,11841373.45,15.12,20.0,11.0,32.45,27.15,1285698.0,775392.0,0.603,443760.0,501692.0,572500.0,1.53,0.92,0.0,1.2,0.0,0.66,0.34
SQQQ,LONG,0.3567748855204281,3.5677488552042806,4.82,4.6499,price_validation_failed,"ema_pullback, healthy_pullback_volume, not_extended, trend_aligned","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, pullback_to_support, room_to_target, structural_breakout",7.1,NEUTRAL,unknown,,,90.0,65.0,12.15,19.0,159466.0,81567.0,0.512,91644.0,33503.0,29955.0,2.05,0.03,0.0,1.2,0.56,0.7,0.27
CRWD,LONG,0.3438577394584664,3.438577394584664,0.0,2.0631,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,
ULTA,LONG,0.3425,3.4250000000000003,0.0,2.055,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,
VST,LONG,0.33773796053244254,3.3773796053244256,0.0,2.0264,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,
UVXY,LONG,0.3367810987489566,3.367810987489566,6.01,4.9269,price_validation_failed,"bullish_strong_close, ema_pullback, healthy_pullback_volume, not_extended, strong_trend, trend_aligned","bounce_and_fail, bullish_rejection_wick, confirmation_volume, flag_breakout, pullback_to_support, room_to_target, structural_breakout",7.2,NEUTRAL,unknown,,,75.0,35.0,38.63,35.3,161251.0,87246.0,0.541,96040.0,54969.0,28278.0,2.52,0.24,0.1,1.2,0.82,0.87,0.27
CRK,LONG,0.330521147057948,3.30521147057948,4.78,4.6266,price_validation_failed,"confirmation_volume, ema_pullback, healthy_pullback_volume, not_extended, trend_aligned","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, pullback_to_support, room_to_target, structural_breakout",7.7,NEUTRAL,unknown,,,35.0,8.0,61.36,63.12,47991.0,24541.0,0.511,4998.0,16815.0,36552.0,1.55,0.54,0.0,1.2,0.0,0.6,0.89
ALAB,LONG,0.33,3.3000000000000003,0.0,1.98,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,
MU,LONG,0.3294213229704275,3.2942132297042748,0.0,1.9765,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,
MRVL,LONG,0.32096921130424405,3.2096921130424407,0.0,1.9258,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,
