ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bearish_vol_oi,bullish_score_z_shadow,bearish_score_z_shadow
FDX,SHORT,0.24396977976077622,2.4396977976077623,3.64,3.7718,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",7.3,NEUTRAL,trend_continuation,,,400.0,310.0,1.86,21.06,40721.0,52103.0,1.28,30304.0,24351.0,38169.0,43.0,0.322,0.0,0.14,1.0,1.4,0.8,0.29,1,1.0,0.0,0.0,1.1e-05,0.0,856380.079012432,,0,0,0.0,0.0,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,0.0,5e-06,0.0,0.494568,0.0,0.0,1.745283,,
CELH,LONG,0.27637838885187815,2.7637838885187813,3.55,3.4269,watchlist_reeval_failed,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",4.9,POSITIVE,bounce_and_fail,782894.3,33.94,60.0,30.0,76.83,11.58,331180.0,150819.0,0.455,91583.0,138296.0,252120.0,97.5,0.804,0.0,0.56,1.0,1.0,0.83,0.16,1,1.0,99.0,8.3e-05,0.0,9.197319712340814e-13,0.0,2.60574,0,0,0.0,0.0,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,0.0,0.0,0.037806,0.0,0.0,0.0,,,
KTOS,SHORT,0.46064960786933246,4.606496078693325,5.72,5.0192,watchlist_reeval_failed,"momentum_aligned, not_extended, resistance_ema_confluence, trend_aligned","confirmation_volume, room_to_target",5.0,NEUTRAL,resistance_ema_confluence,,,90.0,55.0,37.36,16.06,52423.0,35996.0,0.687,48635.0,3764.0,36020.0,73.3,0.816,1.78,0.27,0.0,1.6,1.74,0.33,1,1.0,0.0,0.0,5.3e-05,0.0,577420.2723138974,,0,0,0.0,0.0,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,0.0,3.2e-05,0.0,0.664488,0.0,0.0,82.714286,,
BMNR,SHORT,0.20141166577375325,2.0141166577375325,5.11,3.2801,watchlist_reeval_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned",3.7,POSITIVE,retest_and_confirm,8022819.6,22.01,25.0,18.0,13.64,18.18,1093745.0,492856.0,0.451,602215.0,237265.0,747121.0,8.3,0.871,0.0,0.86,1.0,1.4,1.67,0.17,1,1.0,0.0,0.0,2.9e-05,0.0,7.778768579465465e-11,2.739009,0,0,0.0,0.0,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.595532,0.0,0.0,2.234694,,
MS,SHORT,0.18696122820482342,1.8696122820482342,4.02,3.4008,watchlist_reeval_failed,"momentum_aligned, not_extended, pullback_to_resistance, room_to_target","confirmation_volume, trend_aligned",6.3,POSITIVE,pullback_to_resistance,17178536.66,188.67,200.0,160.0,6.02,15.19,146039.0,212548.0,1.455,61929.0,106055.0,190603.0,59.8,0.297,0.0,0.18,1.0,1.4,1.44,0.0,1,1.0,0.0,0.0,3e-06,0.0,791225.7701502151,,0,0,0.0,0.0,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,0.0,1e-06,0.0,0.472192,0.0,0.0,1.231591,,
SCHW,LONG,0.24807813688527733,2.480781368852773,2.15,3.1654,watchlist_reeval_failed,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned",6.4,NEGATIVE,unknown,-40856422.26,,100.0,85.0,12.46,4.41,210030.0,262353.0,1.249,176095.0,113617.0,182671.0,71.3,0.309,0.0,0.15,1.0,0.0,0.34,0.66,1,0.7,99.0,4e-06,0.0,0.4640396353338087,0.0,2.686667,0,0,0.0,0.0,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,0.0,0.0,0.435781,0.0,0.0,0.0,,,
SEI,SHORT,0.5114994530821066,5.1149945308210665,2.13,4.2365,watchlist_reeval_failed,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned",5.2,NEUTRAL,unknown,,,70.0,60.0,0.75,13.64,17704.0,19306.0,1.09,21716.0,3127.0,12167.0,72.1,1.022,0.0,0.21,1.0,0.0,0.5,0.41,1,1.0,0.0,0.0,0.000652,0.0,0.15482459618898883,,0,0,0.0,0.0,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.181873,0.0,0.0,58.402299,,
WSM,SHORT,0.5114994530821066,5.1149945308210665,4.94,5.5195,watchlist_reeval_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned",7.4,NEUTRAL,retest_and_confirm,,,230.0,180.0,19.55,6.44,6377.0,8224.0,1.29,3383.0,4985.0,6233.0,49.9,0.419,0.0,0.96,0.68,1.4,1.79,0.1,1,1.0,0.0,0.0,6.1e-05,0.0,1.261442791229847e-18,,0,0,0.0,0.0,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.45224,0.0,0.0,9.803922,,
FN,LONG,0.382550780570952,3.82550780570952,4.69,4.2398,watchlist_reeval_failed,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned",4.6,NEUTRAL,trend_continuation,,,760.0,610.0,10.23,11.52,3965.0,7909.0,1.995,5398.0,2649.0,3827.0,98.9,1.007,2.03,0.36,0.23,1.4,0.46,0.21,1,1.0,99.0,2.3e-05,0.0,438842.6406500921,0.0,4.6875,0,0,0.0,0.0,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4e-06,0.0,0.247044,0.0,0.0,0.0,,,
HPE,LONG,0.3000957548778772,3.0009575487787723,5.55,4.0055,watchlist_reeval_failed,"momentum_aligned, room_to_target, trend_aligned, trend_continuation","confirmation_volume, not_extended",4.2,POSITIVE,trend_continuation,3205478.51,27.95,30.0,17.0,7.41,39.13,180272.0,167812.0,0.931,105084.0,72258.0,170742.0,71.0,0.482,2.48,0.0,0.45,1.4,1.09,0.13,1,1.0,99.0,2.2e-05,0.0,6.775626264981573e-18,0.0,1.872422,0,0,0.0,0.0,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,0.0,0.0,0.492039,0.0,0.0,0.0,,,
GTES,LONG,0.5114994530821066,5.1149945308210665,4.32,4.3535,watchlist_reeval_failed,"not_extended, room_to_target, trend_aligned","confirmation_volume, continuation_pattern, momentum_aligned",2.5,NEUTRAL,unknown,,,26.0,24.0,1.96,5.88,12191.0,3787.0,0.311,8915.0,6075.0,988.0,96.2,0.484,2.08,0.61,1.0,0.0,0.6,0.04,1,1.0,99.0,0.000216,0.0,633853.3538864233,0.0,,0,0,0.0,0.0,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,5.9e-05,0.0,0.614079,0.0,0.0,0.0,,,
WEN,LONG,0.5114994530821066,5.1149945308210665,3.54,4.8395,watchlist_reeval_failed,"ema_pullback, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",6.1,NEGATIVE,ema_pullback,-1227030.11,,8.0,6.0,15.44,13.42,162622.0,179250.0,1.102,230462.0,2160.0,109250.0,93.4,0.506,0.0,0.86,1.0,1.2,0.19,0.29,1,1.0,99.0,0.000345,0.0,2.1477728117158967e-30,0.0,100.671141,0,0,0.0,0.0,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,0.0,0.0,0.079619,0.0,0.0,0.0,,,
JBTM,LONG,0.4939466308626221,4.939466308626221,3.58,4.5237,watchlist_reeval_failed,"ema_pullback, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",4.9,NEUTRAL,ema_pullback,,,135.0,125.0,3.13,4.51,2219.0,1123.0,0.506,901.0,1079.0,1362.0,76.6,0.5,0.0,0.96,1.0,1.2,0.36,0.06,1,1.0,99.0,8.6e-05,0.0,305135.5559886579,0.0,,0,0,0.0,0.0,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,2.2e-05,0.0,0.501872,0.0,0.0,0.0,,,
WULF,LONG,0.467586287755653,4.67586287755653,5.24,4.8499,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, trend_aligned, trend_continuation",room_to_target,4.7,POSITIVE,trend_continuation,15111114.61,20.32,25.0,11.0,22.73,46.0,1529349.0,750313.0,0.491,842340.0,659017.0,778305.0,72.6,1.035,1.94,0.36,0.07,1.4,1.08,0.39,1,1.0,99.0,9.8e-05,0.0,481604.21132679813,0.0,11.544776,0,0,0.0,0.0,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,1.7e-05,0.0,0.302276,0.0,0.0,0.0,,,
RSP,LONG,0.44799875477516843,4.479987547751684,3.95,4.065,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned",continuation_pattern,3.2,NEUTRAL,unknown,,,205.0,180.0,1.26,11.09,71253.0,166091.0,2.331,35382.0,114252.0,87710.0,72.5,0.159,2.2,0.29,0.24,0.0,0.86,0.35,2,1.0,99.0,2.3e-05,9e-06,0.04436659189291662,3.128868743777269e-13,2.634082,0,0,0.0,0.0,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,0.0,0.0,0.224336,0.307276,0.0,0.0,79.545455,,
LCID,LONG,0.3847391430879011,3.8473914308790107,2.07,3.6447,watchlist_reeval_failed,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned",5.5,NEGATIVE,unknown,-212439.34,,10.0,5.0,59.49,20.26,278531.0,308119.0,1.106,308974.0,66734.0,210942.0,99.8,1.128,0.0,0.0,1.0,0.0,0.07,1.0,1,1.0,99.0,0.000255,0.0,18481.431074370335,0.0,82.306931,0,0,0.0,0.0,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,1e-06,0.0,0.16589,0.0,0.0,0.0,,,
PDD,LONG,0.33165477924189063,3.3165477924189064,2.01,3.7613,watchlist_reeval_failed,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned",7.5,NEGATIVE,unknown,-19315320.13,,125.0,90.0,27.85,7.95,690085.0,412622.0,0.598,306702.0,338445.0,457560.0,78.3,0.399,0.0,0.49,0.95,0.0,0.19,0.38,6,1.0,99.0,2.8e-05,1.3e-05,3.5113117652436934,4.093956027115827e-21,2.443749,1,1,0.0,0.0,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,0.0,0.0,0.1561,0.150757,0.0,0.0,2.610623,,
MDB,LONG,0.25655562799084886,2.5655562799084883,4.44,3.8348,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target",trend_aligned,6.1,NEUTRAL,retest_and_confirm,,,500.0,250.0,93.72,3.14,108982.0,58010.0,0.532,73746.0,25845.0,67401.0,70.5,0.663,0.0,0.91,1.0,1.4,0.71,0.43,1,0.7,99.0,2.5e-05,0.0,2.2048926997524604e-13,0.0,2.641509,0,0,0.0,0.0,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,0.0,0.0,0.199472,0.0,0.0,0.0,,,
HPQ,SHORT,0.4161554123593887,4.161554123593887,3.95,3.9458,watchlist_reeval_failed,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",3.4,POSITIVE,bounce_and_fail,4151647.73,20.16,23.0,18.0,14.2,10.63,184203.0,167362.0,0.909,153242.0,59205.0,139118.0,90.8,0.502,0.0,0.58,0.84,1.0,1.4,0.13,1,1.0,0.0,0.0,3.6e-05,0.0,0.00010563606337996312,,0,0,0.0,0.0,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.253984,0.0,0.0,10.056381,,
