ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,entry_price,stop_price,target_1,rr_ratio,bullish_score_z_shadow,bearish_score_z_shadow
WT,LONG,0.44286813005635445,4.428681300563545,7.4,5.6943,poor_rr (1.0:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,6.3,NEUTRAL,trend_continuation,,,20.0,10.0,11.98,44.01,42692.0,1297.0,0.03,415.0,18724.0,24850.0,97.5,0.529,2.17,0.18,1.0,1.4,1.65,1.0,2,1.0,99.0,7.7e-05,0.0,56022.43697658616,0.0,0.518227,,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.8e-05,0.0,0.612687,0.0,0.0,0.0,17.86,15.72,20.0,1.0,,
KRE,LONG,0.4406023233011959,4.406023233011959,6.5,5.893,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,8.7,NEGATIVE,trend_continuation,-62635210.74,,75.0,50.0,5.86,29.42,526516.0,1164267.0,2.211,354225.0,648692.0,687866.0,41.8,0.271,2.07,0.31,1.0,1.4,1.59,0.13,5,1.0,6.388716376120775,0.0,0.0,19.280844436656746,12.07181117554263,41.997613,0.75142,2,0,0.60489,0.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.259757,0.546142,0.0,0.0,,,,,,
VECO,LONG,0.4401951405770793,4.401951405770793,7.8,5.801,price_validation_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,6.3,NEUTRAL,trend_continuation,,,55.0,42.0,21.31,7.37,1379.0,122.0,0.088,536.0,779.0,186.0,98.8,0.809,2.51,0.0,1.0,1.4,1.88,1.0,1,1.0,99.0,2.4e-05,0.0,58138.41904348385,0.0,,,1,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3e-06,0.0,0.136542,0.0,0.0,0.0,,,,,,
MRVL,LONG,0.43971939710107133,4.397193971010713,0.0,2.6383,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,9,1.0,99.0,4e-06,2e-06,77818.6563709475,24.291200037028293,3.151912,0.234407,2,1,0.606987,0.47655,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2e-06,0.0,0.477356,0.277199,0.0,0.0,,,,,,
IBM,LONG,0.4175174029689244,4.175174029689244,0.0,2.5051,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,19,1.0,99.0,4e-06,3e-06,20579.590357888,0.013857689761634477,1.096557,0.520958,4,3,0.536911,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.339389,0.192171,0.0,0.0,,,,,,
ENTG,LONG,0.4106898327504081,4.106898327504081,5.95,4.9384,price_validation_failed,"confirmation_volume, momentum_aligned, trend_aligned, trend_continuation","not_extended, room_to_target",5.5,NEUTRAL,trend_continuation,,,160.0,100.0,9.22,31.74,14519.0,5434.0,0.374,10862.0,29.0,9062.0,94.9,0.7,2.13,0.0,0.0,1.4,1.81,0.6,6,1.0,99.0,3.4e-05,3e-06,0.0005893691949943865,1.3038284926910304e-17,0.134922,0.78125,0,0,0.635633,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.886975,0.343376,0.0,0.0,,,,,,
POET,LONG,0.4073350961439818,4.073350961439818,0.0,2.444,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,7,1.0,1.660451965265804,0.000231,0.000356,25638.285140450655,11580.409585808085,2.275948,3.980111,1,1,0.00046,0.001098,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8e-06,1.1e-05,0.096883,0.219643,0.0,0.0,,,,,,
HUT,LONG,0.3919758527218324,3.919758527218324,0.0,2.3519,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,9,1.0,0.000345598765821036,2.2e-05,4.3e-05,0.0038077595123399885,5.508931004562367,4.188192,8.98864,1,2,0.623308,0.422985,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.16165,0.091128,0.0,0.0,,,,,,
AR,LONG,0.37688115378473247,3.768811537847325,0.0,2.2613,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,7,1.0,99.0,4.1e-05,6.3e-05,13.195632849397997,8.186626668734193e-17,4643.479849,2.125439,0,0,7e-06,0.270444,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.030481,0.207107,0.0,0.0,,,,,,
PONY,LONG,0.37205500863766217,3.7205500863766217,4.58,4.4343,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",6.0,NEUTRAL,trend_continuation,,,12.5,10.0,10.04,11.97,96487.0,23551.0,0.244,83699.0,15535.0,20804.0,70.9,0.903,0.0,0.48,1.0,1.4,1.38,0.32,3,1.0,99.0,0.000322,6e-06,167.48436440418044,5.50109375638866e-25,0.375774,32.627119,1,1,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.367252,0.303496,0.0,0.0,,,,,,
BSX,LONG,0.3620266485716971,3.6202664857169706,0.0,2.1722,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,15,1.0,1.3970892186541297,1e-05,7e-06,0.011223859414743083,0.012050618455371946,1.479736,0.564594,0,1,0.099372,0.055942,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.244032,0.719903,0.0,0.0,,,,,,
XLK,LONG,0.35968498203135457,3.5968498203135457,0.0,2.1581,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,6,1.0,0.4565176775526283,0.0,0.0,8.182108871241743,17.92287412637705,3.732106,31.16665,0,1,0.109825,0.388298,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.555008,0.203956,0.0,0.0,,,,,,
NUE,LONG,0.35595555704814896,3.5595555704814896,0.0,2.1357,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,5,1.0,99.0,4e-06,3e-06,8.631556470183292e-09,1.5429131095712184e-11,4.139766,5.568841,1,0,0.016438,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.095609,0.09961,0.0,0.0,,,,,,
OKTA,LONG,0.3547301520391605,3.5473015203916045,5.75,4.5987,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_continuation",trend_aligned,5.5,NEUTRAL,trend_continuation,,,82.5,50.0,9.36,33.72,87786.0,97143.0,1.107,47613.0,31719.0,105597.0,68.0,0.573,0.0,0.75,1.0,1.4,1.78,0.82,5,1.0,5.3994781653241595e-05,1.6e-05,9e-06,0.8882125120554621,24674.95426945961,2.645553,0.221352,1,0,0.459686,2e-05,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,2e-06,0.22018,0.428614,0.0,0.0,,,,,,
CLF,LONG,0.35400162581042244,3.5400162581042243,5.1,4.48,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target",trend_aligned,5.9,POSITIVE,retest_and_confirm,1779816.85,9.46,10.0,8.0,6.55,14.76,394232.0,201216.0,0.51,172694.0,131408.0,291346.0,30.4,0.626,0.0,0.79,1.0,1.4,0.9,1.0,8,1.0,99.0,7.1e-05,4.2e-05,10495.639256711116,0.025136229758624923,2.621699,1.435956,0,1,1.7e-05,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.012902,0.269214,0.0,0.0,,,,,,
NTR,LONG,0.3434991500847242,3.434991500847242,0.0,2.061,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,14,1.0,0.9027462600653928,2.9e-05,3.9e-05,23.082087467767227,25.56874338764385,1.017751,0.613291,0,0,0.506304,0.214686,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.208198,0.114735,0.0,0.0,,,,,,
SGML,LONG,0.33934923867391903,3.39349238673919,7.94,5.3787,price_validation_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,6.5,NEUTRAL,trend_continuation,,,25.0,17.0,16.23,20.97,20912.0,19301.0,0.923,15591.0,8425.0,16197.0,62.5,1.186,2.65,0.0,1.0,1.4,1.88,1.0,1,1.0,99.0,4.9e-05,0.0,104799.42357671203,0.0,,,1,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.008341,0.0,0.0,0.0,,,,,,
U,LONG,0.33884924714401454,3.3884924714401454,6.03,4.3632,price_validation_failed,"momentum_aligned, room_to_target, trend_aligned, trend_continuation","confirmation_volume, not_extended",4.3,POSITIVE,trend_continuation,4188976.45,25.84,30.0,20.0,16.28,22.48,364383.0,188497.0,0.517,166092.0,105554.0,281234.0,79.2,0.844,2.05,0.0,1.0,1.4,1.5,0.08,4,1.0,3.019447746980009,8.9e-05,1.4e-05,2.0269932969823445,0.6713125931752595,9.033226,12.077364,0,0,0.285288,0.076833,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.267325,0.252142,0.0,0.0,,,,,,
ISRG,LONG,0.32781496233525087,3.2781496233525087,5.04,4.3711,price_validation_failed,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, room_to_target",trend_aligned,6.1,NEUTRAL,ema_pullback,,,520.0,430.0,10.89,8.3,41804.0,39117.0,0.936,19600.0,20762.0,40559.0,75.4,0.413,0.0,0.86,1.0,1.2,1.47,0.51,5,1.0,99.0,3e-06,0.0,9.694623790487823,1.1206791545904201e-29,2.352879,0.232759,1,0,0.499094,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.423689,0.553946,0.0,0.0,,,,,,
CVNA,LONG,0.31904197384335753,3.190419738433575,0.0,1.9143,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,11,1.0,0.4452192313412199,5e-06,1.2e-05,42.61054045450579,21.26819401166668,11.150685,1.333405,0,0,0.29701,0.667443,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.174458,0.136413,0.0,0.0,,,,,,
TLRY,LONG,0.31880116615258663,3.1880116615258665,5.55,4.499,price_validation_failed,"confirmation_volume, engulfing_at_support, momentum_aligned, not_extended, room_to_target",trend_aligned,6.2,NEUTRAL,unknown,,,15.0,7.0,114.29,0.0,93185.0,27970.0,0.3,26256.0,44697.0,50202.0,3.1,0.776,0.0,0.71,1.0,1.6,1.24,1.0,1,1.0,99.0,6.5e-05,0.0,1.5418101367269316e-29,0.0,13.457906,,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,2e-05,0.0,0.0,0.0,,,,,,
BBBY,LONG,0.31811511061086256,3.1811511061086257,6.65,4.7456,price_validation_failed,"confirmation_volume, momentum_aligned, room_to_target, support_ema_confluence, trend_aligned",not_extended,5.8,NEUTRAL,support_ema_confluence,,,7.5,5.0,30.66,12.89,40394.0,14200.0,0.352,12340.0,22316.0,19938.0,76.2,0.973,1.72,0.0,1.0,1.6,1.84,0.49,1,1.0,99.0,0.000208,0.0,29.815983765695456,0.0,0.591981,,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.790474,0.0,0.0,0.0,,,,,,
SOXS,LONG,0.31807433815217495,3.1807433815217494,3.27,3.9314,price_validation_failed,"bounce_and_fail, confirmation_volume, room_to_target","momentum_aligned, not_extended, trend_aligned",6.8,NEUTRAL,bounce_and_fail,,,25.0,17.0,31.79,10.38,86554.0,34326.0,0.397,85056.0,12176.0,23648.0,61.7,1.151,0.0,0.0,1.0,1.0,0.27,1.0,3,1.0,99.0,0.000314,0.000108,9.586016752533581,0.017532065758047742,135.055556,66.444444,0,1,0.002337,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.39989,0.222657,0.0,0.0,,,,,,
SATS,LONG,0.31522308756834777,3.1522308756834776,0.0,1.8913,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,33,1.0,0.2172826878264852,0.000132,0.000134,12053.289848244814,52209.74073832897,0.182096,2.662924,2,6,0.003431,0.309305,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2e-06,1.3e-05,0.190693,0.260941,0.0,0.0,,,,,,
EXPE,LONG,0.31412714184686963,3.1412714184686963,0.0,1.8848,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,6,1.0,1.8389032517410432e-05,1.1e-05,5.2e-05,0.006384362435791446,173.59158046370402,5.851365,19.96784,0,0,0.0,0.603184,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.149606,0.414038,0.0,0.0,,,,,,
TLN,LONG,0.31080440267208703,3.1080440267208704,0.0,1.8648,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,5,1.0,99.0,1.5e-05,4e-05,3.5514722739211217,4.2109808859629706e-05,12.5,0.452255,0,0,0.0,6e-06,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.634923,0.286864,0.0,0.0,,,,,,
ALK,LONG,0.3103079124720347,3.103079124720347,0.0,1.8618,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,3,1.0,4.799455474220769e-08,1.3e-05,1.9e-05,4.443525885968933e-09,0.046291979473883714,4.392857,0.595918,0,0,0.0,0.273429,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.848794,0.515743,0.0,0.0,,,,,,
SPXS,LONG,0.31018208624057697,3.10182086240577,0.0,1.8611,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,5,1.0,8.589248043676057e-09,0.00016,0.000521,7.386116968382404e-08,2.149814783210425,9.609756,7.409777,1,4,0.0,0.000628,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.36619,0.177979,0.0,0.0,,,,,,
BB,LONG,0.29556646850410023,2.955664685041002,0.0,1.7734,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,99.0,5e-05,0.0,31240.446780266237,0.0,0.596215,,0,0,0.000392,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9e-06,0.0,0.392139,0.0,0.0,0.0,,,,,,
ON,LONG,0.29359552758245416,2.9359552758245417,0.0,1.7616,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,5,1.0,0.06842040204086058,8e-06,7e-06,1.3004513312248485,28.510165661878613,2.036331,28.0,0,0,0.588703,0.437805,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.136631,0.559785,0.0,0.0,,,,,,
CSCO,LONG,0.2927118005090268,2.927118005090268,5.42,3.7496,price_validation_failed,"momentum_aligned, trend_aligned, trend_continuation","confirmation_volume, not_extended, room_to_target",3.3,POSITIVE,trend_continuation,34865058.48,87.55,90.0,70.0,2.82,20.03,359963.0,255558.0,0.71,99778.0,225883.0,289860.0,99.1,0.355,1.81,0.0,0.0,1.4,1.96,0.26,20,1.0,1.3936313431227356,3e-06,1e-06,5403.879340661511,4739.231396421312,0.480004,9.041447,3,1,0.00021,3e-06,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.165308,0.37092,0.0,0.0,,,,,,
TSM,LONG,0.28300754932104843,2.8300754932104843,5.9,3.745,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,2.8,POSITIVE,trend_continuation,24471685.79,367.95,370.0,300.0,0.57,18.46,691502.0,827665.0,1.197,382470.0,438018.0,698679.0,65.4,0.414,1.83,0.59,0.54,1.4,0.68,0.86,14,1.0,5.145654657845718,3e-06,1e-06,121.04554082757615,23.52383688303193,0.120007,0.080693,4,4,0.498567,0.378,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.466867,0.44029,0.0,0.0,,,,,,
ALB,LONG,0.27396563681152525,2.7396563681152526,6.23,4.4388,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,6.0,NEUTRAL,trend_continuation,,,260.0,70.0,31.37,64.63,92299.0,107411.0,1.164,21270.0,70573.0,107867.0,70.4,0.666,1.9,0.56,1.0,1.4,0.88,0.49,6,1.0,17.998310934040003,2.1e-05,1.1e-05,5.716265817037662,0.15880006290552948,2.17699,3.022672,1,1,0.24599,0.02375,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.224251,0.241316,0.0,0.0,,,,,,
