ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,entry_price,stop_price,target_1,rr_ratio
NNE,LONG,0.4843596423759187,4.8435964237591875,0.0,2.9062,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,8.264505425360559,3,1.0,0.10100956799606692,5.4e-05,9.1e-05,386.92212550830425,1915.2746278618383,4.904255,10.663121,0,0,0.0,0.11339,,,,,,,,,,
NOW,LONG,0.47494571624817955,4.749457162481796,5.47,5.2957,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, volume_capitulation_reversal",trend_aligned,6.4,NEGATIVE,unknown,-6537375.04,,100.0,85.0,6.81,9.21,560805.0,424520.0,0.757,341424.0,159519.0,484382.0,99.4,0.697,315.9655991835941,17,1.0,0.08858897672028922,1.8e-05,8e-06,1907.149844157153,39468.131480900185,1.768912,0.800873,0,3,0.686403,0.019237,0.0,0.51,1.0,1.4,1.56,1.0,,,,
AXON,LONG,0.47413686779452335,4.741368677945234,0.0,2.8448,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,3320904.9801280033,6,1.0,99.0,2.6e-05,2.3e-05,15156.658417432576,0.0071496293735993964,3.402199,5.578383,0,0,0.424912,0.0,,,,,,,,,,
JPM,LONG,0.4696878616338542,4.696878616338542,5.74,5.3304,price_validation_failed,"confirmation_volume, not_extended, room_to_target, trend_aligned, trend_continuation",momentum_aligned,6.3,NEGATIVE,trend_continuation,-69343094.2,,320.0,250.0,4.59,18.29,334697.0,388414.0,1.16,253363.0,155406.0,314342.0,51.1,0.246,159.38230390376606,14,1.0,10.15906137218593,2e-06,0.0,14883.259569289057,5371.7513611513505,3.138029,0.549446,1,0,0.150157,0.428877,1.97,0.61,1.0,1.4,0.21,0.55,,,,
ANF,LONG,0.4664884675975318,4.664884675975318,0.0,2.7989,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,450.45736479964205,5,1.0,1.7144150728188516,8.7e-05,0.000168,0.00011019783255514848,9.64158280298719e-05,1.073588,1.737524,0,0,0.088061,0.006012,,,,,,,,,,
IONQ,LONG,0.45193084219061236,4.519308421906124,0.0,2.7116,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.6326180459526806,9,1.0,3.039224819197449,8.2e-05,2.7e-05,172097.8119053949,113251.12299579062,0.465578,1.674418,1,1,0.597487,0.490404,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ASML,LONG,0.4503669425906862,4.503669425906862,0.0,2.7022,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,47.53480648287578,23,1.0,0.9132192190351847,7e-06,7e-06,126212.29197075703,150770.0821724236,1.280169,1.577442,4,5,0.554157,0.420835,,,,,,,,,,
PSKY,LONG,0.4433333333333333,4.433333333333333,6.14,4.8187,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,3.8,POSITIVE,trend_continuation,869075.91,11.3,17.0,10.0,50.11,11.7,517096.0,500503.0,0.968,155038.0,62302.0,800259.0,77.9,0.616,15.031472901930604,2,1.0,99.0,0.000228,0.0,0.027541932074440303,0.0,0.105648,,0,0,0.062377,0.0,1.88,0.01,1.0,1.4,1.83,0.02,,,,
BULL,LONG,0.4395794087258935,4.395794087258935,0.0,2.6375,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,15.34742424889719,2,1.0,99.0,6.7e-05,0.0,47875.560706816264,0.0,0.444593,,0,0,0.061172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
GOOGL,LONG,0.43713924449099706,4.37139244490997,0.0,2.6228,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,7.530729946655943,15,1.0,11.5194572685713,2e-06,1e-06,323631.39665653417,56188.653529624586,1.618004,0.59379,3,1,0.505353,0.514768,0.0,0.0,0.0,0.0,0.0,0.0,,,,
