ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth
YPF,LONG,0.39698248394770497,3.9698248394770497,0,2.3819,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,87.86818543330281,4.0,0.7,99.0,0.0,0.0,43980.736775664474,120.49121407626676,27.272727,3.19022,0.0,0.0,0.0,0.590945
GSAT,LONG,0.3928814919261129,3.9288149192611286,0,2.3573,error: No OHLCV data returned for ticker=GSAT,none,none,,,unknown,,,,,,,,,,,,,,,1.3885381899239813,3.0,1.0,2.5915151921898825,0.0,0.0,46695.41923652732,36037.15646912241,9.146341,12.979381,0.0,0.0,0.499442,0.0
PDD,LONG,0.3875927361904762,3.875927361904762,0,2.3256,error: No OHLCV data returned for ticker=PDD,none,none,,,unknown,,,,,,,,,,,,,,,5.597306705074427,15.0,1.0,0.4219710180559779,0.0,0.0,4962.395397294049,13440.04394331785,1.553771,1.408632,2.0,5.0,0.464464,0.275178
UPRO,LONG,0.3810990476190476,3.8109904761904763,0,2.2866,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,1038.6843419659995,6.0,1.0,0.0006089758311279893,0.0,0.0,5.954788576147525,4889.183011678503,72.9,20.05822,1.0,2.0,0.45372,0.110526
RKT,LONG,0.36668718857142857,3.6668718857142855,0,2.2001,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,16.098988566002273,6.0,1.0,0.16166650270667893,0.0,0.0,374.9581283547048,4638.661962460009,2.110546,0.640287,1.0,2.0,0.625762,0.068722
MOD,LONG,0.3630997004461376,3.630997004461376,0,2.1786,error: No OHLCV data returned for ticker=MOD,none,none,,,unknown,,,,,,,,,,,,,,,0.7650935300992124,5.0,1.0,23.64697216645417,0.0,0.0,16090.150394310302,2721.7269561700505,5.10628,4.859903,0.0,0.0,0.693927,0.0
INTC,LONG,0.3568812615730388,3.568812615730388,0,2.1413,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,15.458938456194817,13.0,1.0,1.3689934142419158,0.0,0.0,69896.07920573305,22691.79951361505,0.478561,0.110357,0.0,2.0,0.514851,0.581898
ORCL,LONG,0.3566666666666667,3.566666666666667,0,2.14,error: No OHLCV data returned for ticker=ORCL,none,none,,,unknown,,,,,,,,,,,,,,,14.354702105403412,7.0,1.0,4.142303787985314,0.0,0.0,249037.06988510338,45090.319777022036,0.309719,0.308467,0.0,1.0,0.007007,0.333502
RIOT,LONG,0.3566666666666667,3.566666666666667,0,2.14,error: No OHLCV data returned for ticker=RIOT,none,none,,,unknown,,,,,,,,,,,,,,,30.7551404031956,6.0,1.0,0.06223658738882882,0.0,0.0,175.72192551501766,2823.4505278571705,4.265633,1.22953,0.0,0.0,0.04488,0.593899
ADMA,LONG,0.35,3.5,0,2.1,error: No OHLCV data returned for ticker=ADMA,none,none,,,unknown,,,,,,,,,,,,,,,0.0,1.0,1.0,99.0,0.0,0.0,477892.90643934446,0.0,2001.2,,0.0,0.0,0.0,0.0
