ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,entry_price,stop_price,target_1,rr_ratio,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth
HUBS,LONG,0.3715169082861874,3.7151690828618738,5.2,4.4976,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",5.4,NEUTRAL,trend_continuation,,,300.0,190.0,32.62,16.01,21884.0,12995.0,0.594,11435.0,9323.0,14121.0,92.7,0.852,0.0,0.9,1.0,1.4,1.62,0.27,,,,,1.3035334073540605e+33,3,1.0,99.0,2.4e-05,5e-06,2965.1525798258267,19.066251527700544,2.010161,6.454545,1,0,0.0,0.0
SPOT,LONG,0.3663107787014866,3.663107787014866,6.25,4.9466,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,6.2,NEGATIVE,trend_continuation,-3165063.38,535.32,600.0,350.0,12.14,34.59,81847.0,76209.0,0.931,58786.0,34425.0,64845.0,96.4,0.578,1.65,0.17,1.0,1.4,1.74,0.29,,,,,456300644.9544419,17,1.0,12.886334212709489,1.7e-05,2e-06,9132.029700877489,1700.7840181957938,0.373502,0.98946,1,3,0.070174,0.433177
MU,LONG,0.3617139828586425,3.6171398285864247,5.68,4.7126,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, trend_aligned, trend_continuation",room_to_target,6.0,NEGATIVE,trend_continuation,-5837303.62,459.43,500.0,300.0,8.76,34.74,1369766.0,1500055.0,1.095,1233423.0,483256.0,1153142.0,80.7,0.718,1.99,0.16,0.0,1.4,1.64,0.5,,,,,1.139128282003982,13,1.0,37.184277456787676,1.6e-05,0.0,102727.133995764,9208.832426119214,0.445204,0.349223,4,3,0.683548,0.605581
DPST,SHORT,0.4425,4.425,2.17,3.9235,watchlist_reeval_failed,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned",5.3,NEUTRAL,unknown,,,155.0,80.0,25.03,35.47,21226.0,15274.0,0.72,15865.0,6388.0,14247.0,15.9,0.71,0.0,0.0,1.0,0.0,0.17,1.0,,,,,1791.5910623489815,2,1.0,99.0,6.7e-05,0.000194,0.00014794812323829385,8.257918134750956e-08,57.0,,0,1,0.0,0.0
TSLL,SHORT,0.4328382381717427,4.328382381717427,3.42,4.1702,watchlist_reeval_failed,"confirmation_volume, ema_rally, not_extended, room_to_target","momentum_aligned, trend_aligned",4.9,POSITIVE,ema_rally,4778009.01,14.16,35.0,10.0,147.44,29.3,440567.0,186265.0,0.423,291994.0,125748.0,209090.0,54.6,0.914,0.0,0.11,1.0,1.2,0.11,1.0,,,,,549747657.0591929,3,1.0,1.8190163926288952e-09,6e-06,1.2e-05,8.338609676541376e-06,2292.0655664048677,0.195688,11.233766,0,2,0.0,0.473464
DDOG,SHORT,0.28415539366718895,2.8415539366718896,2.62,3.4668,watchlist_reeval_failed,"ema_rally, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",6.3,NEGATIVE,ema_rally,-5414360.2,,130.0,75.0,3.22,40.45,140672.0,153337.0,1.09,143593.0,54301.0,96115.0,94.1,0.74,0.0,0.47,0.46,1.2,0.22,0.27,,,,,457.72412727002984,7,1.0,0.7142099739149396,4e-06,9e-06,3929.8556773288255,2200.9525606523443,0.165327,0.145162,0,1,0.001472,0.245998
UPST,LONG,0.5822979421466058,5.822979421466058,7.29,5.9585,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, volume_capitulation_reversal",not_extended,4.3,POSITIVE,unknown,8224698.85,35.17,40.0,25.0,13.86,28.84,212397.0,129709.0,0.611,120424.0,55673.0,166009.0,85.9,0.975,2.0,0.0,1.0,1.4,1.89,1.0,,,,,1.096866647781126,8,1.0,2.0761348711258583,0.000116,5.5e-05,5656.293638319898,2724.4345812912293,3.314119,4.985425,0,0,0.663,0.629801
CAR,LONG,0.5063080051529727,5.063080051529727,0.0,3.0378,watchlist_reeval_failed,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.096495890505508,5,1.0,99.0,4e-05,0.0,12323.871551900102,0.0,16.2,,0,0,0.677054,0.0
TE,LONG,0.484058718272251,4.84058718272251,5.32,5.5763,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_continuation",trend_aligned,7.8,NEUTRAL,trend_continuation,,,7.0,5.0,34.1,4.21,175299.0,37248.0,0.212,80228.0,23859.0,108460.0,40.1,1.231,0.0,0.94,1.0,1.4,1.64,0.34,,,,,0.7474150300393482,2,1.0,99.0,7.8e-05,0.0,3802.901641195029,0.0,3.184172,,0,0,0.427726,0.0
ON,LONG,0.44214492029627755,4.421449202962775,0.0,2.6529,watchlist_reeval_failed,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,95.86757944980864,9,1.0,99.0,3.1e-05,5e-06,41515.87620847033,107.19703071106373,1.526173,1.317685,0,1,0.592765,0.369787
