ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth
XLK,SHORT,0.5583114262957158,5.583114262957158,0.0,3.3499,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,14.922369012820413,10.0,1.0,0.2850311972394914,0.000141,0.000206,10878.418583075701,38165.71199374833,1.135914,9.973088,2.0,3.0,0.559312,0.408091
XLU,SHORT,0.5581895818775954,5.581895818775954,4.22,5.9169,price_validation_failed,"ema_rally, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",9.3,NEGATIVE,ema_rally,-52102229.16,,50.0,25.0,10.41,44.79,443848.0,1179230.0,2.657,166288.0,485270.0,971520.0,0.0,0.5,1.0,1.2,1.37,0.14,245235.35187492424,5.0,1.0,0.0,0.0,0.00024,0.0,27061.502742611723,,11.540669,0.0,3.0,0.0,0.48826
WFC,SHORT,0.5451600547534339,5.451600547534339,0.0,3.271,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,69917.54127189645,13.0,1.0,0.00024861794723724407,0.001073,0.000261,2.9305218840416725,10103.357092761233,0.128042,12.626428,2.0,3.0,0.502664,0.428618
NUGT,SHORT,0.5423038510964813,5.423038510964813,0.0,3.2538,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.239139901144064,2.0,1.0,0.0,0.0,0.001886,0.0,8541.295870979935,,15.833333,0.0,0.0,0.0,0.064607
CNR,SHORT,0.5420490909295004,5.420490909295004,0.0,3.2523,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,194365.36194393277,2.0,1.0,1.0289899290681877e-05,0.001617,0.001784,0.14924074832270218,14503.616032262693,0.75188,2.926984,0.0,0.0,0.0,0.0
BRKB,SHORT,0.5415521324940114,5.415521324940114,0.0,3.2493,error: No OHLCV data returned for ticker=BRKB,none,none,,,unknown,,,,,,,,,,,,,,,,,,,93655.88192347671,6.0,1.0,0.0,0.0,0.0,0.0,51571.479638396115,,5.158971,0.0,4.0,0.0,0.013826
KWEB,SHORT,0.510930939410033,5.10930939410033,0.0,3.0656,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,4.852630046019748,10.0,1.0,4.744851771537071,0.001279,0.000362,85633.05292379281,42111.000815828564,0.806285,2.551377,1.0,1.0,0.683277,0.343717
FAS,SHORT,0.5091848521884158,5.091848521884158,5.21,5.3289,price_validation_failed,"ema_rally, momentum_aligned, not_extended, trend_aligned","confirmation_volume, room_to_target",6.1,NEUTRAL,ema_rally,,,167.91,80.0,40.72,32.95,33010.0,20712.0,0.627,21941.0,4548.0,27233.0,2.54,0.61,0.09,1.2,0.7,0.07,21677.414888572992,2.0,1.0,0.0,0.0,0.001284,0.0,5521.020983563548,,91.0,0.0,1.0,0.0,2.3e-05
VG,SHORT,0.5087006940773495,5.087006940773495,0.0,3.0522,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,8.725886394082703,7.0,1.0,0.0,0.0,0.001398,0.0,23155.878982871367,,0.591347,0.0,0.0,0.0,0.456486
IBKR,SHORT,0.5032158858806481,5.032158858806481,5.51,5.6691,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, trend_aligned","confirmation_volume, room_to_target",7.5,NEUTRAL,retest_and_confirm,,,72.5,50.0,10.69,23.66,67552.0,47404.0,0.702,21431.0,32363.0,61162.0,1.73,0.46,0.03,1.4,1.6,0.3,40076354.0845308,5.0,1.0,2.49523696165264e-08,0.000311,0.001303,0.003592557619238113,95984.40747844374,0.483748,0.279906,0.0,0.0,0.395088,0.464399
