ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,entry_price,stop_price,target_1,rr_ratio
DVA,LONG,0.42426220112785673,4.242622011278567,5.74,4.7433,watchlist_reeval_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target, trend_aligned",confirmation_volume,4.5,NEUTRAL,retest_and_confirm,,,165.0,110.0,12.12,25.26,14075.0,11494.0,0.817,9583.0,0.0,15986.0,98.5,0.484,1.64,0.7,1.0,1.4,0.92,0.09,1.6450235246578203e+29,2,1.0,99.0,2.6e-05,0.0,0.025116179218283328,0.0,4.613082,,0,0,0.0,0.0,,,,
AMAT,LONG,0.4147039300310869,4.147039300310869,4.99,4.0305,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,2.3,POSITIVE,trend_continuation,7349823.05,391.61,400.0,240.0,2.11,38.73,188574.0,177142.0,0.939,157734.0,65093.0,142889.0,96.2,0.591,1.86,0.37,0.2,1.4,0.87,0.29,13.917230611900202,18,1.0,5.235080892574826,4e-06,2e-06,12921.060478491601,4936.336512705346,0.819715,4.647333,3,2,0.762343,0.542345,,,,
OKLO,LONG,0.4135207301344815,4.135207301344815,5.15,4.5526,watchlist_reeval_failed,"confirmation_volume, consolidation_breakout, momentum_aligned, not_extended, room_to_target",trend_aligned,4.7,POSITIVE,unknown,490877.76,63.9,200.0,50.0,212.99,21.75,341075.0,223278.0,0.655,215701.0,62927.0,285725.0,70.3,1.041,0.0,0.42,1.0,1.2,1.53,1.0,0.7287359506049874,7,1.0,3.2410271636914016,8e-05,1.6e-05,30024.06805637646,12351.667764561504,1.161156,0.129097,0,1,0.53221,0.531867,,,,
BTDR,SHORT,0.7950000000000002,7.950000000000001,3.02,5.721,watchlist_reeval_failed,"bounce_and_fail, confirmation_volume, room_to_target","momentum_aligned, not_extended, trend_aligned",4.2,POSITIVE,bounce_and_fail,2685210.02,12.03,15.0,7.5,24.9,37.55,418033.0,248293.0,0.594,234319.0,256966.0,175041.0,89.4,1.134,0.0,0.0,1.0,1.0,0.59,0.42,3.4220198952074266,8,1.0,0.3180152264751656,0.000725,0.001713,62770.24485933455,197381.25609603914,0.417138,384.737101,1,2,0.238867,0.053927,,,,
TVTX,SHORT,0.6058333333333333,6.058333333333334,3.82,5.3152,watchlist_reeval_failed,"confirmation_volume, room_to_target, trend_continuation","momentum_aligned, not_extended, trend_aligned",5.7,NEUTRAL,trend_continuation,,,50.0,20.0,26.1,49.56,64062.0,41185.0,0.643,92088.0,4235.0,8924.0,20.2,0.545,0.0,0.0,1.0,1.4,0.49,0.94,2522.6693165011543,2,1.0,0.0,0.0,0.000241,0.0,174.91696666290275,,103.190476,0,1,0.0,0.000396,,,,
CHTR,SHORT,0.5293397432484691,5.293397432484691,3.33,4.6657,watchlist_reeval_failed,"confirmation_volume, ema_rally, not_extended, room_to_target","momentum_aligned, trend_aligned",5.1,NEUTRAL,ema_rally,,,400.0,200.0,75.41,12.3,71957.0,61347.0,0.853,30653.0,29597.0,73054.0,70.1,0.595,0.0,0.59,1.0,1.2,0.09,0.44,81.61138085217449,10,1.0,2.2061063278336754,3.1e-05,6.9e-05,16798.618720978582,5076.4004463539095,0.949654,1.624003,2,2,0.006031,0.126065,,,,
WEX,SHORT,0.45,4.5,1.37,3.921,watchlist_reeval_failed,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned",6.3,NEUTRAL,unknown,,,175.0,150.0,1.21,13.25,1309.0,7294.0,5.572,6367.0,0.0,2236.0,70.2,0.404,0.0,0.02,1.0,0.0,0.17,0.17,0.0,1,1.0,0.0,0.0,0.0003,0.0,6.757506352215963e-29,,250.0,0,0,0.0,0.0,,,,
DB,SHORT,0.3992206290535445,3.992206290535445,3.5,4.2061,watchlist_reeval_failed,"ema_rally, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",5.8,NEUTRAL,ema_rally,,,40.0,30.0,20.99,9.26,50095.0,66918.0,1.336,58436.0,0.0,58577.0,84.0,0.432,0.0,0.27,1.0,1.2,0.71,0.32,1.9698240372217393e+26,3,1.0,0.0,0.0,5e-06,0.0,6558.90135914194,,20.304842,0,0,0.0,0.49678,,,,
ONDS,LONG,0.7112795012966137,7.112795012966137,4.91,5.8694,watchlist_reeval_failed,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, room_to_target",trend_aligned,4.2,POSITIVE,ema_pullback,6788464.76,9.97,30.0,5.0,200.75,49.87,1062828.0,533678.0,0.502,625075.0,375157.0,596274.0,3.2,0.961,0.0,0.8,1.0,1.2,1.5,0.41,19.69788487016095,5,1.0,9.888768759362495,0.00029,1.7e-05,142281.69118329417,21582.316461073773,9.428987,1.340119,0,0,0.118934,0.03371,,,,
UVXY,LONG,0.7042981266666667,7.042981266666667,3.61,6.1245,watchlist_reeval_failed,"bounce_and_fail, confirmation_volume, not_extended, room_to_target","momentum_aligned, trend_aligned",7.6,NEUTRAL,bounce_and_fail,,,50.0,35.0,27.75,10.58,161386.0,82075.0,0.509,149690.0,44580.0,49191.0,43.5,1.032,0.0,0.28,1.0,1.0,0.54,0.79,3122216897.2604117,5,1.0,30.099430890965838,0.001145,0.000311,51951.38765810058,2588.988535013804,2.127191,75.296392,0,1,0.0,0.037303,,,,
