ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bearish_vol_oi
CHTR,SHORT,0.39321282031724203,3.9321282031724203,5.43,5.0351,watchlist_reeval_failed,"confirmation_volume, flag_breakdown, momentum_aligned, room_to_target","not_extended, trend_aligned",7.2,NEUTRAL,flag_breakdown,,,400.0,160.0,121.84,11.26,74726.0,64151.0,0.858,31989.0,32674.0,74214.0,54.8,0.483,0.0,0.0,1.0,1.6,1.94,0.89,2,1.0,99.0,1.2e-05,4.9e-05,157216.831061932,1.7914576677588738e-21,9.605405,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,3e-06,0.0,0.52301,0.580354,0.0,0.0,6.980132
INFQ,SHORT,0.372329177704847,3.72329177704847,5.97,4.9526,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target",trend_aligned,6.5,NEUTRAL,retest_and_confirm,,,20.0,10.0,50.83,24.59,98838.0,85739.0,0.867,90135.0,36949.0,57493.0,32.3,1.04,0.0,0.98,0.89,1.4,1.93,0.77,1,1.0,0.0,0.0,0.000177,0.0,16913.861320029395,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,3e-06,0.0,0.520879,0.0,0.0,1.723404
AR,SHORT,0.35298674812852343,3.529867481285234,5.5,4.6549,watchlist_reeval_failed,"ema_rally, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,6.2,NEUTRAL,ema_rally,,,50.0,31.0,32.14,18.08,86129.0,141256.0,1.64,114897.0,63297.0,49191.0,71.3,0.457,1.67,0.76,1.0,1.2,0.66,0.21,2,1.0,99.0,2.7e-05,4.4e-05,127652.78210031477,1.706628807307283e-20,29500.0,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.032448,0.255527,0.0,0.0,3.135731
GDX,SHORT,0.3278720852059578,3.278720852059578,6.46,5.1174,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,7.7,NEGATIVE,trend_continuation,-1657485.71,94.36,100.0,75.0,6.0,20.5,911815.0,962335.0,1.055,505450.0,490978.0,877722.0,60.8,0.463,1.6,0.86,1.0,1.4,1.11,0.49,1,1.0,0.0,0.0,0.0,0.0,1.7924002143805036e-20,,0,0,0.0,0.0,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.444452,0.0,0.0,6.822835
INTC,SHORT,0.2961823056838494,2.961823056838494,0.0,1.7771,watchlist_reeval_failed,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2,0.7,0.0,0.0,4e-06,0.0,0.020163443657664572,,0,0,0.0,0.39683,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.076291,0.0,0.0,22.784014
CRDO,SHORT,0.2866646235294022,2.866646235294022,0.0,1.72,watchlist_reeval_failed,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0.0,4.4e-05,0.0,10795.079225273697,,0,0,0.0,0.041926,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.603376,0.0,0.0,2.403081
AMAT,SHORT,0.23850054691789335,2.3850054691789335,1.41,2.7755,watchlist_reeval_failed,room_to_target,"confirmation_volume, continuation_pattern, momentum_aligned, not_extended, trend_aligned",5.8,NEGATIVE,unknown,-2796159.09,,490.0,240.0,17.48,42.46,169763.0,168525.0,0.993,121823.0,80580.0,135885.0,98.8,0.628,0.0,0.0,1.0,0.0,0.23,0.19,1,1.0,0.0,0.0,3e-06,0.0,9.023215102961448e-11,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.448193,0.0,0.0,6.151515
CIFR,SHORT,0.20892656327716674,2.089265632771667,4.66,3.5226,watchlist_reeval_failed,"bounce_and_fail, confirmation_volume, momentum_aligned, not_extended, room_to_target",trend_aligned,5.4,POSITIVE,bounce_and_fail,2202672.96,18.2,20.0,10.0,9.89,45.05,911061.0,478669.0,0.525,428349.0,225522.0,735859.0,52.5,1.151,0.0,0.63,1.0,1.0,1.65,0.39,2,1.0,0.0002027984330371785,6.5e-05,0.000105,0.01751563829444193,86.36969246814068,1.477337,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.071666,0.375759,0.0,0.0,2.148952
DELL,SHORT,0.19969292744821238,1.9969292744821239,1.34,2.7605,watchlist_reeval_failed,room_to_target,"confirmation_volume, continuation_pattern, momentum_aligned, not_extended, trend_aligned",6.8,NEGATIVE,unknown,-3503755.48,,220.0,100.0,1.82,53.72,216864.0,298850.0,1.378,144607.0,121606.0,249501.0,83.8,0.589,0.0,0.0,1.0,0.0,0.28,0.06,1,1.0,0.0,0.0,1.2e-05,0.0,3.042272285696004e-07,,0,1,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.405263,0.0,0.0,1.544803
NBIS,SHORT,0.19758911992210773,1.9758911992210773,5.56,3.8959,watchlist_reeval_failed,"engulfing_at_resistance, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",6.2,NEGATIVE,unknown,-5653076.94,,200.0,10.0,35.91,93.2,407419.0,348862.0,0.856,280574.0,130615.0,345092.0,83.8,1.032,0.0,0.83,1.0,1.6,1.88,0.25,1,1.0,0.0,0.0,1.7e-05,0.0,6.508130099548591e-05,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.015632,0.0,0.0,2.156105
