ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,freight_train,bearish_vol_oi,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen
BIDU,LONG,0.2902243563614014,2.9022435636140145,0,1.7413,error: Stale OHLCV for BIDU: last bar is 4 days old,none,none,,,unknown,,,,,,,,,,,,,,,1,1.0,99.0,3.9e-05,0.0,5.22306646895836e-18,0.0,6.53913,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.856621,0.0,0.0,0.0,False,,,,,,,
ORCL,LONG,0.2895762738861896,2.895762738861896,0,1.7375,error: Stale OHLCV for ORCL: last bar is 4 days old,none,none,,,unknown,,,,,,,,,,,,,,,3,1.0,5.162218930704549,1.5e-05,1e-06,0.0015219070570430628,0.0005896328991360117,11.538168,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.287515,0.273951,0.0,0.0,False,43.507692,,,,,,
AMAT,LONG,0.27474774596873,2.7474774596872997,0,1.6485,error: Stale OHLCV for AMAT: last bar is 4 days old,none,none,,,unknown,,,,,,,,,,,,,,,1,1.0,99.0,6e-06,0.0,8.725773147122734e-24,0.0,2.635701,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.399929,0.0,0.0,0.0,False,,,,,,,
CRWD,LONG,0.2745785807631977,2.745785807631977,0,1.6475,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,4,1.0,99.0,6e-06,2e-05,0.8321282187988831,2.0588170410701197e-07,13.152803,1,1,0.0,0.143256,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.628611,0.458303,0.0,0.0,False,2.900272,,,,,,
PANW,LONG,0.2742587599670753,2.7425875996707534,0,1.6456,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,3,1.0,1.6311948514695977e-24,2e-06,1.8e-05,4.1691364940594206e-24,1.2779394473637857,5.532468,0,1,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.435345,0.171187,0.0,0.0,False,3.992722,,,,,,
WDC,LONG,0.26878790354191645,2.6878790354191646,0,1.6127,error: Stale OHLCV for WDC: last bar is 4 days old,none,none,,,unknown,,,,,,,,,,,,,,,2,1.0,99.0,2.3e-05,0.0,7.556215701467703e-12,0.0,4.409536,1,0,2e-06,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.717478,0.0,0.0,0.0,False,,,,,,,
C,LONG,0.26843344585022944,2.6843344585022946,0,1.6106,error: Stale OHLCV for C: last bar is 4 days old,none,none,,,unknown,,,,,,,,,,,,,,,2,1.0,99.0,2e-06,1e-06,1.322189231224948e-07,2.1052441837749265e-53,2.584454,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.19986,0.593413,0.0,0.0,False,11.546512,,,,,,
GDX,LONG,0.2636493030977729,2.636493030977729,0,1.5819,error: Stale OHLCV for GDX: last bar is 4 days old,none,none,,,unknown,,,,,,,,,,,,,,,1,1.0,99.0,0.0,0.0,0.22913263794695107,0.0,8.456456,0,0,0.0,0.0,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,0.0,0.0,0.514265,0.0,0.0,0.0,False,,,,,,,
NBIS,LONG,0.26305933813356086,2.6305933813356086,0,1.5784,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,2,1.0,4.543908745258113e-05,1e-05,4.7e-05,0.009367558887446545,206.15640437810836,7.478118,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,9.4e-05,0.809183,0.0,0.0,False,9.597222,,,,,,
ETHA,LONG,0.26233132760215827,2.623313276021583,0,1.574,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,2,1.0,7.693992490108959e-07,6.1e-05,8e-05,5.122061302711827e-10,0.0006657221604123623,1.754818,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.390134,0.472377,0.0,0.0,False,2.784255,,,,,,
CBRS,LONG,0.26004527593746196,2.60045275937462,0,1.5603,error: Stale OHLCV for CBRS: last bar is 4 days old,none,none,,,unknown,,,,,,,,,,,,,,,2,1.0,99.0,2.6e-05,1.1e-05,0.20141204638445553,4.641200579564751e-09,5.283843,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.457994,0.411315,0.0,0.0,False,3.689189,,,,,,
HPE,LONG,0.2591243135731839,2.5912431357318386,0,1.5547,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,2,0.7,2.4948387806926376e-12,4e-06,1.3e-05,1.7186670845670065e-35,6.888890367857181e-24,9.93617,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.687636,0.189151,0.0,0.0,False,6.447496,,,,,,
IREN,LONG,0.25445072314488376,2.5445072314488377,0,1.5267,error: Stale OHLCV for IREN: last bar is 4 days old,none,none,,,unknown,,,,,,,,,,,,,,,1,1.0,99.0,3.4e-05,0.0,77.54853953158309,0.0,3.034375,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.364596,0.0,0.0,0.0,False,,,,,,,
INTC,LONG,0.2539341917438625,2.539341917438625,0,1.5236,error: Stale OHLCV for INTC: last bar is 4 days old,none,none,,,unknown,,,,,,,,,,,,,,,1,1.0,99.0,5e-06,0.0,6.317360736004968e-07,0.0,18.57037,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.069712,0.0,0.0,0.0,False,,,,,,,
LRCX,LONG,0.2521114806769592,2.5211148067695923,0,1.5127,error: Stale OHLCV for LRCX: last bar is 4 days old,none,none,,,unknown,,,,,,,,,,,,,,,1,0.7,99.0,1e-06,0.0,3.672735666386658e-24,0.0,2.184549,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.152413,0.0,0.0,0.0,False,,,,,,,
SQQQ,LONG,0.2502542455705627,2.502542455705627,0,1.5015,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,2,1.0,1.702292054737109e-05,0.000174,0.000136,1.5926239415414468e-07,0.009355762056866333,6.118227,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.477914,0.136307,0.0,0.0,False,16.152174,,,,,,
GS,LONG,0.24875176885955408,2.487517688595541,0,1.4925,error: Stale OHLCV for GS: last bar is 4 days old,none,none,,,unknown,,,,,,,,,,,,,,,1,1.0,99.0,3e-06,0.0,125.27294699100652,0.0,2.208333,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.910786,0.0,0.0,0.0,False,,,,,,,
CIFR,LONG,0.24722183617466853,2.4722183617466853,0,1.4833,error: Stale OHLCV for CIFR: last bar is 4 days old,none,none,,,unknown,,,,,,,,,,,,,,,1,0.7,99.0,9.2e-05,0.0,8.36891640491871e-16,0.0,4.451049,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.503976,0.0,0.0,0.0,False,,,,,,,
AMD,LONG,0.24196296443010754,2.419629644301075,0,1.4518,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,2,1.0,8.689789770485187e-06,1e-06,1e-06,2.2998859145753542e-07,0.02646653112813962,40.3125,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.091177,0.236717,0.0,0.0,False,1.732759,,,,,,
AMZN,LONG,0.23351746769016277,2.3351746769016275,0,1.4011,error: Stale OHLCV for AMZN: last bar is 4 days old,none,none,,,unknown,,,,,,,,,,,,,,,1,1.0,99.0,0.0,0.0,0.014487043926447805,0.0,9.009852,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.518422,0.0,0.0,0.0,False,,,,,,,
RARE,SHORT,0.5065163738543761,5.065163738543761,0,3.0391,error: Stale OHLCV for RARE: last bar is 4 days old,none,none,,,unknown,,,,,,,,,,,,,,,1,1.0,0.0,0.0,0.001903,0.0,1.6981658200510762e-53,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.375161,0.0,0.0,False,3500.0,,,,,,
DGX,SHORT,0.47571198972805295,4.757119897280529,0,2.8543,error: Stale OHLCV for DGX: last bar is 4 days old,none,none,,,unknown,,,,,,,,,,,,,,,1,0.7,0.0,0.0,1e-05,0.0,4.590584348303863e-27,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.598598,0.0,0.0,False,2.84507,,,,,,
SHAK,SHORT,0.4517248984526395,4.517248984526395,0,2.7103,error: Stale OHLCV for SHAK: last bar is 4 days old,none,none,,,unknown,,,,,,,,,,,,,,,1,0.7,0.0,0.0,0.000262,0.0,1.3054798566973742e-26,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.262065,0.0,0.0,False,11.185714,,,,,,
VSXY,SHORT,0.45108354566623343,4.510835456662335,0,2.7065,error: Stale OHLCV for VSXY: last bar is 4 days old,none,none,,,unknown,,,,,,,,,,,,,,,1,0.7,0.0,0.0,9e-05,0.0,42.426397224319274,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.377486,0.0,0.0,False,16.569767,,,,,,
FIX,SHORT,0.4047885938818322,4.047885938818322,0,2.4287,error: Stale OHLCV for FIX: last bar is 4 days old,none,none,,,unknown,,,,,,,,,,,,,,,5,1.0,3.571098916985285e-29,2.5e-05,4e-05,1.3675418477059343e-45,9.573676615351295e-18,7.125,0,1,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.602697,0.51688,0.0,0.0,False,5.075,,,,,,
GE,SHORT,0.39187496175275366,3.9187496175275367,0,2.3512,error: Stale OHLCV for GE: last bar is 4 days old,none,none,,,unknown,,,,,,,,,,,,,,,4,1.0,0.0,0.0,8e-06,0.0,1.9396656407459048e-36,,0,0,0.0,0.377897,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.46878,0.0,0.0,False,2.395087,,,,,,
SMTC,SHORT,0.37403617338450756,3.7403617338450754,0,2.2442,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,5,1.0,1.867101887976591e-15,0.000109,9.8e-05,7.509610109428517e-25,6.033101480257302e-10,24.799331,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.47897,0.826102,0.0,0.0,False,50.923077,,,,,,
EFX,SHORT,0.3700169207722694,3.700169207722694,0,2.2201,error: Stale OHLCV for EFX: last bar is 4 days old,none,none,,,unknown,,,,,,,,,,,,,,,1,1.0,0.0,0.0,3.5e-05,0.0,1.1613615839372516e-26,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.226968,0.0,0.0,False,375.0,,,,,,
FICO,SHORT,0.36845032733529304,3.6845032733529304,0,2.2107,error: Stale OHLCV for FICO: last bar is 4 days old,none,none,,,unknown,,,,,,,,,,,,,,,2,1.0,0.0,0.0,5.8e-05,0.0,1.0352771882701978e-37,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.532766,0.0,0.0,False,16.666667,,,,,,
ADBE,SHORT,0.35105262397680964,3.5105262397680965,0,2.1063,error: Stale OHLCV for ADBE: last bar is 4 days old,none,none,,,unknown,,,,,,,,,,,,,,,7,1.0,99.0,3.1e-05,8.8e-05,1.0600878916405091e-07,5.250404576829359e-32,4.888819,0,1,0.0,0.145067,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.44282,0.121385,0.0,0.0,False,34.334119,,,,,,
TSM,SHORT,0.33679652289572065,3.3679652289572064,0,2.0208,error: Stale OHLCV for TSM: last bar is 4 days old,none,none,,,unknown,,,,,,,,,,,,,,,4,1.0,0.0,0.0,1e-06,0.0,0.003228647942651261,,0,1,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.361018,0.0,0.0,False,33.119723,,,,,,
GLW,SHORT,0.33346307773092315,3.3346307773092314,0,2.0008,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,5,1.0,1.448614805544704e-13,1.8e-05,1.6e-05,8.671134795570097e-30,8.978716870468822e-17,4.559237,1,1,0.0,0.419315,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.389358,0.367745,0.0,0.0,False,2.492718,,,,,,
PANW,SHORT,0.31670492768159714,3.1670492768159715,0,1.9002,error: Stale OHLCV for PANW: last bar is 4 days old,none,none,,,unknown,,,,,,,,,,,,,,,3,1.0,1.6311948514695977e-24,2e-06,1.8e-05,4.1691364940594206e-24,1.2779394473637857,5.532468,0,1,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.435345,0.171187,0.0,0.0,False,3.992722,,,,,,
PLTR,SHORT,0.31589712811224613,3.1589712811224615,0,1.8954,error: Stale OHLCV for PLTR: last bar is 4 days old,none,none,,,unknown,,,,,,,,,,,,,,,5,1.0,0.0,0.0,1.8e-05,0.0,0.03149362577118359,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.348849,0.0,0.0,False,11.836403,,,,,,
PL,SHORT,0.3099535368534893,3.099535368534893,0,1.8597,error: Stale OHLCV for PL: last bar is 4 days old,none,none,,,unknown,,,,,,,,,,,,,,,1,1.0,0.0,0.0,0.000109,0.0,49.31543298248198,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.339112,0.0,0.0,False,26.410658,,,,,,
SEDG,SHORT,0.3069007754401848,3.0690077544018477,0,1.8414,error: Stale OHLCV for SEDG: last bar is 4 days old,none,none,,,unknown,,,,,,,,,,,,,,,1,1.0,0.0,0.0,0.000273,0.0,9.843665147956709e-27,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.258542,0.0,0.0,False,1.810537,,,,,,
CIEN,SHORT,0.29739294772885505,2.9739294772885505,0,1.7844,error: Stale OHLCV for CIEN: last bar is 4 days old,none,none,,,unknown,,,,,,,,,,,,,,,2,1.0,0.0,0.0,1.9e-05,0.0,0.06691132028970313,,0,1,0.0,1e-06,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.152256,0.0,0.0,False,2.974513,,,,,,
