ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bearish_vol_oi
CLS,SHORT,0.7342286285714286,7.342286285714286,2.75,5.9561,watchlist_reeval_failed,"not_extended, resistance_ema_confluence, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",7.3,NEUTRAL,resistance_ema_confluence,,,420.0,175.0,39.7,41.79,46547.0,48675.0,1.046,34607.0,35953.0,24662.0,0.0,0.37,0.47,1.6,0.03,0.27,19.643502847023395,14.0,1.0,0.0,0.0,0.005841,0.0,0.07515140100884435,,0.0,1.0,0.0,0.41103,2.99187
IWM,SHORT,0.4277733363491365,4.277733363491365,4.95,5.0239,watchlist_reeval_failed,"ema_rally, not_extended, trend_aligned","confirmation_volume, momentum_aligned, room_to_target",7.0,NEGATIVE,ema_rally,-157015060.85,,260.0,240.0,4.3,3.72,2603981.0,6437238.0,2.472,3041222.0,2259833.0,3740164.0,2.35,0.77,0.07,1.2,0.38,0.18,4.046563313442205,6.0,1.0,0.1081626429581339,2.3e-05,0.000219,137553.65394214,635864.8891160248,0.272643,1.0,1.0,0.452298,0.229282,0.185492
TERN,SHORT,0.36207895820983005,3.6207895820983005,0.0,2.1725,watchlist_reeval_failed,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.12,0.0,0.0,0.0,0.0,1030.7945113525504,2.0,1.0,0.0,0.0,0.00168,0.0,0.07007290733666495,,0.0,0.0,0.0,0.000969,0.090372
SPXU,LONG,0.39131947024317537,3.9131947024317535,6.02,5.1626,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,7.0,NEUTRAL,trend_continuation,,,70.0,45.0,24.27,20.11,28710.0,20024.0,0.697,32073.0,12653.0,4008.0,2.59,0.31,0.26,1.4,1.1,0.37,0.0,1.0,1.0,99.0,0.0003,0.0,108989.9580804367,0.0,125.333333,1.0,0.0,0.0,0.0,
APH,SHORT,0.5430865391349478,5.430865391349478,4.8,5.8554,watchlist_reeval_failed,"ema_rally, momentum_aligned, not_extended, trend_aligned","confirmation_volume, room_to_target",8.5,NEUTRAL,ema_rally,,,150.0,95.0,16.16,26.43,50359.0,80766.0,1.604,50375.0,54511.0,26239.0,1.69,0.59,0.0,1.2,1.25,0.07,33.416530240368694,20.0,1.0,0.028287980437382003,0.000711,0.001677,0.05826156465441836,0.6865290929644788,1.221607,1.0,0.0,0.335458,0.468888,1.302033
LULU,SHORT,0.47246346341992773,4.724634634199277,5.13,5.0213,watchlist_reeval_failed,"momentum_aligned, not_extended, retest_and_confirm, trend_aligned","confirmation_volume, room_to_target",5.6,NEGATIVE,retest_and_confirm,-10675187.33,161.91,200.0,160.0,23.61,1.11,174527.0,161409.0,0.925,77394.0,87188.0,171354.0,1.85,0.54,0.13,1.4,1.21,0.0,0.0,1.0,0.7,0.0,0.0,0.00119,0.0,580291.7957690659,,0.0,0.0,0.0,0.0,5.595238
CIFR,SHORT,0.3727783247472141,3.727783247472141,4.96,4.2719,watchlist_reeval_failed,"ema_rally, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,4.6,POSITIVE,ema_rally,1927015.2,14.8,22.0,12.0,48.75,18.86,637176.0,361818.0,0.568,258307.0,166801.0,573886.0,1.54,0.97,0.39,1.2,0.7,0.16,0.38786547958763645,2.0,1.0,0.0,0.0,0.000975,0.0,47.45555976695256,,0.0,0.0,0.0,0.279469,6.259311
UAL,SHORT,0.35441096935034017,3.5441096935034015,5.3,4.8221,watchlist_reeval_failed,"ema_rally, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,7.3,NEGATIVE,ema_rally,-6601286.62,,105.0,80.0,12.42,14.35,399836.0,199210.0,0.498,311402.0,151580.0,136064.0,2.02,0.75,0.39,1.2,0.78,0.15,5.118099741283184,6.0,1.0,0.1007255870780652,7.4e-05,0.000616,13.115163272925857,26.04137370330983,0.125173,0.0,0.0,0.0,0.416818,0.132423
SNDK,SHORT,0.33441153453422595,3.3441153453422596,0.0,2.0065,watchlist_reeval_failed,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.66,0.0,0.0,0.0,0.0,1.2117169374766872,4.0,1.0,0.0,0.0,3.5e-05,0.0,101334.72596704628,,0.0,1.0,0.0,0.483272,0.994577
ABNB,SHORT,0.3165096039843659,3.165096039843659,0.0,1.8991,watchlist_reeval_failed,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.97,0.0,0.0,0.0,0.0,729.8615432211374,3.0,1.0,0.0,0.0,0.000583,0.0,0.07120606917472895,,0.0,0.0,0.0,0.284027,0.531545
