ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,freight_train,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,bearish_vol_oi,entry_price,stop_price,target_1,rr_ratio
ASML,SHORT,0.24311870779034941,2.4311870779034943,0.0,1.4587,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,3,1.0,99.0,2e-06,1e-06,112.87594520596825,0.0013982622405298648,1.963636,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.753726,0.492054,0.0,0.0,False,,,,,,,,,,,,,,,,,4.714286,,,,
BIDU,SHORT,0.24095332903419778,2.4095332903419777,4.87,4.2858,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",8.1,NEGATIVE,trend_continuation,-3770372.52,130.87,150.0,110.0,14.65,15.92,224193.0,140215.0,0.625,158460.0,22896.0,183052.0,49.4,0.502,1,0.7,0.0,0.0,7e-06,0.0,3.275008632435261e-06,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.095572,0.0,0.0,False,0.0,0.8,0.57,1.4,1.84,0.26,False,default,2.5,False,1.0,0.24095332903419778,0.24095332903419778,n/a,2026-05-21,2026-05-21,8.882353,,,,
IBIT,SHORT,0.23351746769016277,2.3351746769016275,0.0,1.4011,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,3,1.0,2.6551705768341605,5.3e-05,7e-06,0.03630256324702935,0.027344806818636855,9.555248,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.760592,0.234053,0.0,0.0,False,,,,,,,,,,,,,,,,,3.779939,,,,
GDX,SHORT,0.22014293516082856,2.2014293516082857,5.94,4.0027,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,5.6,POSITIVE,trend_continuation,1199547.56,85.17,100.0,75.0,17.38,11.96,921780.0,980459.0,1.064,705174.0,167032.0,1030033.0,53.7,0.458,1,1.0,0.0,0.0,0.0,0.0,5.7222969154502824e-12,,0,0,0.0,0.0,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.597805,0.0,0.0,False,1.84,0.72,0.48,1.4,1.41,0.09,False,sustained_trend,5.0,False,1.0,0.22014293516082856,0.22014293516082856,n/a,2026-05-21,2026-05-21,2.091062,,,,
TQQQ,SHORT,0.2198915105723207,2.198915105723207,0.0,1.3193,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,2,1.0,99.0,0.0,0.0,141.33345623872395,6.5888064470390445e-06,4.614583,0,0,0.0,0.0,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,0.0,0.0,0.661371,0.780894,0.0,0.0,False,,,,,,,,,,,,,,,,,2.056604,,,,
ETSY,SHORT,0.18688107177934868,1.8688107177934867,4.06,3.3724,price_validation_failed,"not_extended, retest_and_confirm, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",6.1,NEUTRAL,retest_and_confirm,,,80.0,40.0,33.02,33.49,91909.0,65418.0,0.712,67568.0,3513.0,86246.0,26.7,0.488,1,1.0,0.0,0.0,6e-05,0.0,8.22527850786808e-05,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.831644,0.0,0.0,False,0.0,0.98,1.0,1.4,0.55,0.12,False,default,2.5,False,1.0,0.18688107177934868,0.18688107177934868,n/a,2026-05-21,2026-05-21,,,,,
GOOGL,SHORT,0.09580832340474227,0.9580832340474227,4.81,3.322,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",7.0,NEGATIVE,trend_continuation,-8550673.69,387.86,450.0,250.0,16.07,35.52,1588897.0,1329805.0,0.837,915935.0,257281.0,1745486.0,18.0,0.304,1,1.0,0.0,0.0,0.0,0.0,171.84232367841503,,0,1,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.508359,0.0,0.0,False,0.0,0.7,1.0,1.4,1.63,0.08,False,default,2.5,False,1.0,0.09580832340474227,0.09580832340474227,n/a,2026-05-21,2026-05-21,,,,,
COPX,LONG,0.5065163738543761,5.065163738543761,4.09,5.4796,watchlist_reeval_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",8.6,NEUTRAL,ema_pullback,,,100.0,75.0,22.13,8.4,178014.0,70993.0,0.399,47891.0,109853.0,91263.0,47.6,0.464,1,1.0,99.0,0.002792,0.0,96.04941270152962,0.0,4.129103,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.253884,0.0,0.0,0.0,,0.0,0.84,1.0,1.2,1.04,0.01,False,default,2.5,False,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-05-18,2026-05-18,,,,,
GLW,LONG,0.29613591786194426,2.9613591786194426,6.07,4.6217,watchlist_reeval_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target, trend_aligned",confirmation_volume,6.6,NEGATIVE,retest_and_confirm,-879438.75,186.9,200.0,120.0,7.01,35.79,246343.0,177049.0,0.719,183261.0,33597.0,206534.0,81.1,0.708,1,1.0,99.0,2e-06,0.0,0.18665365977378415,0.0,5.229508,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.400511,0.0,0.0,0.0,,1.96,0.9,0.59,1.4,1.1,0.12,False,sustained_trend,5.0,False,1.0,0.29613591786194426,0.29613591786194426,n/a,2026-05-18,2026-05-18,2.086093,,,,
VZ,SHORT,0.2586470439997983,2.586470439997983,2.92,3.2692,watchlist_reeval_failed,"ema_rally, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",5.5,POSITIVE,ema_rally,43211253.38,48.15,50.0,40.0,3.83,16.93,585172.0,504356.0,0.862,335834.0,147948.0,605746.0,43.6,0.217,1,1.0,0.0,0.0,1e-06,0.0,1.634165787090408e-19,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.442537,0.0,0.0,,0.0,0.68,1.0,1.2,0.03,0.0,False,default,2.5,False,1.0,0.2586470439997983,0.2586470439997983,n/a,2026-05-18,2026-05-18,1.292523,,,,
