ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,entry_price,stop_price,target_1,rr_ratio,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train
ANET,SHORT,0.22442232908507914,2.2442232908507913,5.06,3.5001,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",4.3,POSITIVE,trend_continuation,11088418.81,189.04,220.0,130.0,16.62,31.09,181719.0,155254.0,0.854,144839.0,18695.0,173439.0,15.1,0.486,0.0,1.0,1.0,1.4,1.4,0.26,False,default,2.5,False,,,,,1,0.7,0.0,0.0,4e-06,0.0,587163.1781686493,,1.645594,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,1e-06,0.0,0.253577,0.0,0.0,1.0,0.22442232908507914,0.22442232908507914,n/a,2026-08-21,2026-08-21,False
BABA,SHORT,0.22256926870798385,2.2256926870798384,6.06,4.3908,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, volume_capitulation_reversal",trend_aligned,7.3,NEGATIVE,unknown,-9304855.24,119.51,150.0,100.0,25.69,16.21,1375650.0,874699.0,0.636,935382.0,141788.0,1173179.0,23.5,0.4,0.0,0.68,1.0,1.4,1.98,1.0,False,consolidation_break,3.0,False,,,,,1,0.7,0.0,0.0,2e-06,0.0,336979.82358806476,,39.728288,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.065358,0.0,0.0,1.0,0.22256926870798385,0.22256926870798385,n/a,2026-08-21,2026-08-21,False
DRAM,SHORT,0.21853674330382167,2.1853674330382167,4.1,2.9827,price_validation_failed,"ema_rally, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",3.3,POSITIVE,ema_rally,73012018.95,57.67,60.0,50.0,4.02,13.31,1984191.0,1035046.0,0.522,1564963.0,276761.0,1177513.0,1.0,0.65,0.0,0.77,1.0,1.2,1.13,0.0,False,default,2.5,False,,,,,1,1.0,0.0,0.0,0.0,0.0,214134.56595574704,,2.156126,0,0,0.0,0.0,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.123513,0.0,0.0,1.0,0.21853674330382167,0.21853674330382167,n/a,2026-08-21,2026-08-21,False
DHR,SHORT,0.17865070571024197,1.7865070571024197,3.02,3.1593,price_validation_failed,"not_extended, room_to_target, trend_continuation","confirmation_volume, momentum_aligned, trend_aligned",6.8,NEUTRAL,trend_continuation,,,220.0,160.0,0.53,26.89,50320.0,35240.0,0.7,46851.0,5768.0,32941.0,41.1,0.302,0.0,0.15,1.0,1.4,0.17,0.29,False,default,2.5,False,,,,,1,1.0,0.0,0.0,2e-06,0.0,7.877357085162965e-34,,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.465488,0.0,0.0,1.0,0.17865070571024197,0.17865070571024197,n/a,2026-08-21,2026-08-21,False
DASH,SHORT,0.13304441416198282,1.3304441416198283,0.0,0.7983,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.0,99.0,3.6e-05,3e-06,1158.3967573328543,0.00046445229191747095,56.515568,,0,1,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.263561,0.626534,0.0,0.0,,,,,,,False
STT,SHORT,0.415523252736409,4.15523252736409,4.63,4.4266,watchlist_reeval_failed,"ema_rally, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",4.8,NEUTRAL,ema_rally,,,195.0,180.0,4.21,3.81,18492.0,17003.0,0.919,16062.0,44.0,19389.0,20.0,0.267,0.0,0.91,1.0,1.2,1.32,0.2,False,default,2.5,False,,,,,1,1.0,0.0,0.0,5e-06,0.0,8.77016921346821e-34,,1.037915,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.815027,0.0,0.0,1.0,0.415523252736409,0.415523252736409,n/a,2026-08-17,2026-08-17,
LEU,SHORT,0.39595963352606245,3.9595963352606245,3.55,3.9248,watchlist_reeval_failed,"ema_rally, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",4.4,NEUTRAL,ema_rally,,,230.0,130.0,23.48,30.21,28064.0,20559.0,0.733,13997.0,7543.0,27083.0,1.2,0.663,0.0,0.82,1.0,1.2,0.42,0.11,False,default,2.5,False,,,,,3,1.0,2.419325129250944e-52,0.000155,0.000334,1.645872814299187e-52,0.3401512253147992,4.032922,48.043765,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.00692,0.297887,0.0,0.0,1.0,0.39595963352606245,0.39595963352606245,n/a,2026-08-17,2026-08-17,
NET,LONG,0.26816843248142574,2.6816843248142574,5.93,4.2198,watchlist_reeval_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,5.5,NEUTRAL,ema_pullback,,,400.0,160.0,36.45,45.42,133369.0,110760.0,0.83,130636.0,3890.0,109603.0,10.8,0.51,1.93,0.99,0.75,1.2,0.92,0.13,False,default,2.5,False,,,,,2,1.0,99.0,9e-06,4e-06,2.0244484263033915e-11,7.273762072127017e-29,1.769231,8.895105,0,1,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.164161,0.024053,0.0,0.0,1.0,0.26816843248142574,0.26816843248142574,n/a,2026-08-17,2026-08-17,
GOOGL,SHORT,0.23351746769016277,2.3351746769016275,5.61,4.0306,watchlist_reeval_failed,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned",5.9,NEGATIVE,trend_continuation,-12023218.04,344.66,400.0,300.0,16.0,13.0,2121202.0,1454253.0,0.686,1221957.0,322326.0,2031172.0,6.4,0.28,1.58,0.94,1.0,1.4,0.56,0.13,False,sustained_trend,5.0,False,,,,,1,1.0,0.0,0.0,0.0,0.0,1.8903666888056162e-10,,12.386243,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.532183,0.0,0.0,1.0,0.23351746769016277,0.23351746769016277,n/a,2026-08-17,2026-08-17,
SPCX,LONG,0.2582193270594192,2.5821932705941917,4.06,3.9491,watchlist_reeval_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned",7.2,NEGATIVE,retest_and_confirm,-52650541.97,,150.0,100.0,9.51,26.99,2300707.0,2496851.0,1.085,2503355.0,494606.0,1799597.0,61.8,0.581,0.0,0.88,1.0,1.4,0.68,0.1,False,default,2.5,False,,,,,1,1.0,99.0,0.0,0.0,0.029292806739482834,0.0,2.464668,19.596154,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.054473,0.0,0.0,0.0,1.0,0.2582193270594192,0.2582193270594192,n/a,2026-08-17,2026-08-17,
