ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train,entry_price,stop_price,target_1,rr_ratio
COHR,LONG,0.28800272802822247,2.8800272802822247,5.92,4.156,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, pullback_to_support, room_to_target",trend_aligned,4.7,NEUTRAL,pullback_to_support,,,400.0,250.0,39.15,13.03,89768.0,115221.0,1.284,73061.0,55698.0,76230.0,97.1,1.098,0.0,0.94,1.0,1.4,1.93,0.65,False,default,2.5,False,1,0.7,99.0,1.8e-05,0.0,887167.9740364637,0.0,2.162063,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,1.6e-05,0.0,0.0,0.0,1.0,0.28800272802822247,0.28800272802822247,n/a,2026-08-03,2026-08-03,False,,,,
SKHY,LONG,0.2854467877639665,2.8544678776396646,0.0,1.7127,error: Need at least 21 rows to compute support/resistance,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0,99.0,2e-06,0.0,877421.5887151383,0.0,10.890351,,1,0,0.291013,0.0,4,4,2,2,4,4,2,2,4,4,4,4,4,4,4,4,0.0,0.0,0.042407,0.0,0.0,0.0,,,,,,,False,,,,
CRWD,LONG,0.2778826499784186,2.778826499784186,0.0,1.6673,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,4,1.0,4.369550613073158e-08,3e-06,1.2e-05,0.02585494476254648,197235.7270576953,1.205021,2.565746,1,2,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,1e-06,0.222719,0.412329,0.0,0.0,,,,,,,False,,,,
ORCL,LONG,0.27545404288774783,2.7545404288774784,5.88,4.5413,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, support_ema_confluence",trend_aligned,7.0,NEGATIVE,support_ema_confluence,-24227842.36,,200.0,120.0,42.93,14.24,1630625.0,1295241.0,0.794,678913.0,654761.0,1592192.0,69.6,0.66,0.0,0.68,1.0,1.6,2.0,0.6,False,consolidation_break,3.0,False,1,1.0,99.0,1e-06,0.0,1.035133346751344e-09,0.0,24.942308,,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.198002,0.0,0.0,0.0,1.0,0.27545404288774783,0.27545404288774783,n/a,2026-08-03,2026-08-03,False,,,,
SNOW,LONG,0.2746804959981185,2.7468049599811852,8.16,4.6214,"wall_proximity (1.6%, 0.4 ATR to call wall)","confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,4.0,NEGATIVE,trend_continuation,-2506810.77,,320.0,240.0,1.65,23.77,275543.0,235182.0,0.854,102090.0,70202.0,338433.0,83.7,0.762,2.32,0.46,1.0,1.4,1.98,1.0,False,sustained_trend,5.0,False,1,0.7,99.0,8e-06,0.0,832913.6226296623,0.0,2.315789,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.078177,0.0,0.0,0.0,1.0,0.2746804959981185,0.2746804959981185,n/a,2026-08-03,2026-08-03,False,,,,
CAT,LONG,0.272557158236042,2.72557158236042,3.99,3.7198,price_validation_failed,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",5.8,NEGATIVE,bounce_and_fail,-1285392.83,,1000.0,600.0,21.42,27.15,123639.0,129283.0,1.046,72883.0,69466.0,110573.0,94.6,0.525,0.0,0.49,1.0,1.0,1.19,0.3,False,default,2.5,False,4,0.7,0.002094492590343698,1.3e-05,3e-06,0.0012792663623214131,1.8323287963193378,30.420833,10.52459,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.381437,0.071691,0.0,0.0,1.0,0.272557158236042,0.272557158236042,n/a,2026-08-03,2026-08-03,False,,,,
NOW,LONG,0.27205718223434017,2.720571822343402,0.0,1.6323,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0,1.9635886114614653e-08,2e-06,1e-05,0.017258432591495683,878923.0336109216,1.818627,1.001305,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,5e-06,0.681432,0.698908,0.0,0.0,,,,,,,False,,,,
BA,LONG,0.27169587279430507,2.7169587279430507,7.54,4.6205,weak_relative_strength (-3.2% vs SPY),"confirmation_volume, momentum_aligned, not_extended, room_to_target, support_ema_confluence, trend_aligned",none,5.0,POSITIVE,support_ema_confluence,13153036.01,226.83,250.0,200.0,10.22,11.82,412694.0,358852.0,0.87,228267.0,139744.0,403535.0,62.7,0.343,1.56,0.58,1.0,1.6,1.85,0.96,False,consolidation_break,3.0,False,2,1.0,99.0,1e-05,0.0,8.905127671006357e-12,0.0,182.523684,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.269668,0.0,0.0,0.0,1.0,0.27169587279430507,0.27169587279430507,n/a,2026-08-03,2026-08-03,False,,,,
BMNR,LONG,0.2699794856569072,2.6997948565690724,6.04,4.2419,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target, trend_aligned",confirmation_volume,5.4,POSITIVE,retest_and_confirm,6016575.93,17.38,20.0,15.0,15.04,13.72,1077239.0,394146.0,0.366,445029.0,53646.0,972710.0,22.4,0.802,1.66,0.75,1.0,1.4,1.11,0.12,False,default,2.5,False,1,1.0,99.0,3.4e-05,0.0,0.028983662909216928,0.0,32.031963,,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.23662,0.0,0.0,0.0,1.0,0.2699794856569072,0.2699794856569072,n/a,2026-08-03,2026-08-03,False,,,,
AMAT,LONG,0.2650363665685367,2.650363665685367,0.0,1.5902,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0,0.00047577036468732345,1e-06,5e-06,0.012127233109516182,25.489677394022234,5.48,2.588235,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.286263,0.654835,0.0,0.0,,,,,,,False,,,,
