ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,entry_price,stop_price,target_1,rr_ratio,bullish_score_z_shadow,bearish_score_z_shadow
HROW,SHORT,0.35000727482421495,3.5000727482421494,3.64,3.902,watchlist_reeval_failed,"ema_rally, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",5.3,NEUTRAL,ema_rally,,,50.0,30.0,24.32,25.41,30652.0,6599.0,0.215,2208.0,4868.0,30175.0,76.6,0.816,0.0,0.37,1.0,1.2,0.81,0.25,1,1.0,0.0,0.0,3.4e-05,0.0,9.03757539378104e-19,,42.3,0,0,0.0,0.0,3.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.241437,0.0,0.0,,,,,0.37893969352083734,0.7165163738543762
UEC,SHORT,0.337143410833306,3.37143410833306,2.82,3.8117,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target","continuation_pattern, trend_aligned",6.4,NEUTRAL,unknown,,,15.0,13.0,0.6,12.81,110264.0,44551.0,0.404,77996.0,3667.0,73152.0,32.9,0.798,0.0,0.56,1.0,0.0,0.82,0.44,1,1.0,0.0,0.0,3e-05,0.0,46.95188118806533,,3.251924,0,0,0.0,0.0,3.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.047099,0.0,0.0,,,,,0.37893969352083734,0.690855170294801
BE,SHORT,0.3161094139756797,3.161094139756797,2.37,4.0315,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, room_to_target","continuation_pattern, not_extended, trend_aligned",8.7,NEGATIVE,unknown,-1943345.22,214.07,260.0,75.0,21.46,64.96,317541.0,303421.0,0.956,173944.0,211414.0,235604.0,50.0,1.14,0.0,0.0,1.0,0.0,0.96,0.41,9,1.0,0.014470486019501481,5e-06,2.7e-05,75.0474428074747,2593.121015642989,59.279551,0.936888,0,2,0.106053,0.399463,3.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.21088,0.42298,0.0,0.0,,,,,0.4490783282840407,0.542476098419781
MLM,SHORT,0.39270508110104146,3.9270508110104148,3.04,3.8555,watchlist_reeval_failed,"ema_rally, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",4.9,NEUTRAL,ema_rally,,,680.0,600.0,8.55,4.22,1099.0,1460.0,1.328,812.0,929.0,818.0,93.5,0.333,0.0,0.58,0.36,1.2,0.74,0.16,3,1.0,0.1479074960155103,1e-06,6e-06,7.135832198867861e-06,2.4122618498387543e-05,,,0,2,0.0,0.293018,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.309582,0.310952,0.0,0.0,,,,,,
RMD,SHORT,0.375,3.75,5.7,4.745,watchlist_reeval_failed,"ema_rally, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,5.8,NEUTRAL,ema_rally,,,250.0,200.0,10.07,11.94,2585.0,8776.0,3.395,1813.0,5298.0,4250.0,97.1,0.418,2.0,0.83,0.45,1.2,1.22,0.01,1,1.0,0.0,0.0,5e-06,0.0,1.1413739692908545e-30,,330.0,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.166094,0.0,0.0,,,,,,
SYY,LONG,0.6037216753043289,6.037216753043289,4.35,5.2836,watchlist_reeval_failed,"momentum_aligned, not_extended, support_ema_confluence","confirmation_volume, room_to_target, trend_aligned",4.8,NEUTRAL,support_ema_confluence,,,80.0,70.0,4.25,8.78,69955.0,19348.0,0.277,17183.0,46488.0,25632.0,93.4,0.275,0.0,0.89,0.0,1.6,1.85,0.0,15,1.0,0.28022143022653073,3.4e-05,1.1e-05,1.000131480170213,1.7845378195409747,11.482153,14.874516,2,1,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.488469,0.58081,0.0,0.0,,,,,,
PRAX,LONG,0.5992473355422024,5.992473355422025,5.47,6.0172,watchlist_reeval_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",6.9,NEUTRAL,trend_continuation,,,450.0,130.0,30.68,62.25,1815.0,7436.0,4.097,1824.0,512.0,6915.0,49.5,0.775,1.75,0.41,0.04,1.4,1.56,0.3,5,1.0,99.0,5.3e-05,0.0,0.002897609740697628,0.0,31.3125,,2,0,0.653926,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.040588,0.0,0.0,0.0,,,,,,
AS,LONG,0.5850739908100202,5.850739908100202,4.92,5.8614,watchlist_reeval_failed,"momentum_aligned, not_extended, support_ema_confluence, trend_aligned","confirmation_volume, room_to_target",7.3,NEUTRAL,support_ema_confluence,,,40.0,35.0,9.45,4.23,28435.0,6282.0,0.221,9911.0,12471.0,12335.0,60.2,0.509,1.77,0.52,0.14,1.6,0.86,0.04,5,1.0,99.0,1.8e-05,0.0,0.7439554507650326,0.0,4.920413,,1,0,0.530603,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.395065,0.0,0.0,0.0,,,,,,
IVZ,LONG,0.5756834610186145,5.756834610186145,5.33,5.4374,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target",trend_aligned,4.8,NEUTRAL,retest_and_confirm,,,26.0,15.0,4.08,39.95,72973.0,3504.0,0.048,26955.0,38129.0,11393.0,77.1,0.429,0.0,0.58,0.86,1.4,1.8,0.68,9,0.7,99.0,0.000392,2.4e-05,280.30508522968313,3.0600030527226997e-11,211.828862,242.365789,0,2,0.487465,0.543647,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.475812,0.566368,0.0,0.0,,,,,,
FLR,LONG,0.5526562906159647,5.526562906159647,5.32,5.6393,watchlist_reeval_failed,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned",6.4,NEUTRAL,trend_continuation,,,70.0,37.5,45.26,22.18,66955.0,25243.0,0.377,11339.0,44967.0,35892.0,80.5,0.601,1.56,0.91,1.0,1.4,0.45,0.0,4,1.0,99.0,0.0001,1.7e-05,3.8051516188866126e-19,1.71387454247134e-25,76.351229,4.238532,0,0,0.511983,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.554488,0.251618,0.0,0.0,,,,,,
