ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train,bearish_vol_oi,entry_price,stop_price,target_1,rr_ratio
XPEV,SHORT,0.29517287956582716,2.951728795658272,5.98,4.5499,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",6.4,POSITIVE,trend_continuation,1801035.11,12.19,13.0,11.0,6.69,9.73,379286.0,149031.0,0.393,100000.0,188610.0,239707.0,46.7,0.565,2.35,0.3,0.0,1.4,1.84,0.08,False,sustained_trend,5.0,False,1,0.7,0.0,0.0,3.9e-05,0.0,3.0723225269771735e-30,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.583773,0.0,0.0,1.0,0.29517287956582716,0.29517287956582716,n/a,2026-06-25,2026-06-25,False,4.908509,,,,
TLN,SHORT,0.2942327787185165,2.9423277871851647,4.38,4.0652,price_validation_failed,"momentum_aligned, not_extended, pullback_to_resistance, room_to_target","confirmation_volume, trend_aligned",6.4,NEUTRAL,pullback_to_resistance,,,430.0,260.0,3.18,37.61,47297.0,34240.0,0.724,20360.0,13954.0,47223.0,27.6,0.559,0.0,0.53,1.0,1.4,1.31,0.14,False,default,2.5,False,1,1.0,0.0,0.0,3e-05,0.0,2203.4898643180163,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.512448,0.0,0.0,1.0,0.2942327787185165,0.2942327787185165,n/a,2026-06-25,2026-06-25,False,133.0,,,,
NET,SHORT,0.2811903270353331,2.811903270353331,3.88,4.11,price_validation_failed,"not_extended, room_to_target, trend_continuation","confirmation_volume, momentum_aligned, trend_aligned",7.7,NEGATIVE,trend_continuation,-4510607.88,,250.0,190.0,11.21,15.48,143993.0,108007.0,0.75,111484.0,64403.0,76113.0,54.7,0.614,0.0,0.88,1.0,1.4,0.6,0.0,False,default,2.5,False,2,0.7,0.0,0.0,2.7e-05,0.0,5.2779727377634936e-24,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.171179,0.0,0.0,1.0,0.2811903270353331,0.2811903270353331,n/a,2026-06-25,2026-06-25,False,4.17357,,,,
LRCX,SHORT,0.2792622824738863,2.7926228247388627,3.33,3.1353,price_validation_failed,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",3.7,POSITIVE,bounce_and_fail,2793609.06,393.74,400.0,340.0,1.65,13.6,263627.0,272788.0,1.035,157039.0,141664.0,237712.0,100.0,0.817,0.0,0.38,1.0,1.0,0.67,0.28,False,default,2.5,False,4,0.7,0.018554716735791624,3e-06,8e-06,15610.904185660742,841344.2472849863,1.597969,0,1,0.068242,0.001361,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,1e-06,0.637798,0.36559,0.0,0.0,1.0,0.2792622824738863,0.2792622824738863,n/a,2026-06-25,2026-06-25,False,23.066087,,,,
CVNA,SHORT,0.2789990945182282,2.7899909451822817,5.51,4.388,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target, trend_aligned",confirmation_volume,6.7,NEGATIVE,retest_and_confirm,-14369088.21,,120.0,40.0,82.82,39.06,721927.0,604269.0,0.837,407169.0,327035.0,591992.0,68.6,0.744,1.55,0.82,0.23,1.4,1.41,0.08,False,default,2.5,False,1,1.0,0.0,0.0,9e-06,0.0,1251.8195938163042,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.483417,0.0,0.0,1.0,0.2789990945182282,0.2789990945182282,n/a,2026-06-25,2026-06-25,False,3.434483,,,,
GDX,SHORT,0.27475213141345894,2.7475213141345893,5.35,4.7988,price_validation_failed,"ema_rally, momentum_aligned, not_extended, trend_aligned","confirmation_volume, room_to_target",9.1,NEGATIVE,ema_rally,-3659366.74,75.93,90.0,70.0,18.49,7.84,860912.0,1096812.0,1.274,490490.0,530862.0,936372.0,51.6,0.466,1.82,0.41,0.04,1.2,1.65,0.23,False,default,2.5,False,3,0.7,0.0,0.0,0.0,0.0,28064.729867331884,,0,0,0.0,0.42966,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.222243,0.0,0.0,1.0,0.27475213141345894,0.27475213141345894,n/a,2026-06-25,2026-06-25,False,6.955385,,,,
TSM,SHORT,0.27163507767418665,2.7163507767418666,5.21,4.1812,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned",6.3,NEGATIVE,retest_and_confirm,-14147613.01,438.02,500.0,400.0,14.09,8.73,803873.0,1008509.0,1.255,566885.0,398792.0,846705.0,98.1,0.514,0.0,0.87,1.0,1.4,1.74,0.2,False,default,2.5,False,3,1.0,0.0,0.0,1e-06,0.0,564.5968907578261,,0,0,0.0,0.159551,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.149052,0.0,0.0,1.0,0.27163507767418665,0.27163507767418665,n/a,2026-06-25,2026-06-25,False,6.380084,,,,
LYFT,SHORT,0.2711182322938711,2.7111823229387113,4.23,3.2446,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned",3.1,POSITIVE,retest_and_confirm,1620535.8,14.16,15.0,12.0,5.89,15.28,325867.0,209636.0,0.643,85117.0,59141.0,391245.0,5.5,0.478,0.0,0.91,0.65,1.4,1.23,0.04,False,default,2.5,False,1,1.0,0.0,0.0,4.9e-05,0.0,3.0017251982629364e-29,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.485975,0.0,0.0,1.0,0.2711182322938711,0.2711182322938711,n/a,2026-06-25,2026-06-25,False,2.722132,,,,
HD,SHORT,0.2648237591881756,2.648237591881756,0.0,1.5889,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0,0.25525487051471835,5e-06,1e-06,8.42666944298374e-31,3.301276651838793e-30,1.913994,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.527838,0.347446,0.0,0.0,,,,,,,False,2.795918,,,,
CAT,SHORT,0.2636009867617373,2.636009867617373,1.49,2.765,price_validation_failed,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned",5.0,NEUTRAL,unknown,,,1080.0,600.0,2.98,42.79,109822.0,123628.0,1.126,76362.0,66282.0,90806.0,89.4,0.432,0.0,0.0,1.0,0.0,0.13,0.36,True,default,2.5,False,2,1.0,0.021512484614062886,1e-06,4e-06,121.42399713851043,5644.350214160506,2.010204,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.060292,0.300969,0.0,0.0,1.0,0.2636009867617373,0.2636009867617373,n/a,2026-06-25,2026-06-25,False,6.57047,,,,
