ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score
CEG,182.84798070216488,41.55389592046061,4,1,224.40187662262548,5,66.0,0.339706,0.403799,0.083333,5,2,0,116.15925249833485,0.0,79.38101107163607,41.55389592046061,4,1,0.0,141.29408478170427,LONG,45.71199517554122,41.55389592046061,0.434137,1.0,4.400260833596901,1.0,936814075.3205932,0.0,0.0,0.2703105196696826,0.22310250326043007
CMG,0.336885743699657,24393.190796661227,1,3,24393.864568148627,4,50.25,143.285276,460.269231,37.623958,4,0,2,0.0,24308.03131213093,0.336885743699657,20074.221004532064,1,3,0.0,-24392.85391091753,SHORT,0.336885743699657,8131.063598887075,1.0,0.822944,1.3810646852553935e-05,1.0,561417946.5549946,0.0,4.3e-05,0.2992732930836822,0.37465212521114866
COIN,5277.210378099693,40660.71800020633,1,2,91875.85675661205,3,67.333333,0.46787,0.0443,0.679654,3,0,0,0.0,0.0,5277.210378099693,36083.51909166552,1,2,0.0,-35383.50762210664,SHORT,5277.210378099693,20330.359000103166,1.0,0.887429,0.12978645330544616,1.0,2580078419.5,2e-06,1.6e-05,0.28019003637953216,0.3199632609592899
CORZ,1027.3837105536145,269.3436251616429,1,2,1518.979639500739,3,48.333333,5.307531,15.649452,0.13657,3,0,1,0.0,222.25230378548164,1027.3837105536145,222.25230378548164,1,2,0.0,758.0400853919716,LONG,1027.3837105536145,134.67181258082144,1.0,0.825163,3.8143977231205834,1.0,203396181.87138283,5e-06,1e-06,0.26744560887997376,0.24971431929376114
COST,4716.157367110358,87.648075597282,3,3,4853.074072497142,6,71.5,0.218692,0.085028,0.352355,6,1,1,0.0738251476594288,4.49739846909933,4680.6021420759325,49.268629789502135,3,3,0.0,4628.509291513076,LONG,1572.0524557034526,29.216025199094002,0.992461,0.562119,53.807882659965756,1.0,1841358769.4505463,3e-06,0.0,0.31035680238955954,0.22389520658321438
CRK,19.730995931650824,155.94756800421027,1,1,331.62613194007133,2,57.5,0.349396,0.507968,0.190824,2,0,0,0.0,0.0,19.730995931650824,155.94756800421027,1,1,0.0,-136.21657207255944,SHORT,19.730995931650824,155.94756800421027,1.0,1.0,0.1265232679429674,1.0,44342221.54780731,0.0,4e-06,0.2130149575536996,0.24353743037908226
CRM,32338.041940909894,30881.81064036996,3,8,125781.8624466424,11,59.272727,2.639979,0.38381,3.486042,11,1,2,26672.669555586956,13798.25635724261,26672.669555586956,12606.45395580261,3,8,0.0,1456.2313005399337,LONG,10779.347313636632,3860.226330046245,0.824808,0.408216,1.0471549844501762,1.0,2818850071.0199037,1.1e-05,1.1e-05,0.33172958625129767,0.34187209028626003
CRWD,307.2097261543151,398.9856157968637,5,8,872.1917023466855,13,49.153846,0.27397,0.211724,0.312874,13,3,4,154.77977059224781,29.698508724212108,150.09837631718216,362.4537588415366,5,8,0.0,-91.77588964254863,SHORT,61.44194523086302,49.873201974607966,0.488586,0.908438,0.7699769465140952,1.0,2120001479.3000002,0.0,0.0,0.30841875153348364,0.321475913490552
CVI,5745.2527089426485,55.0152322798951,2,2,5850.7041942144015,4,44.0,140.179816,2.583055,277.776578,4,0,2,0.0,55.0152322798951,5743.716560231733,50.436252991858474,2,2,0.0,5690.237476662754,LONG,2872.6263544713242,27.50761613994755,0.999733,0.916769,99.0,1.0,55581414.24045944,0.000103,1e-06,0.372704410298106,0.3945114423288512
CVNA,8988.763875446388,0.0,2,0,17977.527750892776,2,90.0,0.099118,0.099118,,2,1,0,4806.809650758402,0.0,4806.809650758402,0.0,2,0,0.0,8988.763875446388,LONG,4494.381937723194,0.0,0.534758,0.0,99.0,1.0,849701154.2484543,1.1e-05,0.0,0.29480052502554566,0.115
CZR,0.0,0.038561910419690246,0,1,0.07712382083938049,1,32.0,0.550813,,0.550813,1,0,1,0.0,0.038561910419690246,0.0,0.038561910419690246,0,1,0.0,-0.038561910419690246,SHORT,0.0,0.038561910419690246,0.0,1.0,0.0,1.0,186484091.4470232,0.0,0.0,0.115,0.18491352077560852
DAL,6449.29926887256,96966.5309292452,2,15,153409.15395505828,17,90.235294,0.46918,1.325973,0.35494,17,1,9,1974.7913167037186,61625.116104423694,4474.507952168841,22214.586470896014,2,15,0.0,-90517.23166037264,SHORT,3224.64963443628,6464.435395283013,0.693798,0.229095,0.06651057026654385,0.7,912619354.7164516,7e-06,0.000106,0.24569229232232304,0.4921489175056568
