ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_z_shadow,bearish_score_z_shadow,bullish_zscore_tier,bearish_zscore_tier
DDOG,15333.389286329582,0.0,1,0,15333.389286329582,1,91.0,2.844237,2.844237,,1,0,0,0.0,0.0,15333.389286329582,0.0,1,0,169020.0,0.0,1579.387665038475,0.0,1,0,15333.389286329582,LONG,15333.389286329582,0.0,0.0,0.0,99.0,0.7,1.0,0.0,0.6923076923076923,-0.3076923076923077,91+,0.0,0,0.0,41562853183.0,4e-06,0.0,0.0,0.0,0.103003,0.0,0.0,0.0,0.0036892051704961464,0.0,0.2061183765503465,0.03428571428571428,0.1242,0.0,1.5941,0.0,0.0,0.3429,0.0,0.0,0.0,0.0,0.0,0.0,0.3429,0.0,0.5824146375113,0.3266757171056233,3,3
DEO,23.44728549573401,0.0,2,0,23.44728549573401,2,48.0,3.30942,3.30942,,2,0,0,0.0,0.0,23.39124989974802,0.0,2,0,137530.0,0.0,11.93039054094113,0.0,0,0,23.44728549573401,LONG,11.723642747867006,0.0,0.00239,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,199165888337.0,1e-06,0.0,0.0,0.0,0.508818,0.0,0.0,0.0,5.886370826730096e-07,0.0,0.24555555555555555,0.06,0.0,0.0,1.7,0.1556,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5013836437892704,0.3498356837330293,3,3
DLTR,0.825462512557758,1.0000071420108552,3,4,2.6509321672246147,7,47.714286,0.670568,0.618534,0.709593,7,1,2,1.4310563931534072e-17,1.0000069890017844,0.825462512557758,1.000006988903541,3,4,168715.5,386843.0,0.5335450985494157,0.6390931607958088,0,0,-0.17454462945309712,SHORT,0.27515417085258603,0.2500017855027138,0.0,0.0,0.825456617137638,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.5,0,0.0,20899800127.0,8e-06,1.9e-05,0.0,0.0,0.646359,0.639089,0.0,0.0,1.3165397237321915e-07,1.196192231425897e-07,0.1426157960475481,0.22053415815286195,0.2844,0.0,0.0806,0.3111,0.15,0.6,0.0,0.6962,0.0,0.1425,0.4667,0.3,0.6,0.0,0.48399699774940635,0.6339967693878629,3,3
DVN,12734.729902816396,0.0,5,0,12734.729902816396,5,74.0,0.762774,0.762774,,5,0,0,0.0,0.0,11643.0659806529,0.0,5,0,620572.0,0.0,4708.349832583435,0.0,0,0,12734.729902816396,LONG,2546.945980563279,0.0,0.085723,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,27422600000.0,2.3e-05,0.0,0.0,0.0,0.369725,0.0,0.0,0.0,0.0009287762577448086,0.0,0.2237395320499428,0.06,0.8365,0.0,0.1787,0.6222,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.7468937163426553,0.3498356837330293,3,3
EEM,5642.9354265594575,2153.1747514732588,1,1,15592.220356065432,2,66.5,15.975312,0.728402,31.222222,2,0,0,0.0,0.0,5642.9354265594575,2153.1747514732588,1,1,98319.0,37390.0,1442.4218338646212,1035.1782918460642,0,0,3489.7606750861987,LONG,5642.9354265594575,2153.1747514732588,0.0,0.0,2.6207512523999332,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,1,0.5,27956207225.0,4e-06,1e-06,0.0,0.0,0.255616,0.480768,0.0,0.0,0.0020184910567958695,0.0007701955898895219,0.0879558822646322,0.23,0.1242,0.0,0.1553,0.0,0.0,0.6,0.0,0.0,0.0,1.7,0.0,0.0,0.6,0.0,0.5805066014511947,0.5377996430909243,3,3
ELF,417.92420250818066,6.915264027921685,4,1,842.763669044031,5,55.6,1.672143,1.165247,3.699725,5,1,0,417.2161943751223,0.0,417.2161943751223,6.915264027921685,4,1,263476.0,346498.0,126.4221200326801,2.1042977572763633,0,0,411.00893848025896,LONG,104.48105062704516,6.915264027921685,0.001694,0.0,60.43503195550202,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.25,0,0.0,3945870610.0,6.7e-05,8.8e-05,0.0,0.0,0.3025,0.304298,0.0,0.0,0.00026478580002663887,1.7525318773495426e-05,0.3803606174815407,0.4937354364471283,2.1346,0.0,0.4524,0.4667,0.15,0.6,0.0,2.6374,0.0,1.7,0.0,0.0,0.6,0.0,0.7668096185457145,0.694945719872199,3,3
ENTG,0.688298101690159,3.0453667550688043e-15,5,1,0.688298101690162,6,33.833333,0.242643,0.134922,0.78125,6,0,0,0.0,0.0,0.2507932292809974,3.0453667550688043e-15,5,1,749760.0,63000.0,0.610503420288599,1.045705700965972e-15,0,0,0.688298101690156,LONG,0.1376596203380318,3.0453667550688043e-15,0.635633,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,22201120000.0,3.4e-05,3e-06,0.0,0.0,0.886975,0.343376,0.0,0.0,6.200570977411582e-08,1.3717176228356066e-21,0.2804889970464371,0.08744830638683378,1.2001,0.0,0.0,0.6222,0.0,0.6,0.3826,0.0832,0.0,0.1913,0.0,0.0,0.6,0.0,0.6457891066539528,0.4374402914123364,3,3
ENVX,7.834894130175146e-06,0.0,1,0,1.5669788260350292e-05,1,98.0,0.420957,0.420957,,1,0,0,0.0,0.0,7.834894130175146e-06,0.0,1,0,31076.0,0.0,1.3747638750165596e-06,0.0,0,0,7.834894130175146e-06,LONG,7.834894130175146e-06,0.0,0.0,0.0,99.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,1438025806.0,2.2e-05,0.0,0.0,0.0,0.175467,0.0,0.0,0.0,5.448368240322904e-11,0.0,0.11446927062411194,0.03428571428571428,0.8018,0.0,0.0,0.0,0.0,0.3429,0.0,0.0,0.0,0.0,0.0,0.0,0.3429,0.0,0.5132328500851487,0.3498356837330293,3,3
ETHA,12149.807783393771,9290.60856174894,2,2,30571.134750913174,4,52.0,15.248544,16.403537,14.09355,4,0,0,0.0,0.0,8208.353041229822,5189.263663606513,2,2,175338.0,115302.0,3320.924563256861,3975.505161562846,0,0,2859.1992216448307,LONG,6074.903891696886,4645.30428087447,0.324405,0.441451,1.3077515539096818,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,7255426926.0,2.4e-05,1.6e-05,0.0,1e-06,0.272787,0.344663,0.0,0.0,0.008372910310663206,0.006402523694681438,0.3500924943340589,0.32931381795521947,0.8709,0.0142,1.7,0.1556,0.0,0.6,0.1603,0.5878,0.0059,1.7,0.1556,0.0,0.6,0.2439,0.5617760984832362,0.6827852486864904,3,3
EXE,1974.8992619589515,8.552255203773857e-11,3,2,3949.798523918074,5,76.2,150.290515,250.30512,0.268608,5,0,0,0.0,0.0,1974.8992617234628,8.552242146433992e-11,3,2,550840.0,62935.0,434.3514198508635,2.0217200109802622e-11,0,0,1974.899261958866,LONG,658.2997539863171,4.2761276018869285e-11,0.0,2e-06,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,23034961273.0,2.4e-05,3e-06,0.0,0.0,0.219936,0.236396,0.0,0.0,0.00028578287854902145,1.8563641376289667e-17,0.34819685245642173,0.08387886194238933,0.8709,0.0,1.7,0.3111,0.0,0.6,0.0,0.0832,0.0,0.0,0.1556,0.0,0.6,0.0,0.717198729140689,0.5650906510005068,3,3
