ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score
BTDR,883.2584059302524,44551.33702700088,5,5,88873.26721133174,10,40.8,154.093577,0.338941,307.848213,10,1,2,26.98942198074453,26.610162168233963,509.2446604164497,43375.249486604414,5,5,201.6718967796123,1647233.0,3747837.5,-43668.07862107063,SHORT,176.65168118605047,8910.267405400176,0.423448,0.026398,0.019825631841193517,1.0,2388585288.0,0.00069,0.001569,0.0007395661443345978,0.037303534649419545,0.5189367619047619,0.6701830792837141
CAVA,0.0,8.643535821412295e-06,0,1,8.643535821412295e-06,1,37.0,4.495536,,4.495536,1,0,0,0.0,0.0,0.0,8.643535821412295e-06,0,1,0.0,0.0,590000.0,-8.643535821412295e-06,SHORT,0.0,8.643535821412295e-06,0.0,0.0,0.0,1.0,10618307279.0,0.0,5.6e-05,0.0,8.140220088098936e-12,0.05,0.35908134331813096
CELH,603.3295763729968,1.5685866442340567e-06,2,1,613.6417284942621,3,65.0,0.524294,0.338823,0.895238,3,0,0,0.0,0.0,593.0174258203182,1.5685866442340567e-06,2,1,391206777.88590866,164584.0,110725.0,603.3295748044102,LONG,301.6647881864984,1.5685866442340567e-06,0.017092,0.0,99.0,1.0,8955613356.0,1.8e-05,1.2e-05,0.00033684436363522977,1.7515122436400734e-12,0.2502584010100843,0.24154318483840942
CENX,780913.0334356156,0.0,1,0,780913.0334356156,1,62.0,26.338346,26.338346,,1,0,0,0.0,0.0,780913.0334356156,0.0,1,0,0.0,833000.0,0.0,780913.0334356156,LONG,780913.0334356156,0.0,0.0,0.0,99.0,1.0,6493687224.0,0.000128,0.0,1.2025726008937438,0.0,0.6000000000000001,0.05
CM,0.0,1.7625350809314237e-23,0,1,3.5250701618628475e-23,1,51.0,25.103448,,25.103448,1,0,0,0.0,0.0,0.0,1.7625350809314237e-23,0,1,0.0,0.0,65082.0,-1.7625350809314237e-23,SHORT,0.0,1.7625350809314237e-23,0.0,0.0,0.0,1.0,99601373179.0,0.0,1e-06,0.0,1.7695891378564223e-30,0.05,0.2
CRCL,20284.117318768625,0.0,1,0,20284.117318768625,1,63.0,0.342541,0.342541,,1,0,0,0.0,0.0,20284.117318768625,0.0,1,0,0.0,177970.0,0.0,20284.117318768625,LONG,20284.117318768625,0.0,0.0,0.0,99.0,1.0,24511728624.0,7e-06,0.0,0.00827527002681809,0.0,0.07233569045735831,0.05
CRDO,10472.575200969495,192552.22590427758,4,7,243143.16567673246,11,57.545455,0.549501,0.208854,0.744157,11,1,3,8863.202080736659,28213.784362203543,8863.202080736659,161869.23276986342,4,7,162.33318840640342,435277.0,1213786.0,-182079.65070330809,SHORT,2618.143800242374,27507.460843468227,0.153675,0.159349,0.054388232344692124,1.0,29314628964.0,1.5e-05,4.1e-05,0.0008931185188997618,0.009383526865459877,0.28383546915146224,0.4401063458661898
CRWD,74126.30844530667,40130.24331946572,8,3,154706.92634677514,11,59.818182,0.178283,0.177384,0.180683,11,2,2,300.0250058296064,40129.680101475606,72606.84948726499,37234.58009326115,8,3,2283.961119289113,636729.0,108622.5,33996.06512584095,LONG,9265.788555663334,13376.74777315524,0.020498,0.072157,1.8471432593918686,1.0,106061412438.0,6e-06,1e-06,0.00087362485023286,0.0012612266295222916,0.3160143930789783,0.2316666666666667
CRWV,0.0,508453.52597589896,0,2,508453.52597589896,2,62.0,0.05457,,0.05457,2,0,1,0.0,206001.8357358745,0.0,302451.6902400244,0,2,0.6811065779542919,0.0,549790.0,-508453.52597589896,SHORT,0.0,254226.76298794948,0.0,0.405154,0.0,1.0,50098997364.0,0.0,1.1e-05,0.0,0.05074488040964888,0.07951461837801932,0.17836370752027758
CVNA,13841.261679403178,100821.78356489033,5,10,222052.8339400019,15,69.133333,2.718527,2.093746,3.030918,15,1,1,5220.190484441492,6465.390330351683,5220.190484441492,34137.39867744256,5,10,12.624453839198118,541533.0,871650.5,-86980.52188548715,SHORT,2768.2523358806357,10082.178356489032,0.622853,0.661409,0.1372844358629576,1.0,51704760001.0,1e-05,1.7e-05,0.0005353960323628029,0.001949951678780452,0.41004018794489827,0.5564114215586294
