ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score
SLV,203594.95748251944,0.0,2,0,203594.95748251944,2,90.0,0.066005,0.066005,,2,0,0,0.0,0.0,103654.3771769142,0.0,2,0,203594.95748251944,LONG,101797.47874125972,0.0,0.509121,0.0,inf,1.0,3383183574.7619033,6e-05,0.0,0.2945759130426626,0.05
SOXS,19988.833881167953,0.0,1,0,19988.833881167953,1,56.0,1.328358,1.328358,,1,1,0,19988.833881167953,0.0,19988.833881167953,0.0,1,0,19988.833881167953,LONG,19988.833881167953,0.0,1.0,0.0,inf,1.0,2190147622.7168655,9e-06,0.0,0.32120809681077556,0.05
SPY,269751.2745115445,302708.2219182516,2,3,572459.4964297961,5,51.8,0.837898,0.770209,0.883025,5,1,2,107498.87308363541,181616.30163527926,162252.4014279091,121091.9202829723,2,3,-32956.9474067071,SHORT,134875.63725577225,100902.7406394172,0.601489,0.400029,0.8911263552808045,1.0,58829483394.85289,5e-06,5e-06,0.3471239599585202,0.46319343186765327
TLT,0.0,32607.276469585497,0,1,32607.276469585497,1,119.0,0.142681,,0.142681,1,0,1,0.0,32607.276469585497,0.0,32607.276469585497,0,1,-32607.276469585497,SHORT,0.0,32607.276469585497,0.0,1.0,0.0,0.7,3867265630.974827,0.0,8e-06,0.0,0.2774013925935665
TQQQ,145386.85924660825,0.0,1,0,145386.85924660825,1,90.0,0.277038,0.277038,,1,0,0,0.0,0.0,145386.85924660825,0.0,1,0,145386.85924660825,LONG,145386.85924660825,0.0,1.0,0.0,inf,1.0,4798698263.319898,3e-05,0.0,0.28839953464122736,0.05
TSM,71311.91618526148,0.0,1,0,71311.91618526148,1,90.0,0.126289,0.126289,,1,0,0,0.0,0.0,71311.91618526148,0.0,1,0,71311.91618526148,LONG,71311.91618526148,0.0,1.0,0.0,inf,1.0,4550137408.487854,1.6e-05,0.0,0.2741410273498158,0.05
U,0.0,119.27732034465585,0,1,119.27732034465585,1,30.0,0.695533,,0.695533,1,0,0,0.0,0.0,0.0,119.27732034465585,0,1,-119.27732034465585,SHORT,0.0,119.27732034465585,0.0,1.0,0.0,1.0,276265493.5714363,0.0,0.0,0.05,0.21040610839537555
USAR,206.55308472513477,0.0,3,0,206.55308472513477,3,31.333333,1.261801,1.261801,,3,2,0,0.8784479423769134,0.0,205.67463678275786,0.0,3,0,206.55308472513477,LONG,68.85102824171159,0.0,0.995747,0.0,inf,1.0,212582988.77191713,1e-06,0.0,0.3580258065504411,0.05
WFC,0.0,63274.90083749679,0,1,63274.90083749679,1,90.0,0.243972,,0.243972,1,0,0,0.0,0.0,0.0,63274.90083749679,0,1,-63274.90083749679,SHORT,0.0,63274.90083749679,0.0,1.0,0.0,1.0,1581054099.551119,0.0,4e-05,0.05,0.2858507613209865
XLI,0.0,68520.53914460912,0,3,68520.53914460912,3,61.0,74.277197,,74.277197,3,0,1,0.0,39148.275617396015,0.0,39148.275617396015,0,3,-68520.53914460912,SHORT,0.0,22840.179714869708,0.0,0.571336,0.0,1.0,2496668852.120533,0.0,2.7e-05,0.05,0.6012782112162635
XLU,0.0,17657.631421997165,0,2,17657.631421997165,2,43.0,0.662192,,0.662192,2,0,2,0.0,17657.631421997165,0.0,17439.00150435159,0,2,-17657.631421997165,SHORT,0.0,8828.815710998582,0.0,0.987618,0.0,1.0,1352190484.837553,0.0,1.3e-05,0.05,0.41222776465133215
