ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score
BA,2820.80573305997,2894.2786669009975,10,7,6485.034042456725,17,68.235294,4.834135,2.803661,7.734813,17,5,1,769.7651662147852,40.74698793321533,1599.827370535291,2772.5535319757305,10,7,28.251893309016154,2807267.0,717032.0,-73.4729338410275,SHORT,282.080573305997,413.46838098585675,0.432847,0.042057,0.9746144230404402,1.0,1440513031.847644,0.001949,0.000498,0.7041039543501222,0.5070463206350906
BRKB,0.0,14877.499132040502,0,5,29754.998264081005,5,71.8,1.091648,,1.091648,5,0,2,0.0,13641.879648348679,0.0,13138.388862448252,0,5,26.983350090668225,0.0,1741071.0,-14877.499132040502,SHORT,0.0,2975.4998264081005,0.0,0.116895,0.0,1.0,,0.0,0.0,0.18,0.295038999047619
CAH,0.0,788.0426560123618,0,1,1576.0853120247236,1,35.0,41.916667,,41.916667,1,0,1,0.0,788.0426560123618,0.0,788.0426560123618,0,1,0.0,0.0,80480.0,-788.0426560123618,SHORT,0.0,788.0426560123618,0.0,0.0,0.0,1.0,381146444.2290329,0.0,0.000211,0.05,0.2465783711745267
CDE,319.928345473418,0.0,2,0,319.928345473418,2,57.5,0.086359,0.086359,,2,0,0,0.0,0.0,319.78525443701164,0.0,2,0,2234.83778207351,114998.0,0.0,319.928345473418,LONG,159.964172736709,0.0,0.000447,0.0,99.0,1.0,362152239.70116854,0.000318,0.0,0.2502364866460742,0.18
CEG,12.248978367571093,2.7836937015296033,4,1,15.032672069100697,5,66.0,0.339706,0.403799,0.083333,5,2,0,7.781503331791988,0.0,5.317730519519378,2.7836937015296033,4,1,0.3939486999208465,545270.0,83970.0,9.465284666041489,LONG,3.062244591892773,2.7836937015296033,0.565863,0.0,4.4002608335969,1.0,936814075.3205932,0.000582,9e-05,0.2600393886833568,0.06707111032990334
CMG,0.022567961489504875,1634.0988029341672,1,3,1634.1439388571462,4,50.25,143.285276,460.269231,37.623958,4,0,2,0.0,1628.393972726038,0.022567961489504875,1344.7712022090873,1,3,283.20061989864445,239300.0,477176.0,-1634.0762349726776,SHORT,0.022567961489504875,544.6996009780557,0.0,0.177056,1.3810646852553913e-05,1.0,561417946.5549946,0.000426,0.00085,0.4046433970269144,0.5074469337506415
COIN,353.5200963895548,2723.859751044758,1,2,6154.759694868626,3,67.333333,0.46787,0.0443,0.679654,3,0,0,0.0,0.0,353.5200963895548,2417.2333929111646,1,2,7.704964382118894,44692.5,296746.0,-2370.339654655203,SHORT,353.5200963895548,1361.929875522379,0.0,0.112571,0.1297864533054462,1.0,2580078419.5,1.7e-05,0.000115,0.18,0.21059307691551166
CORZ,68.82439060819861,18.043317871921555,1,2,101.75638075725935,3,48.333333,5.307531,15.649452,0.13657,3,0,1,0.0,14.888672277139175,68.82439060819861,14.888672277139175,1,2,31.25604198631984,1884000.0,141879.5,50.78107273627705,LONG,68.82439060819861,9.021658935960778,0.0,0.174837,3.8143977231205892,1.0,203396181.87138283,0.009263,0.000698,0.5800000000000001,0.317996417368034
COST,315.9351793000784,5.871540816735038,3,3,325.10722350861454,6,71.5,0.218692,0.085028,0.352355,6,1,1,0.004945543468352758,0.30128053012560707,313.5533363033532,3.3005033918011115,3,3,120.16744542514351,226113.0,370260.0,310.06363848334337,LONG,105.31172643335947,1.9571802722450127,0.007539,0.437881,53.80788265996575,1.0,1841358769.4505463,0.000123,0.000201,0.22756935363604885,0.27485655674052895
CRK,1.3217785693302013,10.446920877241489,1,1,22.21562032381318,2,57.5,0.349396,0.507968,0.190824,2,0,0,0.0,0.0,1.3217785693302013,10.446920877241489,1,1,15.807369130724167,57500.0,28750.0,-9.125142307911288,SHORT,1.3217785693302013,10.446920877241489,0.0,0.0,0.12652326794296706,1.0,44342221.54780731,0.001297,0.000648,0.330521147057948,0.28182282919634294
CRM,2166.3240395802845,2068.7711673527897,3,8,8426.121558604023,11,59.272727,2.639979,0.38381,3.486042,11,1,2,1786.8009870118747,924.3446002576702,1786.8009870118747,844.5058086144826,3,8,180.89762753110406,1364468.0,1000417.0,97.55287222749484,LONG,722.1080131934282,258.5963959190987,0.175192,0.591784,1.0471549844501769,1.0,2818850071.0199037,0.000484,0.000355,0.30725518412279607,0.5469110290850058
CRWD,20.579966349757395,26.728029251951966,5,8,58.428084649299365,13,49.153846,0.27397,0.211724,0.312874,13,3,4,10.368690178811525,1.9895018228532608,10.05508377755327,24.280761724825783,5,8,106.0583454655219,533799.5,640076.0,-6.148062902194571,SHORT,4.115993269951479,3.3410036564939958,0.511414,0.091562,0.7699769465140953,1.0,2120001479.3000002,0.000252,0.000302,0.3438577394584664,0.377223734339678
CVI,384.8742320140619,3.6854680456165188,2,2,391.93842247961544,4,44.0,140.179816,2.583055,277.776578,4,0,2,0.0,3.6854680456165188,384.77132547794855,3.37872241993703,2,2,955.7590727809799,124595.0,284664.0,381.18876396844536,LONG,192.43711600703094,1.8427340228082594,0.000267,0.083231,99.0,1.0,55581414.24045944,0.002242,0.005122,0.5082431121387032,0.6183333333333334
CVNA,602.1569056367682,0.0,2,0,1204.3138112735364,2,90.0,0.099118,0.099118,,2,1,0,322.00797188499894,0.0,322.00797188499894,0.0,2,0,1.1494170888771595,80992.5,0.0,602.1569056367682,LONG,301.0784528183841,0.0,0.465242,0.0,99.0,1.0,849701154.2484543,9.5e-05,0.0,0.1517301214703912,0.09980807385134358
