ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score,bullish_score_raw,checks_passed,checks_failed
AMD,575343.6803636298,83340.39154656138,3,2,742024.4634567526,5,84.2,1.001714,1.64042,0.043656,5,0,0,0.0,0.0,496599.9690532507,56499.261152941464,3,2,4.70604661152515,929366.0,116827.5,492003.28881706845,LONG,191781.2267878766,41670.19577328069,0.136864,0.322066,6.903539444522425,1.0,332228817478.0,3e-06,0.0,4.331938980842197,0.2954117914244286,0.43319389808421965,none,trend_aligned
PONY,845.8461751271176,0.0,2,0,845.8461751271176,2,51.5,0.716494,0.716494,,2,1,0,828.4189262418007,0.0,828.4189262418007,0.0,2,0,47.53584066500452,270367.0,0.0,845.8461751271176,LONG,422.9230875635588,0.0,0.020603,0.0,99.0,1.0,3404843615.0,7.9e-05,0.0,4.282301483097356,0.18,0.4282301483097356,none,trend_aligned
COUR,37.40591863756537,94657.03874106299,1,3,189351.48340076354,4,49.75,0.531104,0.172394,0.650674,4,1,3,37.40591863756537,94657.03874106299,37.40591863756537,40406.245760464306,1,3,2.6177109235200304,118355.0,118432.5,-94619.63282242542,SHORT,37.40591863756537,31552.346247020996,0.0,0.57313,0.0003951731338214617,1.0,982288000.0,0.00012,0.000121,4.259341400192013,0.5953426977081635,0.4259341400192013,none,none
PANW,309418.75382261444,85406.70679144896,5,4,702567.7595239454,9,68.333333,1.120782,1.006596,1.263515,9,2,1,2254.0025379913723,0.6007596207981136,185012.81227747793,74404.41006393654,5,4,62.84299050700177,547009.0,488322.5,224012.04703116548,LONG,61883.75076452289,21351.67669786224,0.402063,0.128822,3.62288590026274,1.0,127589760000.0,4e-06,4e-06,4.233139301739406,0.3501071327148103,0.4233139301739406,none,none
CRWD,110127.16635808151,55714.82433838945,5,3,166003.36309132876,8,66.5,0.473287,0.728534,0.047877,8,2,0,39756.12155186884,0.0,57844.77994130836,43686.93675124182,5,3,152.995025909115,1954025.0,215805.0,54412.342019692056,LONG,22025.4332716163,18571.608112796483,0.474746,0.215883,1.9766223382346744,1.0,99573964016.0,2e-05,2e-06,4.221781908514835,0.2719036266461424,0.4221781908514835,none,trend_aligned
OKTA,81095.62368905668,4.307053220438149,4,5,81104.23779549757,9,52.555556,0.415356,0.454512,0.384031,9,0,0,0.0,0.0,81089.61772060418,1.610077693030983,4,5,12152.391870051164,669077.0,386870.0,81091.31663583624,LONG,20273.90592226417,0.8614106440876299,7.4e-05,0.626177,99.0,1.0,13431132594.0,5e-05,2.9e-05,4.216499748316497,0.36045671090237963,0.42164997483164973,none,trend_aligned
BE,131881.68482253823,90447.41873502385,4,4,281896.26077582594,8,66.75,0.332479,0.515637,0.149321,8,2,0,86319.01321266123,0.0,55484.23411001049,66359.07033012906,4,4,1.494661244801848,1580489.5,412433.5,41434.26608751438,LONG,32970.42120563456,22611.854683755962,0.579288,0.266324,1.4581033562594068,1.0,37458797667.0,4.2e-05,1.1e-05,4.1630950873500625,0.2625544547757845,0.4163095087350063,none,trend_aligned
DOW,41353.7240315974,26697.53997118314,5,6,88840.98147869138,11,64.181818,93.198789,2.41006,168.856062,11,0,0,0.0,0.0,40011.296089465584,20100.354856232432,5,6,54.049476924515815,421678.0,1698618.0,14656.184060414256,LONG,8270.744806319479,4449.589995197191,0.032462,0.247108,1.5489713312999582,1.0,28321069822.0,1.5e-05,6e-05,4.1590136162117926,0.5755201873586966,0.41590136162117924,none,none
HYG,53406.352515822844,369299.4797942453,2,3,476112.18482589093,5,63.2,0.066828,0.065865,0.06747,5,0,0,0.0,0.0,27928.16856767569,172593.62558270362,2,3,3.3166755245654587,712500.0,1028044.0,-315893.1272784224,SHORT,26703.176257911422,123099.82659808175,0.477063,0.532646,0.14461529311002042,1.0,16735326168.0,4.3e-05,6.1e-05,4.156290762912026,0.5384602485544215,0.4156290762912026,none,none
LUV,5042.814226647972,0.0,2,0,5042.814226647972,2,85.0,0.826493,0.826493,,2,0,0,0.0,0.0,4345.832228961231,0.0,2,0,6.235214458027457,1428640.0,0.0,5042.814226647972,LONG,2521.407113323986,0.0,0.138213,0.0,99.0,1.0,19421800145.0,7.4e-05,0.0,4.146926982112284,0.18,0.4146926982112284,none,trend_aligned
