ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_score_raw,checks_passed,checks_failed
BTDR,827777.4420856797,2602949.08284941,4,4,3571094.474252405,8,39.5,192.577119,0.417138,384.737101,8,1,2,59733.72625623784,58894.33807531802,630048.4721888619,2462581.1335320943,4,4,3.422019895207426,1568494.0,3703836.5,-1775171.6407637303,SHORT,206944.36052141993,650737.2707123525,0.238867,0.053927,0.3180152264751656,1.0,2162612042.0,0.000725,0.001713,0.9569185619166173,3.0090337891143237,6.424190714285714,0.7950000000000002,0.6424190714285715,none,none
BURL,59127.526020618825,0.0009148952878751618,6,1,81784.45808622257,7,40.714286,212.47109,281.106753,6.564103,7,0,0,0.0,0.0,36470.59486991036,0.0009148952878751618,6,1,40202999.10995672,1665446.0,345435.0,59127.52510572354,LONG,9854.587670103137,0.0009148952878751618,0.383188,0.0,99.0,1.0,20836673528.0,8e-05,1.7e-05,0.004729443813025479,4.3907934087739084e-10,6.283401503148106,0.38381077870148655,0.6283401503148106,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target"
WULF,477916.1285397684,56998.9953499384,4,1,591914.1192396452,5,69.8,10.259738,5.686741,28.551724,5,0,0,0.0,0.0,269824.7246836208,56998.9953499384,4,1,2.6678999094822737,602601.0,65000.0,420917.13318983,LONG,119479.0321349421,56998.9953499384,0.435414,0.0,8.384641266142683,1.0,8248125031.0,7.3e-05,8e-06,0.1448559905261966,0.06910539684560027,6.252993089775196,0.36329036052956026,0.6252993089775196,none,not_extended
UVXY,0.000478785788916081,46570.080506363534,2,2,93140.16149151286,4,43.25,39.213672,3.130952,75.296392,4,0,1,0.0,44832.895149041025,0.00030421755304887034,44832.895149041025,2,2,194534096.8109899,148750.0,84766.0,-46570.080027577744,SHORT,0.0002393928944580405,23285.040253181767,0.364606,0.037303,1.0280974044068009e-08,1.0,272736161.0,0.000545,0.000311,8.777453403329253e-09,0.8537569850586028,6.12233761904762,0.7558333333333334,0.612233761904762,"bounce_and_fail, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned"
KWEB,304399.87695975695,0.0,2,0,328906.8554264207,2,79.5,1.116246,1.116246,,2,1,0,279892.8984930932,0.0,279892.8984930932,0.0,2,0,5.710473424413069,542621.0,0.0,304399.87695975695,LONG,152199.93847987847,0.0,0.080509,0.0,99.0,1.0,4223436000.0,0.000128,0.0,0.36036994163017616,0.0,6.062111260142222,0.18,0.6062111260142222,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target",trend_aligned
CTRA,4.879552533242096e-19,365337.84297701425,2,1,730675.6859540285,3,44.666667,261.902636,134.233264,517.241379,3,0,0,0.0,0.0,4.794899763514333e-19,365337.84297701425,2,1,8.6314445269048e+25,3063080.0,397500.0,-365337.84297701425,SHORT,2.439776266621048e-19,365337.84297701425,0.017348,0.0,1.335627454708846e-24,1.0,25063592322.0,0.000122,1.6e-05,9.734343885251805e-26,0.1457643574326465,5.933333333333333,0.4297678010354357,0.5933333333333333,"ema_pullback, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned"
STX,1114026.2393665458,287240.4134586285,9,13,1651560.207051727,22,54.909091,2.587219,2.714318,2.509004,22,2,1,826665.3645648762,2444.863003828474,826665.3610962525,139074.90788622946,9,13,105.47500933849204,5188915.0,1587037.0,826785.8259079172,LONG,123780.69326294953,22095.4164198945,0.257948,0.515824,3.878375699131905,1.0,111932543830.0,4.6e-05,1.4e-05,0.011058508010944892,0.0019739939488422954,5.9289783082175695,0.507047607775335,0.592897830821757,none,not_extended
CORZ,472459.9852237557,0.8588757794287338,6,1,472460.84409953514,7,41.571429,0.534129,0.532072,0.546474,7,1,0,6372.159285790633,0.0,273463.39401249884,0.8588757794287338,6,1,19.47051964238906,1507600.0,94116.0,472459.1263479763,LONG,78743.33087062596,0.8588757794287338,0.421192,0.0,99.0,1.0,5899873975.0,0.000256,1.6e-05,0.13346612352109768,1.4557527551742897e-06,5.790892651850765,0.23345819730513662,0.5790892651850765,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none
SEDG,3.283447894220139e-05,8.148189880096641,5,5,8.148255549054527,10,50.5,10.120232,0.119157,20.121307,10,5,0,3.283447894220139e-05,0.0,1.443304449549961e-05,8.138919867026194,5,5,178776.48930443884,288832.0,6802701.0,-8.1481570456177,SHORT,6.566895788440278e-06,1.6296379760193282,0.56043,0.001138,4.029665413468734e-06,1.0,2608427434.0,0.000111,0.002608,2.5175689010332184e-11,6.24758793278099e-06,5.787211904761904,0.6333333333333334,0.5787211904761904,none,none
VST,317076.34747208096,6312.291630773248,8,9,508398.29916847317,17,48.0,17.13425,38.589398,0.446913,17,4,3,291450.62149726506,1078.9012564212292,158304.6187212109,5231.955829386364,8,9,109051.71632305332,865437.0,1892575.5,310764.05584130774,LONG,39634.54343401012,701.3657367525831,0.500737,0.171148,50.231574524581895,1.0,53306163299.0,1.6e-05,3.6e-05,0.00743526470132463,0.000131573103998978,5.5353366148186485,0.43812445006002243,0.5535336614818649,none,none
NVT,131005.28680407701,0.0005609958559453395,7,4,131005.30282613193,11,65.545455,5.723575,5.169208,6.693719,11,0,1,0.0,6.604267924728567e-29,91451.24932276711,0.0003475460510201971,7,4,126343911019553.75,897343.0,490688.0,131005.28624308115,LONG,18715.040972011,0.00014024896398633486,0.301927,0.380484,99.0,1.0,21535896492.0,4.2e-05,2.3e-05,0.008690161089399333,6.512334605547233e-11,5.504697579831282,0.47464550059039945,0.5504697579831281,none,not_extended
CGON,0.001184704880090156,110746.7427882428,2,2,221493.4867611905,4,36.25,8.776899,8.654762,8.899035,4,1,0,0.0003143790904277853,0.0,0.0008703257896623709,110746.7426479487,2,2,186960895.7461456,370079.0,197761.0,-110746.74160353793,SHORT,0.000592352440045078,55373.3713941214,0.265365,0.0,1.0697424143258215e-08,1.0,5716263040.0,6.5e-05,3.5e-05,1.0362581915843361e-09,0.09686987986144424,5.472510983747996,0.4822718033079933,0.5472510983747996,"confirmation_volume, not_extended, room_to_target, trend_aligned, trend_continuation",momentum_aligned
AAL,510833.27717940335,442912.38533145236,5,6,1143137.8756234213,11,49.090909,0.777321,1.205665,0.420367,11,1,1,184033.45799371385,18805.52406849338,184033.45799371385,138021.24097518396,5,6,1.1354577530638235,1042538.0,831958.0,67920.89184795099,LONG,102166.65543588068,73818.73088857539,0.639739,0.688378,1.153350626664284,1.0,7415220355.0,0.000141,0.000112,0.13777966202581,0.09955028624173017,5.424078804849826,0.5040742744206045,0.5424078804849826,none,none
JETS,0.0035305854907547586,73085.19809988642,5,2,96465.1451348843,7,47.714286,0.529265,0.313437,1.068835,7,1,1,1.2589654196094798e-10,23379.939973826913,0.0012456718069986604,49705.258126059496,5,2,39842069.11321794,242183.0,122320.0,-73085.19456930093,SHORT,0.0007061170981509517,36542.59904994321,0.647177,0.3199,4.8307804898188346e-08,1.0,1000450000.0,0.000242,0.000122,7.057994883811802e-09,0.36526162276918595,5.349174047619048,0.6204180274881856,0.5349174047619047,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned"
NU,395374.64729722566,166190.57717616402,10,6,609932.1094371376,16,61.9375,1.517505,1.779884,1.080208,16,3,0,48366.88496374786,0.0,71545.11469468144,83827.99845209357,10,6,49.21290087239309,1103987.0,501343.0,229184.07012106164,LONG,39537.46472972257,27698.42952936067,0.819045,0.495591,2.3790437100301043,1.0,57304440363.0,1.9e-05,9e-06,0.006899546436413833,0.004833557286992515,5.250133879845711,0.33762927842909374,0.5250133879845711,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned"
EL,236372.01736091243,3629.272823994413,3,4,480002.58006061934,7,71.285714,2.800916,5.475464,0.795006,7,1,0,219894.36395710293,0.0,219894.36395710293,2588.835019893623,3,4,1552430012.4267907,871242.5,488544.0,232742.744536918,LONG,78790.67245363748,907.3182059986033,0.069711,0.286679,65.12930518702616,1.0,18430228560.0,4.7e-05,2.7e-05,0.042750784233159554,0.0004922989441204213,5.20314900564151,0.3348561586927726,0.520314900564151,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned"
JPM,221096.9490169861,144938.58699976,11,3,370686.7374710226,14,52.0,2.57105,3.122396,0.549446,14,1,0,1.3487469569915693,0.0,134268.30647357693,82777.80970383287,11,3,60.652714708259545,1968919.0,366055.0,76158.36201722609,LONG,20099.722637907827,48312.86233325334,0.392718,0.428877,1.5254526319989044,1.0,846005115390.0,2e-06,0.0,0.00023758393740494176,0.0005710705698390676,4.8701364734813986,0.23312464095238095,0.48701364734813984,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume
GOOGL,1746249.484651883,855921.8024645874,10,5,3538936.8273369935,15,58.933333,1.556745,2.085322,0.499592,15,4,2,1195230.5139270844,343446.48866108764,630359.4378820403,290686.409608384,10,5,4.34883702654834,2237044.0,1043085.5,890327.6821872955,LONG,174624.9484651883,171184.36049291748,0.639021,0.660382,2.0401974568513594,1.0,1870666820000.0,1e-06,1e-06,0.0009334903821365063,0.0009150980744551693,4.8362082,0.29836061904761907,0.48362081999999995,none,not_extended
CVNA,1187908.0698678263,217167.0621032283,10,3,2018695.2184315664,13,63.846154,1.410539,1.360251,1.578165,13,3,1,467324.179620467,70177.99369591502,281576.7485000304,122876.89554865,10,3,1.3044403251850545,1830010.0,348323.0,970741.007764598,LONG,118790.80698678263,72389.0207010761,0.762964,0.434183,5.470019524890775,1.0,51280833496.0,3.6e-05,7e-06,0.023164757451933485,0.014116194251546744,4.785805214763978,0.2587517373552915,0.4785805214763978,none,not_extended
DELL,184106.1262206601,613369.3404316888,13,14,879139.7839061719,27,44.888889,0.76798,0.953508,0.595703,27,2,8,57492.96571981768,130089.23769703449,53665.003029183456,390103.7918696945,13,14,12.979420795826647,1449745.5,2182579.5,-429263.2142110287,SHORT,14162.009709281547,43812.09574512063,0.70851,0.363999,0.3001554105901126,1.0,60421190442.0,2.4e-05,3.6e-05,0.002343881278353173,0.007251114290304672,4.70749394952854,0.5343130629791077,0.47074939495285395,none,none
WIX,6.265645238605485e-06,1.5954906341213081e-10,4,4,6.266146632310798e-06,8,61.5,152.456629,0.384817,304.528441,8,1,1,1.1338811685385469e-19,1.595490022185422e-10,6.265303393963471e-06,1.595490022185422e-10,4,4,102209356361.14738,331976.5,378504.0,6.265485689542073e-06,LONG,1.5664113096513713e-06,3.9887265853032703e-11,5.5e-05,0.0,99.0,1.0,3571019624.0,9.3e-05,0.000106,4.38645393916035e-12,1.116971343001298e-16,4.694630628206051,0.6325000000000001,0.46946306282060507,none,none
COP,330522.8039708497,39651.761376417846,18,7,435986.30110623175,25,57.72,1.357823,1.701617,0.47378,25,3,1,1.8550075997547007e-11,2.78692980557495e-17,178111.76386375751,39651.74508420296,18,7,2270566413.994078,1501883.5,854744.5,290871.0425944319,LONG,18362.37799838054,5664.537339488264,0.461121,0.0,8.335639893349658,1.0,151105565970.0,1e-05,6e-06,0.001215201960331901,0.0003748728448965859,4.666268288972793,0.2901810597456449,0.46662682889727924,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned"
INFQ,26890.9008098936,16361.17210583642,3,2,84642.97239021304,5,95.6,0.531902,0.823039,0.095197,5,0,0,0.0,0.0,25029.7273686466,13787.201573520744,3,2,15.442067536921154,458023.0,108987.5,10529.72870405718,LONG,8963.633603297867,8180.58605291821,0.069212,0.157322,1.6435803398401374,0.7,2725381561.0,0.000168,4e-05,0.0328894630079207,0.030016296323354376,4.648729335239027,0.30469144979365703,0.4648729335239027,none,not_extended
ANF,0.002973316720592982,0.0017343038845920936,3,2,0.004707620605185076,5,59.4,1.339162,1.073588,1.737524,5,0,0,0.0,0.0,0.002711483116405887,0.0017238768085350458,3,2,450.4573647996416,356526.0,687226.0,0.0012390128360008886,LONG,0.0009911055735309941,0.0008671519422960468,0.088061,0.006012,1.7144150728188579,1.0,4191453331.0,8.5e-05,0.000164,2.3645869231103554e-09,2.0688574435091256e-09,4.625537334938556,0.5175847733333333,0.46255373349385553,none,none
BP,0.005258223160649594,0.10814009327700713,7,9,0.2215450623739459,16,82.0,26.263109,3.380744,44.060504,16,0,2,0.0,0.10814009282175116,0.004617972115051453,0.10814009282175116,7,9,9.768616260714624e+23,1313931.0,865731.5,-0.10288187011635753,SHORT,0.0007511747372356563,0.012015565919667459,0.121762,0.0,0.04862417814991476,1.0,92871660302.0,1.4e-05,9e-06,8.088309553129413e-11,1.2937817500618863e-09,4.5586008206104935,0.4895602984290937,0.45586008206104933,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume
