ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score,bearish_score_raw,checks_passed,checks_failed
SCHW,55.39973026125266,7009.854189184181,3,2,14130.068619392874,5,68.2,3.620274,0.254762,8.668542,5,0,1,0.0,7009.414969686187,55.29944346514126,7009.414969686187,3,2,0.0,-6954.454458922929,SHORT,18.466576753750886,3504.9270945920907,0.99819,0.999937,0.007903121629367325,1.0,909160414.8846679,0.0,8e-06,0.23615965807642492,0.445606963227038,0.31190422561821907,"confirmation_volume, gamma_tailwind, healthy_pullback_volume, not_extended, put_wall_clear, room_to_target, swing_dte_dominant","bearish_rejection_wick, bearish_strong_close, bounce_and_fail, flag_breakdown, pullback_to_resistance, structural_breakdown, trend_aligned"
XLU,0.0,4309.068543226476,0,2,4309.068543226476,2,43.0,0.662192,,0.662192,2,0,2,0.0,4309.068543226476,0.0,4255.715334168034,0,2,0.0,-4309.068543226476,SHORT,0.0,2154.534271613238,0.0,0.987618,0.0,1.0,1352190484.837553,0.0,3e-06,0.115,0.3009934339985248,0.3078097335351157,"bearish_strong_close, confirmation_volume, gamma_tailwind, healthy_pullback_volume, pullback_to_resistance, put_wall_clear, room_to_target, swing_dte_dominant","bearish_rejection_wick, bounce_and_fail, flag_breakdown, not_extended, structural_breakdown, trend_aligned"
AGNC,0.0,5441.907209555368,0,1,5441.907209555368,1,90.0,0.08687,,0.08687,1,0,0,0.0,0.0,0.0,5441.907209555368,0,1,0.0,-5441.907209555368,SHORT,0.0,5441.907209555368,0.0,1.0,0.0,1.0,216799154.325,0.0,2.5e-05,0.115,0.26682197265588325,0.30684222531730276,"bearish_strong_close, confirmation_volume, gamma_tailwind, healthy_pullback_volume, not_extended, put_wall_clear, room_to_target, short_dated_noise, strong_trend, structural_breakdown, trend_aligned","bearish_rejection_wick, bounce_and_fail, flag_breakdown, pullback_to_resistance"
NVDA,81822.3312734742,20526.615537062513,4,1,132755.83796271624,5,79.0,0.312124,0.309991,0.320654,5,0,0,0.0,0.0,34553.604290524956,20526.615537062513,4,1,0.0,61295.715736411694,LONG,20455.58281836855,20526.615537062513,0.4223,1.0,3.9861579287504645,1.0,34351354727.32195,2e-06,1e-06,0.30359094863216984,0.2596150219770789,0.3066381724693078,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned"
ORCL,12693.239133967829,57220.144945572116,1,3,105819.82743630948,4,55.75,0.394212,0.592157,0.328231,4,0,0,0.0,0.0,12693.239133967829,29051.598656516886,1,3,0.0,-44526.90581160429,SHORT,12693.239133967829,19073.38164852404,1.0,0.507716,0.22183164943118644,1.0,4574635010.135596,3e-06,1.3e-05,0.29177083837995205,0.24000177247540969,0.30608285585932715,"bounce_and_fail, confirmation_volume, gamma_tailwind, healthy_pullback_volume, not_extended, put_wall_clear, room_to_target, swing_dte_dominant, trend_aligned","bearish_rejection_wick, bearish_strong_close, flag_breakdown, pullback_to_resistance, structural_breakdown"
RDDT,0.0,9579.255391662835,0,2,19158.42074198282,2,61.0,0.328092,,0.328092,2,0,0,0.0,0.0,0.0,9579.165350319985,0,2,0.0,-9579.255391662835,SHORT,0.0,4789.627695831417,0.0,0.999991,0.0,1.0,692712070.70224,0.0,1.4e-05,0.115,0.20114835446624482,0.30498278580856,"confirmation_volume, gamma_tailwind, healthy_pullback_volume, not_extended, put_wall_clear, room_to_target, short_dated_noise, trend_aligned","bearish_rejection_wick, bearish_strong_close, bounce_and_fail, flag_breakdown, pullback_to_resistance, structural_breakdown"
HOOD,1.4160889394818534,10307.991090739764,1,4,10310.489907530644,5,49.6,0.357802,0.957845,0.207791,5,0,0,0.0,0.0,1.4160889394818534,10107.456502271321,1,4,0.0,-10306.575001800282,SHORT,1.4160889394818534,2576.997772684941,1.0,0.980546,0.0001373777806961828,1.0,1916649833.3274515,0.0,5e-06,0.1877023584465177,0.1977519081371711,0.30488662106740977,"bounce_and_fail, confirmation_volume, gamma_tailwind, healthy_pullback_volume, not_extended, put_wall_near, short_dated_noise, trend_aligned","bearish_rejection_wick, bearish_strong_close, flag_breakdown, pullback_to_resistance, room_to_target, structural_breakdown"
INTC,18561.260512940178,14354.476072626361,2,1,42459.62001136852,3,90.0,0.133618,0.089713,0.221429,3,0,0,0.0,0.0,9543.883425801974,14354.476072626361,2,1,0.0,4206.784440313817,LONG,9280.630256470089,14354.476072626361,0.514183,1.0,1.2930642970896062,1.0,3691174030.0204453,5e-06,4e-06,0.27739372357225517,0.1686847814240101,0.3040636336136043,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned"
MOS,0.0,4851.270449757676,0,1,9702.540899515352,1,90.0,0.779105,,0.779105,1,0,0,0.0,0.0,0.0,4851.270449757676,0,1,0.0,-4851.270449757676,SHORT,0.0,4851.270449757676,0.0,1.0,0.0,1.0,281456782.1770552,0.0,1.7e-05,0.115,0.013036129485191117,0.2996567003445727,"bearish_strong_close, confirmation_volume, gamma_headwind, healthy_pullback_volume, not_extended, room_to_target, structural_breakdown, swing_dte_dominant, trend_aligned","bearish_rejection_wick, bounce_and_fail, flag_breakdown, pullback_to_resistance"
SMH,282891.9211219186,39876.658507205764,4,2,362645.23813633015,6,62.666667,8.754876,12.866619,0.53139,6,0,0,0.0,0.0,91645.600456499,22448.277910071174,4,2,0.0,243015.26261471282,LONG,70722.98028047965,19938.329253602882,0.32396,0.562943,7.094173175789031,1.0,3997509441.3496094,7.1e-05,1e-05,0.3771441548013799,0.0,0.2992876039726345,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned"
