ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bearish_score_raw,checks_passed,checks_failed
SVIX,0.0,4711.127719905751,0,2,4711.174767038436,2,34.0,2.499476,,2.499476,2,0,1,0.0,4711.080672773067,0.0,4711.080672773067,0,2,50067.67048225508,0.0,99487.5,-4711.127719905751,SHORT,0.0,2355.5638599528756,0.0,1e-05,0.0,1.0,437395500.0,0.0,0.000227,0.0,0.05385432314582284,0.18,5.935806740993751,0.5935806740993751,"ema_rally, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned"
NUGT,0.0,3.1251149848642365e-20,0,2,6.134788487397952e-20,2,69.0,10.630631,,10.630631,2,0,0,0.0,0.0,0.0,3.009673502533716e-20,0,2,52.141976034519764,0.0,260090.5,-3.1251149848642365e-20,SHORT,0.0,1.5625574924321183e-20,0.0,0.03694,0.0,1.0,1217462666.0,0.0,0.000214,0.0,1.283454134627335e-25,0.18,5.933333333333333,0.5933333333333333,"bounce_and_fail, confirmation_volume, momentum_aligned, not_extended, room_to_target",trend_aligned
HPQ,19447.20170190018,103741.19211726608,6,4,130245.24922208542,10,40.6,3.787693,3.763966,3.823282,10,0,0,0.0,0.0,7552.496092652836,67357.23034270394,6,4,9.5118328478674,482059.5,1239894.0,-84293.9904153659,SHORT,3241.20028365003,25935.29802931652,0.611641,0.350719,0.18745882233469632,1.0,17586800327.0,2.7e-05,7.1e-05,0.001842973265963566,0.014747024783979353,0.5170340367880106,5.841997911423546,0.5841997911423545,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none
AEHR,2945.222653487894,0.019381388104965973,4,1,5887.629930553978,5,42.0,5.821248,3.262274,16.057143,5,0,0,0.0,0.0,2942.387895677979,0.019381388104965973,4,1,173096.25325679526,445604.0,241920.0,2945.203272099789,LONG,736.3056633719735,0.019381388104965973,0.000962,0.0,99.0,1.0,2253940182.0,0.000198,0.000107,0.003266748910428598,8.598891958067933e-08,0.62,5.800000000000001,0.5800000000000001,none,none
FSLR,11666.426885362793,228423.3360014724,8,7,252294.23453215184,15,43.066667,0.772617,0.522098,1.058925,15,3,2,6021.070087846518,5.712754674672411,5642.091467969541,190388.41276915118,8,7,23387.887449156708,562561.0,2833831.0,-216756.9091161096,SHORT,1458.303360670349,32631.905143067484,0.516382,0.166511,0.0510737085342611,1.0,21499757648.0,2.6e-05,0.000132,0.0006782882786616001,0.015177801386102157,0.4228296525564282,5.770603658106838,0.5770603658106838,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target, trend_aligned",none
MRVL,353492.7715970968,345845.44613672607,7,17,1365462.9147974066,24,58.458333,8.726894,0.905092,11.947636,24,2,1,163442.50567707696,63769.80818252626,161095.37853360953,63769.80818252626,7,17,2.531801099423963,557781.5,3142927.0,7647.325460370746,LONG,50498.96737101383,20343.849772748592,0.544275,0.815612,1.0221119738478426,1.0,114795590000.0,5e-06,2.7e-05,0.004399033740844385,0.0017721804272053127,0.33496336336191623,5.760329653820967,0.5760329653820967,none,not_extended
DUOL,1418.4255218942503,0.013285975015843648,12,3,2836.777897202904,15,55.333333,2.881562,2.75786,3.376371,15,0,0,0.0,0.0,1418.3258033586221,0.0075560725023933635,12,3,43301.13657425427,1785900.0,269255.0,1418.4122359192345,LONG,118.20212682452086,0.004428658338614549,7e-05,0.431275,99.0,1.0,3796779174.0,0.00047,7.1e-05,0.00031132210067406164,1.1664250501955974e-08,0.6854716000000001,5.7300534772904586,0.5730053477290459,none,none
SYY,23.285153272792872,7.9237179291423425,6,11,39.13258913107755,17,60.647059,13.231416,12.09994,13.848584,17,1,1,13.468447787174199,1.2361339895405326,13.468447787174199,1.2361339895405326,6,11,3.9776995302618436,1319050.0,492415.0,15.36143534365053,LONG,3.880858878798812,0.7203379935583948,0.421586,0.843996,2.938665091440634,1.0,35134352411.0,3.8e-05,1.4e-05,1.1045767496724309e-06,2.0502384251513016e-07,0.546354969797203,5.5680565348962086,0.5568056534896209,none,none
GSAT,0.6574786313186362,11.901907048975163,2,1,13.21686431095766,3,37.666667,3.339068,1.153878,7.709447,3,0,0,0.0,0.0,0.6574786306638613,11.901907048975163,2,1,20185354508.674206,265500.0,798000.0,-11.244428417656527,SHORT,0.3287393156593181,11.901907048975163,0.0,0.0,0.05524145236668183,1.0,9370326426.0,2.8e-05,8.5e-05,3.508301639814379e-07,1.2701699501044857e-05,0.3192576261459647,5.514717868271887,0.5514717868271888,none,not_extended
RVMD,56223.430768969534,925044.6979443937,1,2,1900587.7727132319,3,54.0,22.896552,1.344828,44.448276,3,1,1,56223.430768969534,919319.6439998685,56223.430768969534,919319.6439998685,1,2,330.9772688833334,62240.0,1071040.0,-868821.2671754241,SHORT,56223.430768969534,462522.34897219687,0.0,0.006189,0.060779150341499756,1.0,27011034011.0,2e-06,4e-05,0.02081498647777536,0.17123459575217995,0.2526430814475637,5.326495536807538,0.5326495536807538,none,not_extended
