ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score,bullish_score_raw,checks_passed,checks_failed
GLXY,10942.06395645906,5216.165809847536,3,2,20968.935709680813,5,90.4,0.573542,0.594733,0.541756,5,0,0,0.0,0.0,5354.693256015228,4810.705943374215,3,2,0.0,5725.898146611524,LONG,3647.35465215302,2608.082904923768,0.489368,0.922269,2.0977216513711414,0.7,108280552.2076623,0.000101,4.8e-05,1.4725814994753281,0.2728475966674374,0.32025028201174865,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, call_wall_clear, confirmation_volume, gamma_tailwind, not_extended, room_to_target, short_dated_noise","flag_breakout, healthy_pullback_volume, pullback_to_support, structural_breakout, trend_aligned"
MSFT,51812.880104795986,130602.69048853262,4,9,282380.39515329496,13,75.307692,0.279977,0.267842,0.28537,13,1,1,10045.590231520511,8316.54275746541,19428.20076043465,38852.14618838041,4,9,0.0,-78789.81038373664,SHORT,12953.220026198996,14511.410054281403,0.374969,0.297484,0.39672138384733613,1.0,12974603483.318153,4e-06,1e-05,1.420740310988958,0.35044619779409475,0.3186564742695676,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned"
ISRG,17349.227503852348,38409.81571924564,2,2,94186.83944422484,4,60.25,0.47408,0.517272,0.430888,4,0,1,0.0,38409.101172400515,17331.247001971144,38409.101172400515,2,2,0.0,-21060.588215393294,SHORT,8674.613751926174,19204.90785962282,0.998964,0.999981,0.4516873403055494,1.0,799620224.222676,2.2e-05,4.8e-05,1.4116662175020134,0.364674204965063,0.3183774999467361,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned"
LNG,6463.735519263904,0.0,1,0,12927.471038527809,1,42.0,108.0,108.0,,1,0,0,0.0,0.0,6463.735519263904,0.0,1,0,0.0,6463.735519263904,LONG,6463.735519263904,0.0,1.0,0.0,99.0,1.0,1095650040.2462404,6e-06,0.0,1.3129976973677582,0.115,0.31534403069398415,"call_wall_clear, confirmation_volume, room_to_target, short_dated_noise, strong_trend, trend_aligned","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, structural_breakout"
AMZN,78019.29302620598,68131.28170722768,4,6,180661.98329231126,10,85.6,0.077371,0.133399,0.040019,10,0,0,0.0,0.0,39063.84215852631,25634.772606330134,4,6,0.0,9888.0113189783,LONG,19504.823256551495,11355.21361787128,0.500695,0.376256,1.145131737891984,1.0,9433033421.53916,8e-06,7e-06,1.2570529659074523,0.31337063534940157,0.31362406344903726,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned"
IONQ,7674.412054195502,0.0,4,0,7674.911053826649,4,44.25,1.811179,1.811179,,4,0,0,0.0,0.0,7592.428609309733,0.0,4,0,0.0,7674.412054195502,LONG,1918.6030135488754,0.0,0.989317,0.0,99.0,1.0,738677694.4230238,1e-05,0.0,1.228082255990413,0.115,0.3127333866896802,"call_wall_clear, gamma_tailwind, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, short_dated_noise","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, structural_breakout, trend_aligned"
COST,4251.08681935822,79.00490800246865,3,3,4374.501870280564,6,71.5,0.218692,0.085028,0.352355,6,1,1,0.06654508908901466,4.053900212643736,4219.037772488571,44.41014291987503,3,3,0.0,4172.081911355752,LONG,1417.0289397860734,26.334969334156217,0.992461,0.562119,53.80788265996572,1.0,1841358769.4505463,2e-06,0.0,1.1121052765063169,0.22296949102144964,0.309167785413677,"call_wall_clear, confirmation_volume, healthy_pullback_volume, not_extended, room_to_target, short_dated_noise","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, pullback_to_support, structural_breakout, trend_aligned"
TQQQ,32508.603402248467,8374.671303770187,1,1,40883.27470601865,2,90.0,0.192802,0.277038,0.108567,2,0,0,0.0,0.0,32508.603402248467,8374.671303770187,1,1,0.0,24133.932098478283,LONG,32508.603402248467,8374.671303770187,1.0,1.0,3.881776636130596,1.0,4798698263.319898,7e-06,2e-06,1.066471691547649,0.2963821799082017,0.30776482450297715,"call_wall_clear, confirmation_volume, gamma_tailwind, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, short_dated_noise","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, structural_breakout, trend_aligned"
CRWD,276.915106086344,359.64077540245495,5,8,786.1829793163558,13,49.153846,0.27397,0.211724,0.312874,13,3,4,139.51660036975116,26.769874108218882,135.29684857823207,326.71140441231233,5,8,0.0,-82.72566931611095,SHORT,55.3830212172688,44.95509692530687,0.488586,0.908438,0.7699769465140958,1.0,2120001479.3000002,0.0,0.0,1.0612678127150093,0.32059527264369353,0.3076048362269558,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned"
NVO,14091.312486795701,2422.8568268161666,1,1,33028.33862722373,2,73.0,0.114546,0.097658,0.131435,2,0,0,0.0,0.0,14091.312486795701,2422.8568268161666,1,1,0.0,11668.455659979534,LONG,14091.312486795701,2422.8568268161666,1.0,1.0,5.815990582205737,1.0,1026425423.5569992,1.4e-05,2e-06,0.9585730912784793,0.2796916850193555,0.3044475852671384,"bounce_and_fail, call_wall_clear, gamma_tailwind, healthy_pullback_volume, room_to_target, swing_dte_dominant","bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, not_extended, pullback_to_support, structural_breakout, trend_aligned"
