ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score,bearish_score_raw
LEU,0.0,63100.07971693028,0,1,63100.07971693028,1,90.0,0.772152,,0.772152,1,0,0,0.0,0.0,0.0,63100.07971693028,0,1,-63100.07971693028,SHORT,0.0,63100.07971693028,0.0,1.0,0.0,1.0,143239854.59089205,0.0,0.000441,0.05,2.9882639837044365,0.28818216418213083
WFC,0.0,63274.90083749679,0,1,63274.90083749679,1,90.0,0.243972,,0.243972,1,0,0,0.0,0.0,0.0,63274.90083749679,0,1,-63274.90083749679,SHORT,0.0,63274.90083749679,0.0,1.0,0.0,1.0,1581054099.551119,0.0,4e-05,0.05,2.9360525886234954,0.2858507613209865
PLTR,0.0,42752.04672436173,0,1,42752.04672436173,1,56.0,0.111087,,0.111087,1,0,0,0.0,0.0,0.0,42752.04672436173,0,1,-42752.04672436173,SHORT,0.0,42752.04672436173,0.0,1.0,0.0,1.0,7481292179.187055,0.0,6e-06,0.05,2.8189511277990396,0.2806218131117484
QCOM,0.0,35444.58139398657,0,1,35444.58139398657,1,56.0,0.121536,,0.121536,1,0,0,0.0,0.0,0.0,35444.58139398657,0,1,-35444.58139398657,SHORT,0.0,35444.58139398657,0.0,1.0,0.0,1.0,1689881062.3287992,0.0,2.1e-05,0.05,2.769073220592378,0.2783946078170186
TLT,0.0,32607.276469585497,0,1,32607.276469585497,1,119.0,0.142681,,0.142681,1,0,1,0.0,32607.276469585497,0.0,32607.276469585497,0,1,-32607.276469585497,SHORT,0.0,32607.276469585497,0.0,1.0,0.0,0.7,3867265630.974827,0.0,8e-06,0.0,2.746830324138777,0.2774013925935665
ALAB,0.0,535.1366195659095,0,2,535.1366195659095,2,44.0,1.653596,,1.653596,2,0,0,0.0,0.0,0.0,416.7813184952159,0,2,-535.1366195659095,SHORT,0.0,267.56830978295477,0.0,0.778832,0.0,1.0,562772275.9501362,0.0,1e-06,0.05,2.3962408897863963,0.2617464726461302
HIMS,0.0,36069.99076827032,0,1,36069.99076827032,1,119.0,0.633262,,0.633262,1,0,0,0.0,0.0,0.0,36069.99076827032,0,1,-36069.99076827032,SHORT,0.0,36069.99076827032,0.0,1.0,0.0,0.7,1103238451.7217174,0.0,3.3e-05,0.0,1.6856072879872197,0.23001444920773223
U,0.0,119.27732034465585,0,1,119.27732034465585,1,30.0,0.695533,,0.695533,1,0,0,0.0,0.0,0.0,119.27732034465585,0,1,-119.27732034465585,SHORT,0.0,119.27732034465585,0.0,1.0,0.0,1.0,276265493.5714363,0.0,0.0,0.05,1.2464816241655647,0.21040610839537555
HPQ,0.0,1.050490738459925,0,1,1.050490738459925,1,32.0,0.999305,,0.999305,1,0,0,0.0,0.0,0.0,1.050490738459925,0,1,-1.050490738459925,SHORT,0.0,1.050490738459925,0.0,1.0,0.0,1.0,358721314.5704355,0.0,0.0,0.05,0.15047490525226695,0.16146596426885737
RDDT,0.0,0.3689699592488146,0,1,0.3689699592488146,1,32.0,0.337539,,0.337539,1,0,0,0.0,0.0,0.0,0.3689699592488146,0,1,-0.3689699592488146,SHORT,0.0,0.3689699592488146,0.0,1.0,0.0,1.0,692712070.70224,0.0,0.0,0.05,0.0,0.1547467868921239
