ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score,bearish_score_raw
LEU,0.0,63228.907852793476,0,1,63228.907852793476,1,90.0,0.772152,,0.772152,1,0,0,0.0,0.0,0.0,63228.907852793476,0,1,-63228.907852793476,SHORT,0.0,63228.907852793476,0.0,1.0,0.0,1.0,143239854.59089205,0.0,0.000441,0.05,2.9881315202464678,0.288182535521265
WFC,0.0,63404.08589650766,0,1,63404.08589650766,1,90.0,0.243972,,0.243972,1,0,0,0.0,0.0,0.0,63404.08589650766,0,1,-63404.08589650766,SHORT,0.0,63404.08589650766,0.0,1.0,0.0,1.0,1581054099.551119,0.0,4e-05,0.05,2.9359630340252663,0.28585304514422133
PLTR,0.0,42839.331344421524,0,1,42839.331344421524,1,56.0,0.111087,,0.111087,1,0,0,0.0,0.0,0.0,42839.331344421524,0,1,-42839.331344421524,SHORT,0.0,42839.331344421524,0.0,1.0,0.0,1.0,7481292179.187055,0.0,6e-06,0.05,2.818883214360087,0.2806250553555278
QCOM,0.0,35516.94674388665,0,1,35516.94674388665,1,56.0,0.121536,,0.121536,1,0,0,0.0,0.0,0.0,35516.94674388665,0,1,-35516.94674388665,SHORT,0.0,35516.94674388665,0.0,1.0,0.0,1.0,1689881062.3287992,0.0,2.1e-05,0.05,2.7690122955785244,0.2783981587401385
TLT,0.0,32673.84904226681,0,1,32673.84904226681,1,119.0,0.142681,,0.142681,1,0,1,0.0,32673.84904226681,0.0,32673.84904226681,0,1,-32673.84904226681,SHORT,0.0,32673.84904226681,0.0,1.0,0.0,0.7,3867265630.974827,0.0,8e-06,0.0,2.7467746174244345,0.2774051750248722
ALAB,0.0,536.2291800419035,0,2,536.2291800419035,2,44.0,1.653596,,1.653596,2,0,0,0.0,0.0,0.0,417.63223913692025,0,2,-536.2291800419035,SHORT,0.0,268.11459002095177,0.0,0.778832,0.0,1.0,562772275.9501362,0.0,1e-06,0.05,2.396402608917404,0.26175994010772635
HIMS,0.0,36143.63298381307,0,1,36143.63298381307,1,119.0,0.633262,,0.633262,1,0,0,0.0,0.0,0.0,36143.63298381307,0,1,-36143.63298381307,SHORT,0.0,36143.63298381307,0.0,1.0,0.0,0.7,1103238451.7217174,0.0,3.3e-05,0.0,1.6855459250202613,0.23001790723419857
U,0.0,119.52084261752283,0,1,119.52084261752283,1,30.0,0.695533,,0.695533,1,0,0,0.0,0.0,0.0,119.52084261752283,0,1,-119.52084261752283,SHORT,0.0,119.52084261752283,0.0,1.0,0.0,1.0,276265493.5714363,0.0,0.0,0.05,1.2466791574028269,0.2104210972436954
HPQ,0.0,1.0526354705139003,0,1,1.0526354705139003,1,32.0,0.999305,,0.999305,1,0,0,0.0,0.0,0.0,1.0526354705139003,0,1,-1.0526354705139003,SHORT,0.0,1.0526354705139003,0.0,1.0,0.0,1.0,358721314.5704355,0.0,0.0,0.05,0.15059183373652119,0.1614772796666672
RDDT,0.0,0.3697232659364259,0,1,0.3697232659364259,1,32.0,0.337539,,0.337539,1,0,0,0.0,0.0,0.0,0.3697232659364259,0,1,-0.3697232659364259,SHORT,0.0,0.3697232659364259,0.0,1.0,0.0,1.0,692712070.70224,0.0,0.0,0.05,0.0,0.15475287087199496
