snapshot_date,ticker,total_notional,total_volume,print_count,large_print_count,buy_volume,sell_volume,bias,largest_print_notional,marketcap,sector
2026-04-21,AGO,9286054.33,111571,4,1,0,0,0.0,8332821.14,0.0,—
2026-04-21,USB,8989551.6,158826,2,1,0,0,0.0,8642820.0,0.0,—
2026-04-21,STE,8973744.1,40142,3,2,0,0,0.0,6265659.4,0.0,—
2026-04-21,FHI,8765332.82,152786,1,1,0,0,0.0,8765332.82,0.0,—
2026-04-21,LH,8734744.8,32040,1,1,0,0,0.0,8734744.8,0.0,—
2026-04-21,J,8558605.0,67100,1,1,0,0,0.0,8558605.0,0.0,—
2026-04-21,GLD,4648532.38,10680,2,1,10680,0,1.0,3867240.67,0.0,—
2026-04-21,CRGY,3998963.25,320625,2,2,0,320625,0.0,2221646.25,0.0,—
2026-04-21,IAUM,3889113.91,82318,1,1,82318,0,1.0,3889113.91,0.0,—
2026-04-21,SCHD,3475265.96,112058,1,1,0,112058,0.0,3475265.96,0.0,—
2026-04-21,VTI,3097760.4,8820,2,1,0,0,0.0,2985370.0,0.0,—
2026-04-21,TSLA,2980257.48,7445,19,0,2588,981,0.3476,368136.36,0.0,—
2026-04-21,NVDA,2835772.5,14005,2,1,13005,1000,0.9286,2633512.5,0.0,—
2026-04-21,GRID,2588739.3,14070,1,1,0,0,0.0,2588739.3,0.0,—
2026-04-21,IVV,2533829.76,3546,2,1,3546,0,1.0,1604901.76,0.0,—
2026-04-21,IOO,2104293.6,15798,1,1,0,0,0.0,2104293.6,0.0,—
2026-04-21,GEV,2066817.48,1833,1,1,0,0,0.0,2066817.48,0.0,—
2026-04-21,CCJ,2016184.74,15942,1,1,0,0,0.0,2016184.74,0.0,—
2026-04-21,WPM,1841562.0,12725,1,1,0,0,0.0,1841562.0,0.0,—
2026-04-21,LLY,1653135.12,1794,1,1,0,0,0.0,1653135.12,0.0,—
2026-04-21,NEM,1648780.85,14741,1,1,0,0,0.0,1648780.85,0.0,—
2026-04-21,JAZZ,1598853.94,7969,2,1,0,0,0.0,1223868.62,0.0,—
2026-04-21,MSFT,1557646.16,3598,1,1,0,3598,0.0,1557646.16,0.0,—
2026-04-21,AVGO,1492799.8,3532,1,1,0,3532,0.0,1492799.8,0.0,—
2026-04-21,TPG,1486546.12,32614,1,1,0,0,0.0,1486546.12,0.0,—
2026-04-21,QQQ,1476000.0,2250,1,1,0,0,0.0,1476000.0,0.0,—
2026-04-21,GOOGL,1396641.12,4116,1,1,4116,0,1.0,1396641.12,0.0,—
2026-04-21,MRK,1298235.0,11500,1,1,0,11500,0.0,1298235.0,0.0,—
2026-04-21,BND,1294691.94,17529,1,1,0,0,0.0,1294691.94,0.0,—
2026-04-21,HSY,1179062.5,6250,1,1,0,6250,0.0,1179062.5,0.0,—
2026-04-21,TEL,1151176.32,5208,1,1,0,0,0.0,1151176.32,64851908676.0,Technology
2026-04-21,SLV,1126834.81,16013,1,1,0,16013,0.0,1126834.81,0.0,—
2026-04-21,VZ,1125176.58,24471,2,0,0,0,0.0,891782.1,0.0,—
2026-04-21,KWEB,1123484.28,38436,1,1,0,0,0.0,1123484.28,0.0,—
2026-04-21,VICR,1101340.0,4156,1,1,0,0,0.0,1101340.0,8912433551.0,Technology
2026-04-21,BK,1089621.72,8019,1,1,0,0,0.0,1089621.72,0.0,—
2026-04-21,MS,1024792.2,5364,1,1,0,0,0.0,1024792.2,0.0,—
2026-04-21,APO,966272.22,7487,1,0,0,0,0.0,966272.22,0.0,—
2026-04-21,HSBC,962872.21,10643,1,0,0,0,0.0,962872.21,0.0,—
2026-04-21,MDT,961191.0,11550,2,0,0,0,0.0,486670.56,0.0,—
2026-04-21,OUST,939870.32,33857,1,0,0,0,0.0,939870.32,0.0,—
2026-04-21,BAM,910872.27,18777,1,0,0,18777,0.0,910872.27,0.0,—
2026-04-21,MSTR,894400.0,5000,1,0,0,0,0.0,894400.0,0.0,—
2026-04-21,CM,885741.6,8156,1,0,0,0,0.0,885741.6,0.0,—
2026-04-21,ABT,881237.0,9610,1,0,0,9610,0.0,881237.0,0.0,—
2026-04-21,TD,870231.54,8322,1,0,0,0,0.0,870231.54,0.0,—
2026-04-21,RPM,850668.72,7986,1,0,0,0,0.0,850668.72,0.0,—
2026-04-21,LITE,836781.53,978,3,0,0,750,0.0,323051.03,0.0,—
2026-04-21,META,826532.0,1225,1,0,1225,0,1.0,826532.0,0.0,—
2026-04-21,SYY,805905.1,10670,1,0,0,0,0.0,805905.1,0.0,—
2026-04-21,NFG,794809.95,9141,1,0,0,0,0.0,794809.95,8259696687.0,Energy
2026-04-21,EMR,787519.32,5516,1,0,0,0,0.0,787519.32,0.0,—
2026-04-21,TXN,783103.65,3079,4,0,2579,500,0.8376,254850.0,214545002974.0,Technology
2026-04-21,BX,772542.15,5955,1,0,0,0,0.0,772542.15,0.0,—
2026-04-21,PBA,761608.98,17853,1,0,0,0,0.0,761608.98,0.0,—
2026-04-21,PPG,748970.69,6707,1,0,0,0,0.0,748970.69,0.0,—
