as_of,ticker,direction,conviction_grade,conviction_score,sector,bullish_premium_share,unusual_premium_share,vrp_proxy,far_otm_call_share,far_otm_put_share,dollar_delta_weighted_flow,sector_relative_pct,prem_momentum_z3d,realized_vol_regime,aggressor_bull_share,aggressor_net_prem_bps,ask_side_ratio,directional_sweep_share,gex_total,vanna_total,charm_total,iv_skew_25d,atm_iv_30d,atm_iv_60d,atm_iv_90d,term_slope_30_90,expiry_concentration_top1,max_pain_dist_pct,dealer_net_delta_at_spot,dealer_net_gamma_at_spot,perc_3_day_total_latest,momentum_composite,momentum_score,ret_5d,ret_21d,ret_63d,ret_126d,dist_52w_high,px_vs_sma50,px_vs_sma200,rsi_14,bollinger_z,rel_volume,atr_pct,gap_pct,beta_63d,resid_mom_21d,rel_strength_spy_63d,rel_strength_sector_63d,rel_vol_3d_20d,rel_vol_5d_20d,vol_trend_10d,up_down_vol_ratio_10d,setup_price_score,setup_trend,setup_extension,setup_room,setup_pattern_pts,setup_momentum,setup_confirm_vol,setup_extended,setup_ext_cap_atr,setup_state_rank,setup_is_breakout,setup_is_pullback,setup_is_trend_cont,setup_is_reversal,setup_pattern,setup_family
2026-05-22,LUNR,BULLISH,B+,6.1,Industrials,0.5727439437302773,1.0,,0.28201820446024506,0.055540824921577275,-295714.8083866973,0.0,6.066901,,0.46600376,-1.15727625,0.77343914,0.02500849,120378.24849999999,1461466.7374999998,-74648.3137,,1.313,1.237,1.219,-0.07159177456207148,0.42296271857472784,0.24854833200500967,410529.51264,2516526.77,,0.581571,58.1571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-22,AEVA,BULLISH,B+,6.0,Consumer Cyclical,0.6471957659887534,,,0.5198419130276999,0.30581694409360444,60142.42695429668,,2.735313,,,,,,70871.9076,494883.6363,-193857.5713,,1.299,1.222,1.206,-0.0715935334872979,0.7319241585775197,0.5265151515151515,,,,0.588889,58.8889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-22,FBP,BEARISH,B+,6.0,Financial Services,0.0,,,,,,-0.8391778686927723,,,,,,,1624.2672,-779.5937,353.6785,,0.536,0.388,0.324,-0.3955223880597015,1.0,0.691358024691358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-22,INFQ,BULLISH,B+,6.0,Technology,0.5237874573741838,0.0,,,,,0.31854331159171523,1.472706,,0.0080221,-2.52467323,0.2250108,-0.82835612,339944.1026,2557822.6477,-1342253.0152,,1.351,1.3,1.273,-0.057735011102886806,0.6249554730039184,0.06890708313418285,,,,0.197436,19.7436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-22,QBTS,BULLISH,B+,6.0,Technology,0.5285585883469732,1.0,,0.2046161918621472,0.015957415401765592,-301464.3878522122,0.6255006293626273,2.305084,,0.84572909,0.93092289,0.49505925,0.05221578,588415.6039,5567688.6126,-5194999.0156,,1.108,1.085,1.08,-0.0252707581227437,0.4434860274060783,0.1671193192105739,956031.68384,4654846.81,,0.673558,67.3558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-22,WULF,BULLISH,B+,6.0,Financial Services,0.5375671673067339,0.23301154330053245,,0.1880109218591705,0.400609566141541,444902.57866799226,0.0,0.609437,,,,,,4688104.4745000005,26963829.0171,-8606576.594600001,,0.917,0.912,0.919,0.0021810250817884424,0.3048669567182078,0.11075181891673398,5144000.65074,29889007.89,,0.592308,59.2308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-22,INTU,BEARISH,B,5.9,Technology,0.4777335002874506,1.0,,0.17285150176734504,0.05691120756944048,-344310.5853405726,-0.16864057672502575,-0.789057,,0.53679759,0.0918601,0.57736164,0.20859715,-5275.7766999999985,6871082.916099999,-2623573.9423,,0.534,0.536,0.554,0.03745318352059928,0.5393538085845778,-0.05052362036702664,,,,0.494071,49.4071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-22,SATS,BULLISH,B,5.9,Technology,0.5038784057456256,0.131005141718387,,,,,-0.1038448335049777,0.753537,,0.16875496,-1.96947812,0.24971871,-0.00151561,277379.8458,12112878.27,-5497848.6744,,0.849,0.774,0.756,-0.1095406360424028,0.36150574048071366,-0.012194149996014992,8894302.51074,42085328.62,,0.207265,20.7265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-26,SHLS,BULLISH,A-,7.0,Technology,0.7756048242384967,,12.922641509433959,0.34366075351493847,0.22031295767428236,89541.21888887539,-0.279818157387916,2.736563,0.869847717125012,1.0,2.04927924,1.0,0.55923244,527665.1140000001,1874715.622,-560793.0992,,1.091,1.084,1.121,0.027497708524289666,0.7215886901507459,0.267100977198697,,,,0.750499,75.0499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-26,TE,BULLISH,A-,6.9,Industrials,0.5605031276060726,,-99.4,0.6471574247526757,0.11117992856849375,136592.0074064022,,3.205449,1.5200512013645557,0.41596081,0.36541119,0.4213493,0.00515948,1298095.7449,2655407.4287,-4865587.2164,,1.948,1.823,1.723,-0.11550308008213546,0.27710860453357655,0.22658368364542955,362000.5412,1499019.45,,0.300044,30.0044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-26,FBP,BEARISH,B+,6.7,Financial Services,0.0,,-12.10377358490566,,,,,,0.9817570677413938,,,,,1719.2817,1043.3947,-387.7853,,0.296,0.284,0.238,-0.19594594594594594,0.6785714285714286,0.6908491343775762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-26,IREN,BULLISH,B+,6.7,Financial Services,0.5495789534853417,1.0,-29.11886792452831,0.7479001902955038,0.11505193707544983,672630.9593022162,,4.235567,0.9754621215025093,0.54491597,1.24830685,0.551392,-0.32203425,847575.2981,18934385.676,-3360799.2646999992,,1.122,1.116,1.126,0.0035650623885916054,0.5087360244305142,0.16030534351145037,7605409.5678,39593407.46,,0.417483,41.7483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-26,EWY,BEARISH,B+,6.6,,0.49655316397300525,0.0,34.969811320754715,0.11981696058886673,0.4734673823033277,1021935.0148643383,,11.388169,1.1088843277664218,,0.0,1.0,0.0,-43599.971499999985,7439287.2741,3466858.3793,,0.775,0.721,0.718,-0.07354838709677426,0.29813831502461463,0.10880248516792712,4995799.9625,-21411261.95,,0.358874,35.8874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-26,ZS,BEARISH,B+,6.6,Technology,0.44818010668646957,1.0,45.40566037735849,0.0,0.023667023988950552,-615034.1848569585,0.44867201146593816,4.90961,0.8504076490464043,0.27802794,-0.44025368,0.4530835,-0.42853874,-41793.59130000001,6049193.8399,-10429890.543499999,,0.614,0.595,0.599,-0.02442996742671012,0.45984819262930104,-0.459623653793049,,,,0.565385,56.5385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-26,CORZ,BEARISH,B+,6.5,Technology,0.29835185338271986,0.6217697860001266,-19.59622641509434,0.33881802273048595,0.16300800216948033,157164.00265338056,0.5955793433958884,9.613739,0.8016844666576417,0.46420977,-0.67994245,0.92189853,-0.0282743,4060334.9196999995,19730904.9402,-7678829.694300001,,0.791,0.78,0.825,0.04298356510745881,0.414246397658582,0.19561243144424137,2559747.37193,30091804.26,,0.55472,55.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-26,CLF,BULLISH,B+,6.4,Basic Materials,0.5950464367051088,,-15.432075471698113,0.4261190744479228,0.03997563958653369,263463.49270859745,,,1.1823453019119736,0.63598992,0.523156,0.41307961,0.06968026,2858744.6973,11986171.2375,-2678759.0623,,0.696,0.737,0.749,0.0761494252873564,0.3867299194177281,0.18509895227008147,635785.1772,4343082.08,,0.501238,50.1238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-26,VOYG,BULLISH,B+,6.4,Industrials,0.5669600273629138,,-22.299999999999997,,,,,3.440782,0.78794700263549,0.62728083,1.44617744,0.6180778,0.42947415,39681.3857,448089.7036,-187647.2819,,1.245,1.18,1.159,-0.0690763052208836,0.29944444444444446,0.3065470120334489,,,,0.688462,68.8462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
